group,content_type,content_count,content_csv,relation_count,relation_csv,field_count,field_csv,incoming_reference_count,incoming_csv,code_consumer_count,code_consumer_csv,runtime_confirmed_count,manual_review_count,type_doc
combat-health-world,OffenseDecisionCardSO,49,csv/combat-health-world/offense-decision-card.csv,0,relations/combat-health-world/offense-decision-card.csv,2345,fields/combat-health-world/offense-decision-card.csv,0,incoming/combat-health-world/offense-decision-card.csv,5,code-consumers/combat-health-world/offense-decision-card.csv,49,0,types/combat-health-world/offense-decision-card/README.md
combat-health-world,OffenseEncounterSO,36,csv/combat-health-world/offense-encounter.csv,72,relations/combat-health-world/offense-encounter.csv,903,fields/combat-health-world/offense-encounter.csv,0,incoming/combat-health-world/offense-encounter.csv,6,code-consumers/combat-health-world/offense-encounter.csv,36,0,types/combat-health-world/offense-encounter/README.md
combat-health-world,OffenseSiteArchetypeSO,12,csv/combat-health-world/offense-site-archetype.csv,12,relations/combat-health-world/offense-site-archetype.csv,453,fields/combat-health-world/offense-site-archetype.csv,0,incoming/combat-health-world/offense-site-archetype.csv,24,code-consumers/combat-health-world/offense-site-archetype.csv,12,0,types/combat-health-world/offense-site-archetype/README.md
combat-health-world,OffenseUrgentSiteDefinitionSO,6,csv/combat-health-world/offense-urgent-site.csv,0,relations/combat-health-world/offense-urgent-site.csv,72,fields/combat-health-world/offense-urgent-site.csv,0,incoming/combat-health-world/offense-urgent-site.csv,7,code-consumers/combat-health-world/offense-urgent-site.csv,6,0,types/combat-health-world/offense-urgent-site/README.md
production-facilities,ProductionRecipeSO,355,csv/production-facilities/production-recipe.csv,2006,relations/production-facilities/production-recipe.csv,16758,fields/production-facilities/production-recipe.csv,89,incoming/production-facilities/production-recipe.csv,55,code-consumers/production-facilities/production-recipe.csv,355,0,types/production-facilities/production-recipe/README.md
characters-traits,ProficiencyDefinitionSO,9,csv/characters-traits/proficiency.csv,0,relations/characters-traits/proficiency.csv,63,fields/characters-traits/proficiency.csv,0,incoming/characters-traits/proficiency.csv,13,code-consumers/characters-traits/proficiency.csv,9,0,types/characters-traits/proficiency/README.md
characters-traits,ReproductionProfileSO,10,csv/characters-traits/reproduction-profile.csv,0,relations/characters-traits/reproduction-profile.csv,150,fields/characters-traits/reproduction-profile.csv,10,incoming/characters-traits/reproduction-profile.csv,2,code-consumers/characters-traits/reproduction-profile.csv,10,0,types/characters-traits/reproduction-profile/README.md
research-effects,ResearchProjectSO,180,csv/research-effects/research-project.csv,1301,relations/research-effects/research-project.csv,8590,fields/research-effects/research-project.csv,1490,incoming/research-effects/research-project.csv,39,code-consumers/research-effects/research-project.csv,180,0,types/research-effects/research-project/README.md
research-effects,ResearchUnlockBundleDefinitionSO,180,csv/research-effects/research-unlock-bundle.csv,0,relations/research-effects/research-unlock-bundle.csv,6840,fields/research-effects/research-unlock-bundle.csv,1490,incoming/research-effects/research-unlock-bundle.csv,24,code-consumers/research-effects/research-unlock-bundle.csv,23,0,types/research-effects/research-unlock-bundle/README.md
items,ResourceItemDefinitionSO,365,csv/items/resource-item.csv,0,relations/items/resource-item.csv,14411,fields/items/resource-item.csv,1536,incoming/items/resource-item.csv,240,code-consumers/items/resource-item.csv,365,0,types/items/resource-item/README.md
items,SaleItem,4,csv/items/sale-item.csv,4,relations/items/sale-item.csv,42,fields/items/sale-item.csv,17,incoming/items/sale-item.csv,6,code-consumers/items/sale-item.csv,4,0,types/items/sale-item/README.md
events-campaign,SeasonalWorldEventDefinitionSO,28,csv/events-campaign/seasonal-world-event.csv,112,relations/events-campaign/seasonal-world-event.csv,784,fields/events-campaign/seasonal-world-event.csv,0,incoming/events-campaign/seasonal-world-event.csv,2,code-consumers/events-campaign/seasonal-world-event.csv,28,0,types/events-campaign/seasonal-world-event/README.md
events-campaign,ServiceIncidentDefinitionSO,8,csv/events-campaign/service-incident.csv,24,relations/events-campaign/service-incident.csv,480,fields/events-campaign/service-incident.csv,0,incoming/events-campaign/service-incident.csv,5,code-consumers/events-campaign/service-incident.csv,8,0,types/events-campaign/service-incident/README.md
production-facilities,ServiceProcessSO,5,csv/production-facilities/service-process.csv,1,relations/production-facilities/service-process.csv,210,fields/production-facilities/service-process.csv,0,incoming/production-facilities/service-process.csv,4,code-consumers/production-facilities/service-process.csv,5,0,types/production-facilities/service-process/README.md
characters-traits,SpeciesCultureDefinitionSO,10,csv/characters-traits/species-culture.csv,40,relations/characters-traits/species-culture.csv,430,fields/characters-traits/species-culture.csv,0,incoming/characters-traits/species-culture.csv,6,code-consumers/characters-traits/species-culture.csv,10,0,types/characters-traits/species-culture/README.md
characters-traits,SpeciesLifeHistorySO,10,csv/characters-traits/species-life-history.csv,0,relations/characters-traits/species-life-history.csv,90,fields/characters-traits/species-life-history.csv,10,incoming/characters-traits/species-life-history.csv,2,code-consumers/characters-traits/species-life-history.csv,10,0,types/characters-traits/species-life-history/README.md
items,StockInfo,11,csv/items/stock-info.csv,17,relations/items/stock-info.csv,53,fields/items/stock-info.csv,0,incoming/items/stock-info.csv,2,code-consumers/items/stock-info.csv,11,2,types/items/stock-info/README.md
combat-health-world,SurgicalProcedureSO,47,csv/combat-health-world/surgical-procedure.csv,130,relations/combat-health-world/surgical-procedure.csv,1694,fields/combat-health-world/surgical-procedure.csv,0,incoming/combat-health-world/surgical-procedure.csv,24,code-consumers/combat-health-world/surgical-procedure.csv,47,0,types/combat-health-world/surgical-procedure/README.md
production-facilities,TextileMaterialDefinitionSO,12,csv/production-facilities/textile-material.csv,12,relations/production-facilities/textile-material.csv,192,fields/production-facilities/textile-material.csv,0,incoming/production-facilities/textile-material.csv,12,code-consumers/production-facilities/textile-material.csv,12,0,types/production-facilities/textile-material/README.md
events-campaign,WeatherFrontDefinitionSO,6,csv/events-campaign/weather-front.csv,0,relations/events-campaign/weather-front.csv,66,fields/events-campaign/weather-front.csv,0,incoming/events-campaign/weather-front.csv,14,code-consumers/events-campaign/weather-front.csv,6,0,types/events-campaign/weather-front/README.md
combat-health-world,WildlifeSpeciesSO,18,csv/combat-health-world/wildlife-species.csv,69,relations/combat-health-world/wildlife-species.csv,767,fields/combat-health-world/wildlife-species.csv,39,incoming/combat-health-world/wildlife-species.csv,19,code-consumers/combat-health-world/wildlife-species.csv,18,0,types/combat-health-world/wildlife-species/README.md
