"life_event_id","category","automatic","emergency","response_deadline_days","cooldown_days","frequency_rule","choice_count","choice_contracts","automatic_effects","final_value_source","static_status"
"life-event:first-lost-tooth","0","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:first-safe-task","1","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:foundling-question","0","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:foundling-question×6/0d} || second{bom=—;kg=0;market=0;effects=2:life-event:foundling-question×3/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:grave-visit","5","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:guardian-oath","2","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:guardian-oath×6/0d} || second{bom=—;kg=0;market=0;effects=4:life-event:guardian-oath×4/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:household-meal","2","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:inherited-debt","2","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=8:affected-faction×-1/0d} || second{bom=—;kg=0;market=0;effects=7:affected-faction×8/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:killer-sighted","5","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=16:life-event:killer-sighted×60/0d} || second{bom=—;kg=0;market=0;effects=2:life-event:killer-sighted×-8/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:last-lesson","4","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=3:life-event:last-lesson×25/0d} || second{bom=—;kg=0;market=0;effects=4:life-event:last-lesson×-5/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:lineage-relic","5","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:lineage-relic×7/0d} || second{bom=—;kg=0;market=0;effects=12:life-event:lineage-relic×1/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:masterpiece-commission","1","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=16:life-event:masterpiece-commission×50/0d} || second{bom=—;kg=0;market=0;effects=3:life-event:masterpiece-commission×35/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:mentor-favor","1","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=5:life-event:mentor-favor×5/0d} || second{bom=—;kg=0;market=0;effects=1:life-event:mentor-favor×-3/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:newborn-welcome","2","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:position-rivalry","3","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=3:life-event:position-rivalry×20/0d} || second{bom=—;kg=0;market=0;effects=5:life-event:position-rivalry×4/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:quiet-promotion","3","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:retiree-story","4","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:retirement-request","4","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=1:life-event:retirement-request×6/0d} || second{bom=—;kg=0;market=0;effects=13:life-event:retirement-request×-2/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:shared-lullaby","0","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:shift-saved","3","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:stolen-design","1","0","0","3","90","1","2","first{bom=—;kg=0;market=0;effects=12:life-event:stolen-design×1/0d} || second{bom=—;kg=0;market=0;effects=5:life-event:stolen-design×4/0d}","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:story-compressed","5","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
"life-event:tool-inheritance","1","1","0","1","45","1","0","—","—","serialized LifeEventDefinitionSO asset + item-numeric-ledger.csv","locked"
