"enemy_id","faction_id","role","max_health","attack","strength","toughness","dexterity","move_speed","equipment","equipment_weight_kg","equipment_craft_wu","ability_ids","counter_tags","reward_items","reward_item_unit_value","attack_weight","protect_weight","ability_weight","retreat_weight","retreat_health_fraction","trait_count_range","combat_stat_variance","final_value_source","static_status"
"enemy:legion-arquebus","human:legion","2","76","12","10.200001","4","8","3.5","weapon:arquebus|armor:gambeson","9.1","284","enemy-ability:powder-shot|enemy-ability:smoke-screen","counter:rush","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:legion-captain","human:legion","4","132","11","9.35","10","9","4.5","weapon:halberd|armor:breastplate","13.2","300","enemy-ability:rally|enemy-ability:suppressive-volley","counter:break-formation","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:legion-pavise","human:legion","1","118","7","5.9500003","12","4","3","weapon:falchion|armor:scale-coat|shield:pavise","21.9","504","enemy-ability:shield-wall|enemy-ability:retreat-cover","counter:flank","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:legion-pikeman","human:legion","0","92","9","7.65","7","6","4","weapon:halberd|armor:brigandine","10.4","284","enemy-ability:hook-pull","counter:ranged","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:legion-surgeon","human:legion","3","78","5","4.25","5","9","4","weapon:dagger|armor:gambeson","4.2","136","enemy-ability:field-dressing|enemy-ability:smoke-screen","counter:interrupt-heal","offense:unappraised-loot","19","1","5","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:merchant-alchemist","human:merchant","4","82","7","5.9500003","6","9","4","weapon:dagger|armor:smoke-hood","1.8","168","enemy-ability:poison-cloud|enemy-ability:smoke-screen","counter:air-filter","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:merchant-caravan-blade","human:merchant","0","86","8","6.8","6","7","4.5","weapon:falchion|armor:leather","5.9","188","enemy-ability:charge","counter:brace","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:merchant-crossbow","human:merchant","2","74","10","8.5","5","9","4","weapon:crossbow|armor:leather","8.0","256","enemy-ability:suppressive-volley","counter:cover","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:merchant-factor","human:merchant","3","104","9","7.65","8","9","4","weapon:matchlock-pistol|armor:brigandine","8.8","336","enemy-ability:summon-minion|enemy-ability:retreat-cover","counter:deny-retreat","offense:unappraised-loot","19","1","5","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:merchant-hired-bulwark","human:merchant","1","116","7","5.9500003","12","5","3.5","weapon:mace|armor:scale-coat|shield:tower","21.0","472","enemy-ability:shield-wall|enemy-ability:retreat-cover","counter:separate-cargo","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:neutral-clockwork","neutral:construct","1","148","10","8.5","14","6","3.5","weapon:mace|armor:breastplate|shield:iron","17.8","432","enemy-ability:shield-wall|enemy-ability:core-repair","counter:precision","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:neutral-mercenary","neutral:mercenary","0","108","11","9.35","8","9","4.5","weapon:greatsword|armor:brigandine","10.8","284","enemy-ability:charge|enemy-ability:retreat-cover","counter:break-contract","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:neutral-smoke-sapper","neutral:specialist","4","94","10","8.5","7","11","4.5","weapon:matchlock-pistol|armor:blast-coat","9.6","392","enemy-ability:smoke-screen|enemy-ability:powder-shot","counter:detector","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:rival-packbreaker","rival:dungeon","0","124","12","10.200001","9","10","5","weapon:halberd|armor:scale-coat","12.4","324","enemy-ability:hook-pull|enemy-ability:charge","counter:guard-backline","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:rival-pactbinder","rival:dungeon","4","110","10","8.5","8","11","4.5","weapon:mana-lance|armor:rune-ward-mail","13.9","600","enemy-ability:summon-minion|enemy-ability:rune-ward","counter:dispel","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:rival-siege-frame","rival:dungeon","1","175","13","11.05","15","5","3","weapon:mana-lance|armor:blacksteel-carapace","19.9","584","enemy-ability:armor-break|enemy-ability:core-repair","counter:mana-disrupt","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:rival-spore-shepherd","rival:dungeon","3","118","9","7.65","10","9","3.5","weapon:spear|armor:rune-ward-mail","11.4","416","enemy-ability:poison-cloud|enemy-ability:summon-minion","counter:fungicide","offense:unappraised-loot","19","1","5","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:rival-stormcaller","rival:dungeon","2","96","12","10.200001","6","14","6","weapon:composite-bow|armor:leather","6.0","248","enemy-ability:suppressive-volley|enemy-ability:frost-bind","counter:anti-air","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:settler-barricadier","human:settler","1","102","7","5.9500003","10","6","4","weapon:falchion|armor:gambeson|shield:wood","8.7","252","enemy-ability:shield-wall","counter:destroy-cover","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:settler-herbalist","human:settler","3","80","6","5.1000004","5","10","4.5","weapon:dagger|armor:leather","4.9","152","enemy-ability:field-dressing|enemy-ability:poison-cloud","counter:focus-support","offense:unappraised-loot","19","1","5","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:settler-hunter","human:settler","2","76","10","8.5","5","11","5","weapon:composite-bow|armor:leather","6.0","248","enemy-ability:suppressive-volley","counter:smoke","offense:unappraised-loot","19","4","1","3","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:settler-ranger-chief","human:settler","5","130","11","9.35","9","12","5","weapon:composite-bow|armor:brigandine","8.0","292","enemy-ability:rally|enemy-ability:retreat-cover|enemy-ability:suppressive-volley","counter:pin-leader","offense:unappraised-loot","19","4","1","6","0","0.2","2-4","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:settler-trapper","human:settler","4","78","8","6.8","5","10","5","weapon:throwing-axe|armor:leather","5.6","188","enemy-ability:frost-bind","counter:slow-advance","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:truth-archivist","truth:guardian","5","230","16","13.6","17","14","4","weapon:mana-lance|armor:powered-harness","22.9","648","enemy-ability:truth-seal|enemy-ability:summon-minion|enemy-ability:rally","counter:mixed-tactics","offense:unappraised-loot","19","4","1","6","0","0.2","2-4","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:truth-null-warden","truth:guardian","1","184","12","10.200001","16","7","3.5","weapon:mana-lance|armor:blacksteel-carapace","19.9","584","enemy-ability:arcane-null|enemy-ability:rune-ward|enemy-ability:core-repair","counter:powder","offense:unappraised-loot","19","4","5","3","2","0.08","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
"enemy:truth-sealkeeper","truth:guardian","4","142","13","11.05","12","11","4.5","weapon:rune-blade|armor:rune-ward-mail","11.2","608","enemy-ability:truth-seal|enemy-ability:arcane-null","counter:mundane","offense:unappraised-loot","19","4","1","6","2","0.2","2-3","0.12","serialized EnemyArchetypeDefinitionSO + combat equipment/item numeric ledgers","locked"
