"encounter_id","source_path","site_strength","elite","boss","enemy_composition","enemy_count_min","enemy_count_max","enemy_health_multiplier","enemy_damage_multiplier","enemy_accuracy_multiplier","objective","objective_round_limit","objective_health_multiplier","objective_control_resistance","objective_target","battlefield_modifiers","counter_tags","reward_items","reward_item_unit_value","final_value_source","static_status"
"encounter:11","Assets/Resources/SO/V20/Combat/Encounters/encounter_11.asset","3-6","0","0","enemy:inquisition-purifier×1-2|enemy:inquisition-rune-sniper×1-2","2","4","1","0.632","1","4","7","1","1","battlefieldModifierIds:","battlefield:spore-bloom","counter:fungicide|counter:kite","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:12","Assets/Resources/SO/V20/Combat/Encounters/encounter_12.asset","3-6","0","1","enemy:inquisition-ward-knight×1-1|enemy:inquisition-censor×1-2","2","3","0.224","0.2","1","5","8","1","0.25","enemy:inquisition-ward-knight","battlefield:collapsing-ceiling","counter:mobile|counter:physical-burst|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:13","Assets/Resources/SO/V20/Combat/Encounters/encounter_13.asset","4-7","0","0","enemy:inquisition-rune-sniper×1-2|enemy:inquisition-ward-knight×1-2","2","4","—","—","—","0","0","—","—","battlefieldModifierIds:","battlefield:narrow-bridge","counter:reach|counter:mundane|counter:smoke","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:14","Assets/Resources/SO/V20/Combat/Encounters/encounter_14.asset","4-7","0","0","enemy:inquisition-censor×1-2|enemy:inquisition-purifier×1-2","2","4","1","0.632","1","1","8","1","1","battlefieldModifierIds:","battlefield:broken-pillars","counter:flank|counter:dispel","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:15","Assets/Resources/SO/V20/Combat/Encounters/encounter_15.asset","4-7","1","0","enemy:inquisition-high-judge×1-2|enemy:inquisition-rune-sniper×1-2|enemy:inquisition-ward-knight×1-2","3","6","—","—","—","2","8","—","—","target:field-medic","battlefield:elevated-gallery","counter:anti-air|counter:split-pressure","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:16","Assets/Resources/SO/V20/Combat/Encounters/encounter_16.asset","4-7","0","0","enemy:merchant-caravan-blade×1-2|enemy:merchant-hired-bulwark×1-2","2","4","0.411","1","1","3","7","0.95","1","target:war-device","battlefield:flooded-floor","counter:insulated|counter:brace|counter:sabotage","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:17","Assets/Resources/SO/V20/Combat/Encounters/encounter_17.asset","5-8","0","0","enemy:merchant-hired-bulwark×1-2|enemy:merchant-crossbow×1-2","2","4","—","—","—","4","8","—","—","battlefieldModifierIds:","battlefield:civilian-corridor","counter:precision|counter:separate-cargo","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:18","Assets/Resources/SO/V20/Combat/Encounters/encounter_18.asset","5-8","0","1","enemy:merchant-crossbow×1-1|enemy:merchant-caravan-blade×1-2","2","3","1","1","1","5","6","1","1.2","enemy:merchant-crossbow","battlefield:unstable-device","counter:sabotage|counter:cover|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:19","Assets/Resources/SO/V20/Combat/Encounters/encounter_19.asset","5-8","0","0","enemy:merchant-alchemist×1-2|enemy:merchant-hired-bulwark×1-2","2","4","—","—","—","0","0","—","—","battlefieldModifierIds:","battlefield:sealed-exit","counter:engineering|counter:air-filter|counter:rush","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:20","Assets/Resources/SO/V20/Combat/Encounters/encounter_20.asset","5-8","1","0","enemy:merchant-factor×1-2|enemy:merchant-crossbow×1-2|enemy:merchant-caravan-blade×1-2","3","6","—","—","—","1","8","—","—","battlefieldModifierIds:","battlefield:hostage-chain","counter:nonlethal|counter:deny-retreat","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:21","Assets/Resources/SO/V20/Combat/Encounters/encounter_21.asset","6-9","0","0","enemy:settler-trapper×1-2|enemy:settler-hunter×1-2","2","4","2.53","2","1","2","7","1","1","target:field-medic","battlefield:mana-storm","counter:mana-grounding|counter:slow-advance","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:22","Assets/Resources/SO/V20/Combat/Encounters/encounter_22.asset","6-9","0","0","enemy:settler-barricadier×1-2|enemy:settler-hunter×1-2","2","4","1.45","0.8","1","3","7","1","1","target:war-device","battlefield:powder-smoke","counter:smoke-hood|counter:destroy-cover|counter:sabotage","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:23","Assets/Resources/SO/V20/Combat/Encounters/encounter_23.asset","6-9","0","0","enemy:settler-hunter×1-2|enemy:settler-trapper×1-2","2","4","—","—","—","4","7","—","—","battlefieldModifierIds:","battlefield:spore-bloom","counter:fungicide|counter:smoke","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:24","Assets/Resources/SO/V20/Combat/Encounters/encounter_24.asset","6-9","0","1","enemy:settler-herbalist×1-1|enemy:settler-barricadier×1-2","2","3","—","—","—","5","6","—","—","enemy:settler-herbalist","battlefield:collapsing-ceiling","counter:mobile|counter:focus-support|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:25","Assets/Resources/SO/V20/Combat/Encounters/encounter_25.asset","7-10","1","0","enemy:settler-ranger-chief×1-2|enemy:settler-hunter×1-2|enemy:settler-trapper×1-2","3","6","2.53","4","1","0","0","1","1","battlefieldModifierIds:","battlefield:narrow-bridge","counter:reach|counter:pin-leader","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:26","Assets/Resources/SO/V20/Combat/Encounters/encounter_26.asset","7-10","0","0","enemy:rival-packbreaker×1-2|enemy:rival-stormcaller×1-2","2","4","—","—","—","1","8","—","—","battlefieldModifierIds:","battlefield:broken-pillars","counter:flank|counter:guard-backline","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:27","Assets/Resources/SO/V20/Combat/Encounters/encounter_27.asset","7-10","0","0","enemy:rival-pactbinder×1-2|enemy:rival-packbreaker×1-2","2","4","2","2","1","2","7","1","1","target:field-medic","battlefield:elevated-gallery","counter:anti-air|counter:dispel","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:28","Assets/Resources/SO/V20/Combat/Encounters/encounter_28.asset","7-10","0","0","enemy:rival-siege-frame×1-2|enemy:rival-pactbinder×1-2","2","4","3.2","1","1","3","8","1","1","target:war-device","battlefield:flooded-floor","counter:insulated|counter:mana-disrupt|counter:sabotage","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:29","Assets/Resources/SO/V20/Combat/Encounters/encounter_29.asset","8-11","0","0","enemy:rival-stormcaller×1-2|enemy:rival-packbreaker×1-2","2","4","—","—","—","4","7","—","—","battlefieldModifierIds:","battlefield:civilian-corridor","counter:precision|counter:anti-air","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:30","Assets/Resources/SO/V20/Combat/Encounters/encounter_30.asset","8-11","0","1","enemy:rival-spore-shepherd×1-1|enemy:rival-pactbinder×1-2","2","3","2.53","1","1","5","7","1","2","enemy:rival-spore-shepherd","battlefield:unstable-device","counter:sabotage|counter:fungicide|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:31","Assets/Resources/SO/V20/Combat/Encounters/encounter_31.asset","8-11","0","0","enemy:truth-sealkeeper×1-2|enemy:truth-null-warden×1-2","2","4","—","—","—","0","0","—","—","battlefieldModifierIds:","battlefield:sealed-exit","counter:engineering|counter:mundane","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:32","Assets/Resources/SO/V20/Combat/Encounters/encounter_32.asset","8-11","0","0","enemy:truth-null-warden×1-2|enemy:truth-sealkeeper×1-2","2","4","—","—","—","1","8","—","—","battlefieldModifierIds:","battlefield:hostage-chain","counter:nonlethal|counter:powder|counter:interrupt-heal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:33","Assets/Resources/SO/V20/Combat/Encounters/encounter_33.asset","9-12","1","0","enemy:truth-archivist×1-2|enemy:truth-sealkeeper×1-2|enemy:truth-null-warden×1-2","3","6","1.1","7","8","2","8","1","1","target:field-medic","battlefield:mana-storm","counter:mana-grounding|counter:mixed-tactics","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:34","Assets/Resources/SO/V20/Combat/Encounters/encounter_34.asset","9-12","0","0","enemy:neutral-mercenary×1-2|enemy:merchant-crossbow×1-2","2","4","3.5","1","1","3","7","1","1","target:war-device","battlefield:powder-smoke","counter:smoke-hood|counter:break-contract|counter:sabotage","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:35","Assets/Resources/SO/V20/Combat/Encounters/encounter_35.asset","9-12","1","0","enemy:neutral-clockwork×1-2|enemy:rival-spore-shepherd×1-2","2","4","—","—","—","4","8","—","—","battlefieldModifierIds:","battlefield:spore-bloom","counter:fungicide|counter:precision","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:36","Assets/Resources/SO/V20/Combat/Encounters/encounter_36.asset","9-12","0","1","enemy:neutral-smoke-sapper×1-1|enemy:neutral-mercenary×1-2","2","3","2.53","1","1","5","6","1","0.5","enemy:neutral-smoke-sapper","battlefield:collapsing-ceiling","counter:mobile|counter:detector|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
