"procedure_id","source_path","kind","family","urgency","required_research","required_facility_tags","required_wu","difficulty_penalty","infection_risk","bleeding_risk","requires_anesthesia","requires_restraint","material_bom","material_kg","material_market_value","required_material_count","optional_material_count","final_value_source","static_status"
"procedure:live-organ-extraction","Assets/Resources/SO/Medical/Procedures/procedure_live-organ-extraction.asset","5","0","2","research:medical:surgery","28","42","0.25","0.16","0.3","1","1","medicine:standard×2|resource:blood×1","1.1","72","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:myconid-core-graft","Assets/Resources/SO/Medical/Procedures/procedure_myconid-core-graft.asset","12","2","2","research:medical:mycelial-grafting","12","34","0.12","0.08","0.08","0","0","medical:sterile-mycelium-graft×1","1.15","33","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:myconid-hypha-binding","Assets/Resources/SO/Medical/Procedures/procedure_myconid-hypha-binding.asset","12","2","2","research:medical:mycelial-grafting","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:myconid-regrowth","Assets/Resources/SO/Medical/Procedures/procedure_myconid-regrowth.asset","12","2","2","research:medical:mycelial-grafting","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:myconid-spore-cleaning","Assets/Resources/SO/Medical/Procedures/procedure_myconid-spore-cleaning.asset","12","2","2","research:medical:mycelial-grafting","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:natural-organ-transplant","Assets/Resources/SO/Medical/Procedures/procedure_natural-organ-transplant.asset","6","0","2","research:medical:xenotransplant","280","58","0.2","0.14","0.22","1","1","medicine:standard×2|medicine:immunosuppressant×1","0.7","135","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:orc-combat-heart","Assets/Resources/SO/Medical/Procedures/procedure_orc-combat-heart.asset","13","0","1","research:medical:surgery","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:orc-skeletal-reinforcement","Assets/Resources/SO/Medical/Procedures/procedure_orc-skeletal-reinforcement.asset","13","0","1","research:medical:surgery","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:organ-regeneration","Assets/Resources/SO/Medical/Procedures/procedure_organ-regeneration.asset","3","7","1","research:medical:organ-regeneration","8192","96","0.16","0.1","0.08","1","0","medical:organ-regeneration-scaffold×1|medical:regenerative-medium×1","3.75","388","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:organ-repair","Assets/Resources/SO/Medical/Procedures/procedure_organ-repair.asset","3","0","2","research:medical:surgery","28","34","0.14","0.1","0.14","1","1","medicine:standard×2|medicine:disinfectant×1","0.8","88","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:prosthetic-installation","Assets/Resources/SO/Medical/Procedures/procedure_prosthetic-installation.asset","7","0","2","research:medical:prosthetics","28","44","0.14","0.1","0.16","1","1","material:lumber×2","2.4","10","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:rehabilitation","Assets/Resources/SO/Medical/Procedures/procedure_rehabilitation.asset","10","0","2","research:medical:prosthetics","64","30","0.03","0.04","0.02","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:rune-hibernation","Assets/Resources/SO/Medical/Procedures/procedure_rune-hibernation.asset","12","7","1","research:medical:rune-hibernation","8192","64","0.16","0.02","0","0","0","medical:rune-hibernation-catalyst×1","0.55","476","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:slime-core-stabilization","Assets/Resources/SO/Medical/Procedures/procedure_slime-core-stabilization.asset","12","1","2","research:medical:slime-bioengineering","12","34","0.12","0.08","0.08","0","0","medical:slime-coagulation-frame×1","1.15","70","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:slime-membrane-suture","Assets/Resources/SO/Medical/Procedures/procedure_slime-membrane-suture.asset","12","1","2","research:medical:slime-bioengineering","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:slime-pseudopod-reshape","Assets/Resources/SO/Medical/Procedures/procedure_slime-pseudopod-reshape.asset","12","1","2","research:medical:slime-bioengineering","12","34","0.12","0.08","0.08","0","0","resource:blood×1","0.5","2","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:slime-replenishment","Assets/Resources/SO/Medical/Procedures/procedure_slime-replenishment.asset","12","1","2","research:medical:slime-bioengineering","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:temporal-stasis","Assets/Resources/SO/Medical/Procedures/procedure_temporal-stasis.asset","12","7","1","research:medical:temporal-stasis","8192","140","0.16","0.02","0","0","0","component:temporal-stasis-seal×1","2.65","1715","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:vampire-blood-sac","Assets/Resources/SO/Medical/Procedures/procedure_vampire-blood-sac.asset","13","5","1","research:medical:bloodcraft-augmentation","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:vampire-night-eye","Assets/Resources/SO/Medical/Procedures/procedure_vampire-night-eye.asset","13","5","1","research:medical:bloodcraft-augmentation","12","34","0.12","0.08","0.08","0","0","medicine:standard×1","0.3","35","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:whole-body-regeneration","Assets/Resources/SO/Medical/Procedures/procedure_whole-body-regeneration.asset","9","7","1","research:medical:whole-body-regeneration","8192","180","0.16","0.1","0.08","1","0","medical:whole-body-regeneration-medium×1","14.5","1443","1","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
"procedure:xenograft","Assets/Resources/SO/Medical/Procedures/procedure_xenograft.asset","6","0","2","research:medical:xenotransplant","792","72","0.28","0.18","0.28","1","1","medicine:standard×3|medicine:immunosuppressant×2","1.1","235","2","0","serialized SurgicalProcedureSO asset + item-numeric-ledger.csv","locked"
