research_id,relation_direction,binding_kind,content_type,content_id,resolution_status,field_path,source_path,relation_source
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,source:spoilage-mixed,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/source_spoilage_mixed.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,source:spoilage-plant,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/source_spoilage_plant.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:cultivar-breeding,research-to-content,unlocks-building,BuildingSO,building:8893,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_cultivar_breeding.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:cultivar-breeding,content-requires-research,requires,ProductionRecipeSO,recipe:supply:certified-seed-kit,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R85_인증_품종_종자_꾸러미.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:field,research-to-content,unlocks-building,BuildingSO,building:1095,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_field.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:field,content-requires-research,requires,CropDefinitionSO,crop:ember-root,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Crops/crop_ember_root.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:field,content-requires-research,requires,CropDefinitionSO,crop:twilight-grain,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Crops/crop_twilight_grain.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:gathering,research-to-content,unlocks-building,BuildingSO,building:8801,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_gathering.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:gathering,content-requires-research,requires,CropDefinitionSO,crop:cave-mushroom,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Crops/crop_cave_mushroom.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:gathering,content-requires-research,requires,ProductionRecipeSO,source:grass,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/source_grass.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:greenhouse-horticulture,research-to-content,unlocks-building,BuildingSO,building:8854,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_greenhouse_horticulture.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:greenhouse-horticulture,content-requires-research,requires,ProductionRecipeSO,recipe:supply:greenhouse-nutrient,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R86_온실_영양액.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:indoor,research-to-content,unlocks-building,BuildingSO,building:1096,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_indoor.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:indoor,research-to-content,unlocks-building,BuildingSO,building:1627,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_indoor.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:irrigation,research-to-content,unlocks-building,BuildingSO,building:8802,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_irrigation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:irrigation,content-requires-research,requires,CropDefinitionSO,crop:night-grape,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Crops/crop_night_grape.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:irrigation,content-requires-research,requires,ProductionRecipeSO,recipe:resource:clean-water,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R01_깨끗한_물.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:phenology,research-to-content,unlocks-building,BuildingSO,building:8850,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_phenology.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:phenology,research-to-content,unlocks-building,BuildingSO,building:8890,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_phenology.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:soil-cycles,research-to-content,unlocks-building,BuildingSO,building:8852,resolved-content,references.RefIds.2.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_soil_cycles.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:soil-cycles,research-to-content,unlocks-building,BuildingSO,building:8891,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_soil_cycles.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:soil-cycles,research-to-content,unlocks-building,BuildingSO,building:8892,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_soil_cycles.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:soil-cycles,content-requires-research,requires,ProductionRecipeSO,recipe:supply:botanical-pesticide,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R57_식물성_살충제.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:soil-cycles,content-requires-research,requires,ProductionRecipeSO,recipe:supply:fungicide,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R58_살균제.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:soil-cycles,content-requires-research,requires,ProductionRecipeSO,recipe:supply:pest-lure,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R56_해충_유인제.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:subterranean,research-to-content,unlocks-building,BuildingSO,building:8803,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_subterranean.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:subterranean,content-requires-research,requires,ProductionRecipeSO,recipe:supply:mushroom-substrate,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R53_균사_재배_배지.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:advanced,research-to-content,unlocks-building,BuildingSO,building:1056,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/arcane_advanced.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:arcane:advanced,content-requires-research,references,FacilityBlueprintSO,facility-blueprint:6104,resolved-content,targetResearchProjectId,Assets/Resources/SO/Blueprint/P1/BP_ArcaneBasics.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:advanced,content-requires-research,requires,ProductionRecipeSO,recipe:arrow-rune,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_arrow_rune.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:advanced,content-requires-research,requires,ProductionRecipeSO,recipe:bolt-rune,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_bolt_rune.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:alchemy,research-to-content,unlocks-building,BuildingSO,building:1091,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/arcane_alchemy.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:arcane:alchemy,research-to-content,unlocks-building,BuildingSO,building:1625,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/arcane_alchemy.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:arcane:alchemy,content-requires-research,requires,ProductionRecipeSO,recipe:craft:toxic-trap-coating,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R50_독성_함정_도포제.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:alchemy,content-requires-research,requires,ProductionRecipeSO,recipe:fang-poison,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_fang_poison.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:alchemy,content-requires-research,requires,ProductionRecipeSO,recipe:rot-toxin,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_rot_toxin.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:records,research-to-content,unlocks-building,BuildingSO,building:1032,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/arcane_records.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:arcane:records,content-requires-research,requires,ProductionRecipeSO,recipe:record:arcane-index,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R91_비전_색인철.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:resonance,research-to-content,unlocks-building,BuildingSO,building:8897,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/arcane_resonance.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:arcane:resonance,content-requires-research,references,FacilityBlueprintSO,facility-blueprint:6193,resolved-content,targetResearchProjectId,Assets/Resources/SO/Blueprint/P1/BP_StormFireTrap.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:arcane:resonance,research-to-content,unlocks-recipe,FacilitySynthesisRecipeSO,recipe_arcane_ritual_2,resolved-content,references.RefIds.0.data.recipeId,Assets/Resources/SO/Research/Projects/arcane_resonance.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:authority:office,research-to-content,unlocks-building,BuildingSO,building:1026,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/authority_office.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:authority:office,content-requires-research,requires,ProductionRecipeSO,recipe:tool:administrative-seal,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R92_행정_인장.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:authority:prestige,research-to-content,unlocks-building,BuildingSO,building:8804,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/authority_prestige.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:authority:prestige,content-requires-research,requires,ProductionRecipeSO,recipe:bone-charm,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_bone_charm.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:authority:quarters,research-to-content,unlocks-building,BuildingSO,building:1029,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/authority_quarters.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:authority:ritual,research-to-content,unlocks-building,BuildingSO,building:8805,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/authority_ritual.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:authority:ritual,content-requires-research,requires,ProductionRecipeSO,recipe:candle,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_candle.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:authority:ritual,content-requires-research,requires,ProductionRecipeSO,recipe:craft:dreamweave-ritual-banner,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R47_몽직물_의식_장식.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:bath-business,research-to-content,unlocks-building,BuildingSO,building:1701,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/bath_business.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:bath-business,research-to-content,unlocks-building,BuildingSO,building:1710,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/bath_business.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:climate:environment-control,research-to-content,unlocks-building,BuildingSO,building:8856,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/climate_environment_control.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:climate:environment-control,content-requires-research,requires,ProductionRecipeSO,recipe:component:climate-control-manifold,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R87_기후_제어_매니폴드.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:climate:regional-climatology,research-to-content,unlocks-building,BuildingSO,building:8888,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/climate_regional_climatology.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:climate:regional-climatology,research-to-content,unlocks-building,BuildingSO,building:8889,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/climate_regional_climatology.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:climate:weather-observation,research-to-content,unlocks-building,BuildingSO,building:8851,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/climate_weather_observation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:climate:weather-observation,content-requires-research,requires,ProductionRecipeSO,recipe:tool:weather-observation-kit,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R88_기상_관측_도구함.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:expansion,research-to-content,unlocks-building,BuildingSO,building:1005,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_expansion.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:expansion,research-to-content,unlocks-building,BuildingSO,building:1007,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_expansion.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:expansion,research-to-content,unlocks-building,BuildingSO,building:1010,resolved-content,references.RefIds.2.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_expansion.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:expansion,research-to-content,unlocks-building,BuildingSO,building:1011,resolved-content,references.RefIds.3.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_expansion.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:expansion,research-to-content,unlocks-building,BuildingSO,building:1019,resolved-content,references.RefIds.4.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_expansion.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:expansion,content-requires-research,references,FacilityBlueprintSO,facility-blueprint:6101,resolved-content,targetResearchProjectId,Assets/Resources/SO/Blueprint/P1/BP_CommercialBasics.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:logistics,content-requires-research,requires,ApparelDefinitionSO,apparel:23023,resolved-content,requiredResearchId,Assets/Resources/SO/Apparel/Definitions/apparel_hauling_harness.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:logistics,research-to-content,unlocks-building,BuildingSO,building:8806,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_logistics.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:logistics,content-requires-research,requires,EnvironmentalWorkwearSO,workwear:hauling-harness,resolved-content,requiredResearchId,Assets/Resources/SO/Environment/Workwear/HaulingHarness.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:logistics,content-requires-research,requires,ProductionRecipeSO,recipe:tool:hauling-harness,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R97_운반_멜빵.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:logistics,content-requires-research,requires,ProductionRecipeSO,recipe:v22:apparel:hauling-harness,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/V22Apparel/recipe_v22_apparel_hauling_harness.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:logistics,research-to-content,unlocks-recipe,ProductionRecipeSO,recipe:v22:apparel:hauling-harness,resolved-content,references.RefIds.1.data.recipeId,Assets/Resources/SO/Research/Projects/commerce_logistics.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:retail,research-to-content,unlocks-building,BuildingSO,building:8807,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_retail.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:retail,content-requires-research,requires,ProductionRecipeSO,recipe:component:price-board,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R98_가격표_게시판.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:secure-trade,research-to-content,unlocks-building,BuildingSO,building:8898,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/commerce_secure_trade.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:commerce:secure-trade,content-requires-research,references,FacilityBlueprintSO,facility-blueprint:6191,resolved-content,targetResearchProjectId,Assets/Resources/SO/Blueprint/P1/BP_BattleDining.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:commerce:secure-trade,research-to-content,unlocks-recipe,FacilitySynthesisRecipeSO,recipe_commerce_secure_display_2,resolved-content,references.RefIds.0.data.recipeId,Assets/Resources/SO/Research/Projects/commerce_secure_trade.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:control:blood-show,research-to-content,unlocks-building,BuildingSO,building:8808,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/control_blood_show.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:control:blood-show,content-requires-research,requires,ProductionRecipeSO,recipe:ritual-reagent,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_ritual_reagent.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:control:blood-show,content-requires-research,requires,ProductionRecipeSO,source:spoilage-forbidden,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/source_spoilage_forbidden.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:control:labor,research-to-content,unlocks-building,BuildingSO,building:8809,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/control_labor.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:control:labor,content-requires-research,requires,ProductionRecipeSO,recipe:tool:prisoner-work-kit,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R99_포로_작업_도구.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:control:restraints,research-to-content,unlocks-building,BuildingSO,building:8810,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/control_restraints.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:control:restraints,content-requires-research,requires,ProductionRecipeSO,recipe:tool:reinforced-restraint,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R100_강화_구속구.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:control:show,research-to-content,unlocks-building,BuildingSO,building:8811,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/control_show.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:control:show,content-requires-research,requires,ProductionRecipeSO,recipe:supply:performance-prop-box,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R101_공연_소품_상자.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:baking,research-to-content,unlocks-building,BuildingSO,building:1608,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_baking.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:baking,content-requires-research,requires,ProductionRecipeSO,recipe:dough,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_dough.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:baking,content-requires-research,requires,ProductionRecipeSO,recipe:meat-pie,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_meat_pie.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:baking,content-requires-research,requires,ProductionRecipeSO,recipe:vegetable-pie,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_vegetable_pie.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:controlled-fermentation,research-to-content,unlocks-building,BuildingSO,building:1603,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_controlled_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:controlled-fermentation,research-to-content,unlocks-building,BuildingSO,building:1605,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_controlled_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:crops,research-to-content,unlocks-building,BuildingSO,building:1087,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_crops.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:crops,research-to-content,unlocks-building,BuildingSO,building:1607,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_crops.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:crops,content-requires-research,requires,ProductionRecipeSO,recipe:grain-porridge,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_grain_porridge.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:crops,content-requires-research,requires,ProductionRecipeSO,recipe:malt-porridge,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_malt_porridge.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:crops,content-requires-research,requires,ProductionRecipeSO,recipe:mushroom-soup,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_mushroom_soup.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:crops,content-requires-research,requires,ProductionRecipeSO,recipe:root-stew,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_root_stew.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:distilling-aging,research-to-content,unlocks-building,BuildingSO,building:1606,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_distilling_aging.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:distilling-aging,content-requires-research,requires,ProductionRecipeSO,recipe:alcohol,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:distilling-aging,content-requires-research,requires,ProductionRecipeSO,recipe:night-spirit,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_night_spirit.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,research-to-content,unlocks-building,BuildingSO,building:1074,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:fermentation,research-to-content,unlocks-building,BuildingSO,building:1601,resolved-content,references.RefIds.1.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:fermentation,research-to-content,unlocks-building,BuildingSO,building:1602,resolved-content,references.RefIds.2.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:fermentation,research-to-content,unlocks-building,BuildingSO,building:1604,resolved-content,references.RefIds.3.data.buildingId,Assets/Resources/SO/Research/Projects/cuisine_fermentation.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:fermented-liquor,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_fermented_liquor.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:fermented-vinegar,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_fermented_vinegar.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:grape-juice,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_grape_juice.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:grape-syrup,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_grape_syrup.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:night-wine,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_night_wine.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:cuisine:fermentation,content-requires-research,requires,ProductionRecipeSO,recipe:syrup,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_syrup.asset,docs_final/content-db/incoming/research-effects/research-project.csv
