group,content_type,content_count,outgoing_relation_count,incoming_reference_count,code_consumer_count,exact_id_consumer_count,code_systems,content_csv,fields_csv,outgoing_relations_csv,incoming_relations_csv,code_consumers_csv,type_document
characters-traits,CharacterStartingOriginSO,6,0,0,3,0,models:characters; services:character,docs_final/content-db/csv/characters-traits/character-starting-origin.csv,docs_final/content-db/fields/characters-traits/character-starting-origin.csv,docs_final/content-db/relations/characters-traits/character-starting-origin.csv,docs_final/content-db/incoming/characters-traits/character-starting-origin.csv,docs_final/content-db/code-consumers/characters-traits/character-starting-origin.csv,docs_final/content-db/types/characters-traits/character-starting-origin/README.md
characters-traits,CharacterTraitSO,113,243,8,26,0,services:character; services:economy; services:effects; services:infrastructure; services:offense; services:run; views,docs_final/content-db/csv/characters-traits/character-trait.csv,docs_final/content-db/fields/characters-traits/character-trait.csv,docs_final/content-db/relations/characters-traits/character-trait.csv,docs_final/content-db/incoming/characters-traits/character-trait.csv,docs_final/content-db/code-consumers/characters-traits/character-trait.csv,docs_final/content-db/types/characters-traits/character-trait/README.md
events-campaign,ClimateZoneDefinitionSO,5,0,0,2,1,services:infrastructure,docs_final/content-db/csv/events-campaign/climate-zone.csv,docs_final/content-db/fields/events-campaign/climate-zone.csv,docs_final/content-db/relations/events-campaign/climate-zone.csv,docs_final/content-db/incoming/events-campaign/climate-zone.csv,docs_final/content-db/code-consumers/events-campaign/climate-zone.csv,docs_final/content-db/types/events-campaign/climate-zone/README.md
combat-health-world,CombatArmorSO,21,57,0,4,0,services:combat; services:infrastructure; services:offense,docs_final/content-db/csv/combat-health-world/combat-armor.csv,docs_final/content-db/fields/combat-health-world/combat-armor.csv,docs_final/content-db/relations/combat-health-world/combat-armor.csv,docs_final/content-db/incoming/combat-health-world/combat-armor.csv,docs_final/content-db/code-consumers/combat-health-world/combat-armor.csv,docs_final/content-db/types/combat-health-world/combat-armor/README.md
combat-health-world,CombatShieldSO,9,23,6,4,0,services:combat; services:infrastructure; services:offense,docs_final/content-db/csv/combat-health-world/combat-shield.csv,docs_final/content-db/fields/combat-health-world/combat-shield.csv,docs_final/content-db/relations/combat-health-world/combat-shield.csv,docs_final/content-db/incoming/combat-health-world/combat-shield.csv,docs_final/content-db/code-consumers/combat-health-world/combat-shield.csv,docs_final/content-db/types/combat-health-world/combat-shield/README.md
combat-health-world,CombatWeaponSO,31,197,1,9,0,models:economy; services:combat; services:economy; services:infrastructure; services:offense,docs_final/content-db/csv/combat-health-world/combat-weapon.csv,docs_final/content-db/fields/combat-health-world/combat-weapon.csv,docs_final/content-db/relations/combat-health-world/combat-weapon.csv,docs_final/content-db/incoming/combat-health-world/combat-weapon.csv,docs_final/content-db/code-consumers/combat-health-world/combat-weapon.csv,docs_final/content-db/types/combat-health-world/combat-weapon/README.md
production-facilities,CraftMaterialDefinitionSO,12,12,190,46,23,models:economy; models:items; services:character; services:combat; services:defense; services:economy; services:infrastructure; services:items; services:wildlife; views,docs_final/content-db/csv/production-facilities/craft-material.csv,docs_final/content-db/fields/production-facilities/craft-material.csv,docs_final/content-db/relations/production-facilities/craft-material.csv,docs_final/content-db/incoming/production-facilities/craft-material.csv,docs_final/content-db/code-consumers/production-facilities/craft-material.csv,docs_final/content-db/types/production-facilities/craft-material/README.md
production-facilities,CropDefinitionSO,12,24,0,23,2,models:economy; services:combat; services:economy; services:infrastructure; views,docs_final/content-db/csv/production-facilities/crop.csv,docs_final/content-db/fields/production-facilities/crop.csv,docs_final/content-db/relations/production-facilities/crop.csv,docs_final/content-db/incoming/production-facilities/crop.csv,docs_final/content-db/code-consumers/production-facilities/crop.csv,docs_final/content-db/types/production-facilities/crop/README.md
production-facilities,CropGenomeDefinitionSO,32,0,12,3,0,models:economy; services:economy,docs_final/content-db/csv/production-facilities/crop-genome.csv,docs_final/content-db/fields/production-facilities/crop-genome.csv,docs_final/content-db/relations/production-facilities/crop-genome.csv,docs_final/content-db/incoming/production-facilities/crop-genome.csv,docs_final/content-db/code-consumers/production-facilities/crop-genome.csv,docs_final/content-db/types/production-facilities/crop-genome/README.md
events-campaign,CulturalPracticeDefinitionSO,20,60,20,5,0,services:character; services:run,docs_final/content-db/csv/events-campaign/cultural-practice.csv,docs_final/content-db/fields/events-campaign/cultural-practice.csv,docs_final/content-db/relations/events-campaign/cultural-practice.csv,docs_final/content-db/incoming/events-campaign/cultural-practice.csv,docs_final/content-db/code-consumers/events-campaign/cultural-practice.csv,docs_final/content-db/types/events-campaign/cultural-practice/README.md
combat-health-world,DefenseBurnEffectSO,2,0,2,0,0,,docs_final/content-db/csv/combat-health-world/defense-burn-effect.csv,docs_final/content-db/fields/combat-health-world/defense-burn-effect.csv,docs_final/content-db/relations/combat-health-world/defense-burn-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-burn-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-burn-effect.csv,docs_final/content-db/types/combat-health-world/defense-burn-effect/README.md
combat-health-world,DefenseChargeEffectSO,3,0,4,0,0,,docs_final/content-db/csv/combat-health-world/defense-charge-effect.csv,docs_final/content-db/fields/combat-health-world/defense-charge-effect.csv,docs_final/content-db/relations/combat-health-world/defense-charge-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-charge-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-charge-effect.csv,docs_final/content-db/types/combat-health-world/defense-charge-effect/README.md
combat-health-world,DefenseCorrosionEffectSO,3,0,3,0,0,,docs_final/content-db/csv/combat-health-world/defense-corrosion-effect.csv,docs_final/content-db/fields/combat-health-world/defense-corrosion-effect.csv,docs_final/content-db/relations/combat-health-world/defense-corrosion-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-corrosion-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-corrosion-effect.csv,docs_final/content-db/types/combat-health-world/defense-corrosion-effect/README.md
combat-health-world,DefenseDamageEffectSO,11,0,12,0,0,,docs_final/content-db/csv/combat-health-world/defense-damage-effect.csv,docs_final/content-db/fields/combat-health-world/defense-damage-effect.csv,docs_final/content-db/relations/combat-health-world/defense-damage-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-damage-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-damage-effect.csv,docs_final/content-db/types/combat-health-world/defense-damage-effect/README.md
combat-health-world,DefenseGuardAttackEffectSO,5,0,5,0,0,,docs_final/content-db/csv/combat-health-world/defense-guard-attack-effect.csv,docs_final/content-db/fields/combat-health-world/defense-guard-attack-effect.csv,docs_final/content-db/relations/combat-health-world/defense-guard-attack-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-guard-attack-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-guard-attack-effect.csv,docs_final/content-db/types/combat-health-world/defense-guard-attack-effect/README.md
combat-health-world,DefenseSlowEffectSO,3,0,3,0,0,,docs_final/content-db/csv/combat-health-world/defense-slow-effect.csv,docs_final/content-db/fields/combat-health-world/defense-slow-effect.csv,docs_final/content-db/relations/combat-health-world/defense-slow-effect.csv,docs_final/content-db/incoming/combat-health-world/defense-slow-effect.csv,docs_final/content-db/code-consumers/combat-health-world/defense-slow-effect.csv,docs_final/content-db/types/combat-health-world/defense-slow-effect/README.md
combat-health-world,DiseaseDefinitionSO,16,32,23,7,5,services:character; services:infrastructure; services:run; views,docs_final/content-db/csv/combat-health-world/disease.csv,docs_final/content-db/fields/combat-health-world/disease.csv,docs_final/content-db/relations/combat-health-world/disease.csv,docs_final/content-db/incoming/combat-health-world/disease.csv,docs_final/content-db/code-consumers/combat-health-world/disease.csv,docs_final/content-db/types/combat-health-world/disease/README.md
events-campaign,DungeonFactionDefinitionSO,12,72,632,7,6,models:factions; services:factions,docs_final/content-db/csv/events-campaign/dungeon-faction.csv,docs_final/content-db/fields/events-campaign/dungeon-faction.csv,docs_final/content-db/relations/events-campaign/dungeon-faction.csv,docs_final/content-db/incoming/events-campaign/dungeon-faction.csv,docs_final/content-db/code-consumers/events-campaign/dungeon-faction.csv,docs_final/content-db/types/events-campaign/dungeon-faction/README.md
events-campaign,EndingDefinitionSO,9,0,0,19,18,services:run,docs_final/content-db/csv/events-campaign/ending.csv,docs_final/content-db/fields/events-campaign/ending.csv,docs_final/content-db/relations/events-campaign/ending.csv,docs_final/content-db/incoming/events-campaign/ending.csv,docs_final/content-db/code-consumers/events-campaign/ending.csv,docs_final/content-db/types/events-campaign/ending/README.md
combat-health-world,EnemyAbilityDefinitionSO,18,0,73,2,0,services:offense,docs_final/content-db/csv/combat-health-world/enemy-ability.csv,docs_final/content-db/fields/combat-health-world/enemy-ability.csv,docs_final/content-db/relations/combat-health-world/enemy-ability.csv,docs_final/content-db/incoming/combat-health-world/enemy-ability.csv,docs_final/content-db/code-consumers/combat-health-world/enemy-ability.csv,docs_final/content-db/types/combat-health-world/enemy-ability/README.md
combat-health-world,EnemyArchetypeDefinitionSO,36,145,0,5,0,services:invasion; services:offense,docs_final/content-db/csv/combat-health-world/enemy-archetype.csv,docs_final/content-db/fields/combat-health-world/enemy-archetype.csv,docs_final/content-db/relations/combat-health-world/enemy-archetype.csv,docs_final/content-db/incoming/combat-health-world/enemy-archetype.csv,docs_final/content-db/code-consumers/combat-health-world/enemy-archetype.csv,docs_final/content-db/types/combat-health-world/enemy-archetype/README.md
production-facilities,EnvironmentalWorkwearSO,4,8,0,5,1,services:economy; services:infrastructure; services:items,docs_final/content-db/csv/production-facilities/environmental-workwear.csv,docs_final/content-db/fields/production-facilities/environmental-workwear.csv,docs_final/content-db/relations/production-facilities/environmental-workwear.csv,docs_final/content-db/incoming/production-facilities/environmental-workwear.csv,docs_final/content-db/code-consumers/production-facilities/environmental-workwear.csv,docs_final/content-db/types/production-facilities/environmental-workwear/README.md
production-facilities,EquipmentModuleDefinitionSO,20,0,0,9,0,models:combat; services:combat; services:effects; views,docs_final/content-db/csv/production-facilities/equipment-module.csv,docs_final/content-db/fields/production-facilities/equipment-module.csv,docs_final/content-db/relations/production-facilities/equipment-module.csv,docs_final/content-db/incoming/production-facilities/equipment-module.csv,docs_final/content-db/code-consumers/production-facilities/equipment-module.csv,docs_final/content-db/types/production-facilities/equipment-module/README.md
production-facilities,FacilityBlueprintSO,7,7,7,20,0,models:facilityshop; models:research; services:debugging; services:facilityshop; services:infrastructure; services:offense; services:run,docs_final/content-db/csv/production-facilities/facility-blueprint.csv,docs_final/content-db/fields/production-facilities/facility-blueprint.csv,docs_final/content-db/relations/production-facilities/facility-blueprint.csv,docs_final/content-db/incoming/production-facilities/facility-blueprint.csv,docs_final/content-db/code-consumers/production-facilities/facility-blueprint.csv,docs_final/content-db/types/production-facilities/facility-blueprint/README.md
production-facilities,FacilityEvolutionRecipeSO,6,22,0,9,0,services:facilityevolution; services:infrastructure; views,docs_final/content-db/csv/production-facilities/facility-evolution-recipe.csv,docs_final/content-db/fields/production-facilities/facility-evolution-recipe.csv,docs_final/content-db/relations/production-facilities/facility-evolution-recipe.csv,docs_final/content-db/incoming/production-facilities/facility-evolution-recipe.csv,docs_final/content-db/code-consumers/production-facilities/facility-evolution-recipe.csv,docs_final/content-db/types/production-facilities/facility-evolution-recipe/README.md
production-facilities,FacilityEvolutionRecordTokenDefinitionSO,9,0,0,10,9,models:evolution; services:infrastructure,docs_final/content-db/csv/production-facilities/facility-evolution-record-token.csv,docs_final/content-db/fields/production-facilities/facility-evolution-record-token.csv,docs_final/content-db/relations/production-facilities/facility-evolution-record-token.csv,docs_final/content-db/incoming/production-facilities/facility-evolution-record-token.csv,docs_final/content-db/code-consumers/production-facilities/facility-evolution-record-token.csv,docs_final/content-db/types/production-facilities/facility-evolution-record-token/README.md
production-facilities,FacilitySynthesisRecipeSO,9,27,3,6,0,services:codex; services:infrastructure; services:synthesis; views,docs_final/content-db/csv/production-facilities/facility-synthesis-recipe.csv,docs_final/content-db/fields/production-facilities/facility-synthesis-recipe.csv,docs_final/content-db/relations/production-facilities/facility-synthesis-recipe.csv,docs_final/content-db/incoming/production-facilities/facility-synthesis-recipe.csv,docs_final/content-db/code-consumers/production-facilities/facility-synthesis-recipe.csv,docs_final/content-db/types/production-facilities/facility-synthesis-recipe/README.md
events-campaign,FactionArcDefinitionSO,6,78,0,1,0,services:run,docs_final/content-db/csv/events-campaign/faction-arc.csv,docs_final/content-db/fields/events-campaign/faction-arc.csv,docs_final/content-db/relations/events-campaign/faction-arc.csv,docs_final/content-db/incoming/events-campaign/faction-arc.csv,docs_final/content-db/code-consumers/events-campaign/faction-arc.csv,docs_final/content-db/types/events-campaign/faction-arc/README.md
events-campaign,FactionChapterDefinitionSO,36,486,36,3,0,services:run,docs_final/content-db/csv/events-campaign/faction-chapter.csv,docs_final/content-db/fields/events-campaign/faction-chapter.csv,docs_final/content-db/relations/events-campaign/faction-chapter.csv,docs_final/content-db/incoming/events-campaign/faction-chapter.csv,docs_final/content-db/code-consumers/events-campaign/faction-chapter.csv,docs_final/content-db/types/events-campaign/faction-chapter/README.md
events-campaign,FactionContractDefinitionSO,18,90,18,3,0,services:economy; services:run,docs_final/content-db/csv/events-campaign/faction-contract.csv,docs_final/content-db/fields/events-campaign/faction-contract.csv,docs_final/content-db/relations/events-campaign/faction-contract.csv,docs_final/content-db/incoming/events-campaign/faction-contract.csv,docs_final/content-db/code-consumers/events-campaign/faction-contract.csv,docs_final/content-db/types/events-campaign/faction-contract/README.md
characters-traits,FestivalDefinitionSO,20,32,0,3,0,services:character; services:run,docs_final/content-db/csv/characters-traits/festival.csv,docs_final/content-db/fields/characters-traits/festival.csv,docs_final/content-db/relations/characters-traits/festival.csv,docs_final/content-db/incoming/characters-traits/festival.csv,docs_final/content-db/code-consumers/characters-traits/festival.csv,docs_final/content-db/types/characters-traits/festival/README.md
characters-traits,FuneralCultureSO,10,0,10,2,0,models:species; services:character,docs_final/content-db/csv/characters-traits/funeral-culture.csv,docs_final/content-db/fields/characters-traits/funeral-culture.csv,docs_final/content-db/relations/characters-traits/funeral-culture.csv,docs_final/content-db/incoming/characters-traits/funeral-culture.csv,docs_final/content-db/code-consumers/characters-traits/funeral-culture.csv,docs_final/content-db/types/characters-traits/funeral-culture/README.md
research-effects,GameplayEffectConditionDefinitionSO,45,0,50,65,64,models:buildings; models:work; services:character; services:combat; services:economy; services:foundation; services:infrastructure,docs_final/content-db/csv/research-effects/gameplay-effect-condition.csv,docs_final/content-db/fields/research-effects/gameplay-effect-condition.csv,docs_final/content-db/relations/research-effects/gameplay-effect-condition.csv,docs_final/content-db/incoming/research-effects/gameplay-effect-condition.csv,docs_final/content-db/code-consumers/research-effects/gameplay-effect-condition.csv,docs_final/content-db/types/research-effects/gameplay-effect-condition/README.md
research-effects,GameplayEffectDefinitionSO,63,0,303,3,0,services:effects; services:foundation,docs_final/content-db/csv/research-effects/gameplay-effect.csv,docs_final/content-db/fields/research-effects/gameplay-effect.csv,docs_final/content-db/relations/research-effects/gameplay-effect.csv,docs_final/content-db/incoming/research-effects/gameplay-effect.csv,docs_final/content-db/code-consumers/research-effects/gameplay-effect.csv,docs_final/content-db/types/research-effects/gameplay-effect/README.md
items,GenericItemDefinitionSO,710,0,48,37,36,models:captivity; models:combat; models:economy; models:items; models:medical; models:survival; models:wildlife; services:character; services:combat; services:evolution; services:infrastructure; services:items; services:survival,docs_final/content-db/csv/items/generic-item.csv,docs_final/content-db/fields/items/generic-item.csv,docs_final/content-db/relations/items/generic-item.csv,docs_final/content-db/incoming/items/generic-item.csv,docs_final/content-db/code-consumers/items/generic-item.csv,docs_final/content-db/types/items/generic-item/README.md
events-campaign,GuestRequestDefinitionSO,14,69,0,4,0,services:economy; services:run,docs_final/content-db/csv/events-campaign/guest-request.csv,docs_final/content-db/fields/events-campaign/guest-request.csv,docs_final/content-db/relations/events-campaign/guest-request.csv,docs_final/content-db/incoming/events-campaign/guest-request.csv,docs_final/content-db/code-consumers/events-campaign/guest-request.csv,docs_final/content-db/types/events-campaign/guest-request/README.md
characters-traits,HeritableTraitDefinitionSO,24,0,0,5,0,services:character; services:offense,docs_final/content-db/csv/characters-traits/heritable-trait.csv,docs_final/content-db/fields/characters-traits/heritable-trait.csv,docs_final/content-db/relations/characters-traits/heritable-trait.csv,docs_final/content-db/incoming/characters-traits/heritable-trait.csv,docs_final/content-db/code-consumers/characters-traits/heritable-trait.csv,docs_final/content-db/types/characters-traits/heritable-trait/README.md
events-campaign,LifeEventDefinitionSO,32,52,0,6,0,services:character; services:run,docs_final/content-db/csv/events-campaign/life-event.csv,docs_final/content-db/fields/events-campaign/life-event.csv,docs_final/content-db/relations/events-campaign/life-event.csv,docs_final/content-db/incoming/events-campaign/life-event.csv,docs_final/content-db/code-consumers/events-campaign/life-event.csv,docs_final/content-db/types/events-campaign/life-event/README.md
combat-health-world,OffenseDecisionCardSO,49,0,0,5,0,models:offense; services:items; services:offense,docs_final/content-db/csv/combat-health-world/offense-decision-card.csv,docs_final/content-db/fields/combat-health-world/offense-decision-card.csv,docs_final/content-db/relations/combat-health-world/offense-decision-card.csv,docs_final/content-db/incoming/combat-health-world/offense-decision-card.csv,docs_final/content-db/code-consumers/combat-health-world/offense-decision-card.csv,docs_final/content-db/types/combat-health-world/offense-decision-card/README.md
combat-health-world,OffenseEncounterSO,36,72,0,6,0,models:offense; services:items; services:offense; services:run,docs_final/content-db/csv/combat-health-world/offense-encounter.csv,docs_final/content-db/fields/combat-health-world/offense-encounter.csv,docs_final/content-db/relations/combat-health-world/offense-encounter.csv,docs_final/content-db/incoming/combat-health-world/offense-encounter.csv,docs_final/content-db/code-consumers/combat-health-world/offense-encounter.csv,docs_final/content-db/types/combat-health-world/offense-encounter/README.md
combat-health-world,OffenseSiteArchetypeSO,12,12,0,24,19,models:economy; models:offense; services:factions; services:invasion; services:items; services:offense; services:run,docs_final/content-db/csv/combat-health-world/offense-site-archetype.csv,docs_final/content-db/fields/combat-health-world/offense-site-archetype.csv,docs_final/content-db/relations/combat-health-world/offense-site-archetype.csv,docs_final/content-db/incoming/combat-health-world/offense-site-archetype.csv,docs_final/content-db/code-consumers/combat-health-world/offense-site-archetype.csv,docs_final/content-db/types/combat-health-world/offense-site-archetype/README.md
combat-health-world,OffenseUrgentSiteDefinitionSO,6,0,0,7,0,models:offense; services:items; services:offense,docs_final/content-db/csv/combat-health-world/offense-urgent-site.csv,docs_final/content-db/fields/combat-health-world/offense-urgent-site.csv,docs_final/content-db/relations/combat-health-world/offense-urgent-site.csv,docs_final/content-db/incoming/combat-health-world/offense-urgent-site.csv,docs_final/content-db/code-consumers/combat-health-world/offense-urgent-site.csv,docs_final/content-db/types/combat-health-world/offense-urgent-site/README.md
production-facilities,ProductionRecipeSO,355,2006,89,55,3,models:economy; services:combat; services:economy; services:infrastructure; views,docs_final/content-db/csv/production-facilities/production-recipe.csv,docs_final/content-db/fields/production-facilities/production-recipe.csv,docs_final/content-db/relations/production-facilities/production-recipe.csv,docs_final/content-db/incoming/production-facilities/production-recipe.csv,docs_final/content-db/code-consumers/production-facilities/production-recipe.csv,docs_final/content-db/types/production-facilities/production-recipe/README.md
characters-traits,ProficiencyDefinitionSO,9,0,0,13,9,services:character; services:foundation; views,docs_final/content-db/csv/characters-traits/proficiency.csv,docs_final/content-db/fields/characters-traits/proficiency.csv,docs_final/content-db/relations/characters-traits/proficiency.csv,docs_final/content-db/incoming/characters-traits/proficiency.csv,docs_final/content-db/code-consumers/characters-traits/proficiency.csv,docs_final/content-db/types/characters-traits/proficiency/README.md
characters-traits,ReproductionProfileSO,10,0,10,2,0,models:species,docs_final/content-db/csv/characters-traits/reproduction-profile.csv,docs_final/content-db/fields/characters-traits/reproduction-profile.csv,docs_final/content-db/relations/characters-traits/reproduction-profile.csv,docs_final/content-db/incoming/characters-traits/reproduction-profile.csv,docs_final/content-db/code-consumers/characters-traits/reproduction-profile.csv,docs_final/content-db/types/characters-traits/reproduction-profile/README.md
research-effects,ResearchProjectSO,180,1301,1490,39,24,models:coresession; models:economy; services:combat; services:economy; services:effects; services:infrastructure; services:invasion; services:offense; services:run; views,docs_final/content-db/csv/research-effects/research-project.csv,docs_final/content-db/fields/research-effects/research-project.csv,docs_final/content-db/relations/research-effects/research-project.csv,docs_final/content-db/incoming/research-effects/research-project.csv,docs_final/content-db/code-consumers/research-effects/research-project.csv,docs_final/content-db/types/research-effects/research-project/README.md
research-effects,ResearchUnlockBundleDefinitionSO,180,0,1490,24,24,models:coresession; models:economy; services:combat; services:economy; services:infrastructure; services:invasion; services:offense,docs_final/content-db/csv/research-effects/research-unlock-bundle.csv,docs_final/content-db/fields/research-effects/research-unlock-bundle.csv,docs_final/content-db/relations/research-effects/research-unlock-bundle.csv,docs_final/content-db/incoming/research-effects/research-unlock-bundle.csv,docs_final/content-db/code-consumers/research-effects/research-unlock-bundle.csv,docs_final/content-db/types/research-effects/research-unlock-bundle/README.md
items,ResourceItemDefinitionSO,365,0,1536,240,199,models:captivity; models:combat; models:coresession; models:economy; models:items; models:medical; models:survival; models:wildlife; services:captivity; services:character; services:combat; services:defense; services:economy; services:facilityevolution; services:infrastructure; services:invasion; services:items; services:medical; services:offense; services:survival; services:wildlife; views,docs_final/content-db/csv/items/resource-item.csv,docs_final/content-db/fields/items/resource-item.csv,docs_final/content-db/relations/items/resource-item.csv,docs_final/content-db/incoming/items/resource-item.csv,docs_final/content-db/code-consumers/items/resource-item.csv,docs_final/content-db/types/items/resource-item/README.md
