portfolio_id,horizon_day,active_adults,pressure_duration_days,effective_wu_per_day,redeployable_wu_per_day,redeployable_wu_for_pressure,food_water_reference,food_water_response_wu,network_reference,network_response_wu,security_reference,security_response_wu,medical_reference,medical_response_wu,expected_encounter_band,contract_reference,contract_dispatch_wu,contract_deadline_days,contract_cargo_kg,contract_cargo_market_value,periodic_pressure_status,contract_dispatch_status
hospitality,10,3,2,135,30,60,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:harpy:supply,41,20,14.1,2172,within-safe-redeployment,within-deadline-redeployment
hospitality,30,6,3,270,60,180,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:harpy:supply,41,20,14.1,2172,within-safe-redeployment,within-deadline-redeployment
hospitality,120,12,4,540,128,512,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:harpy:crisis,39,7,14.1,2172,within-safe-redeployment,within-deadline-redeployment
hospitality,400,24,5,1080,239,1195,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:harpy:strategic,106,45,14.1,2172,within-safe-redeployment,within-deadline-redeployment
hospitality,960,24,5,1080,222,1110,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:harpy:strategic,106,45,14.1,2172,within-safe-redeployment,within-deadline-redeployment
industrial,10,3,2,135,21,42,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:golem:supply,33,20,19.2,2760,within-safe-redeployment,within-deadline-redeployment
industrial,30,6,3,270,37,111,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:golem:supply,33,20,19.2,2760,within-safe-redeployment,within-deadline-redeployment
industrial,120,12,4,540,79,316,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:golem:crisis,42,7,19.2,2760,within-safe-redeployment,within-deadline-redeployment
industrial,400,24,5,1080,146,730,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:golem:strategic,127,45,19.2,2760,within-safe-redeployment,within-deadline-redeployment
industrial,960,24,5,1080,146,730,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:golem:strategic,127,45,19.2,2760,within-safe-redeployment,within-deadline-redeployment
sanctuary,10,3,2,135,24,48,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:kobold:supply,33,20,16.2,396,within-safe-redeployment,within-deadline-redeployment
sanctuary,30,6,3,270,46,138,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:kobold:supply,33,20,16.2,396,within-safe-redeployment,within-deadline-redeployment
sanctuary,120,12,4,540,95,380,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:kobold:crisis,42,7,16.2,396,within-safe-redeployment,within-deadline-redeployment
sanctuary,400,24,5,1080,192,960,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:kobold:strategic,94,45,16.2,396,within-safe-redeployment,within-deadline-redeployment
sanctuary,960,24,5,1080,189,945,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:kobold:strategic,94,45,16.2,396,within-safe-redeployment,within-deadline-redeployment
underground,10,3,2,135,26,52,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:myconid:supply,31,20,14.1,2172,within-safe-redeployment,within-deadline-redeployment
underground,30,6,3,270,44,132,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:myconid:supply,31,20,14.1,2172,within-safe-redeployment,within-deadline-redeployment
underground,120,12,4,540,90,360,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:myconid:crisis,47,7,14.1,2172,within-safe-redeployment,within-deadline-redeployment
underground,400,24,5,1080,177,885,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:myconid:strategic,106,45,14.1,2172,within-safe-redeployment,within-deadline-redeployment
underground,960,24,5,1080,176,880,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:myconid:strategic,106,45,14.1,2172,within-safe-redeployment,within-deadline-redeployment
