"recipe_id","flow_role","solid_inputs","outputs","direct_wu","processing_hours","clean_water_kg","wastewater_kg","expected_output_units","output_mass_g","output_market_gold","transform_residual_g","final_value_source","throughput_formula","price_formula","static_status"
"recipe:component:sealed-seasonal-container","Transform","material:laminated-lumber×2 | material:hardened-leather×1","component:sealed-seasonal-container×1@1","16","0","0","0","1","1800","75","2350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:siege-counterweight","Transform","component:lead-counterweight×1 | component:machine-parts×1","component:siege-counterweight×1@1","20","0","0","0","1","2350","161","1850","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:siege-reinforcement-kit","Transform","material:plate-blank×2 | component:machine-parts×1","component:siege-reinforcement-kit×1@1","20","0","0","0","1","2350","354","3950","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:stock-sensor-panel","Transform","component:machine-parts×1 | component:precision-parts×1","component:stock-sensor-panel×1@1","32","0","0","0","1","2350","402","1900","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:temporal-stasis-seal","Transform","component:precision-parts×2 | component:rune-conductor×2 | component:mana-shield-plate×1 | resource:mana-crystal×2","component:temporal-stasis-seal×1@1","42","0","0","0","1","2650","1715","9500","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:textile-hardener","Transform","material:starch×2 | resource:dark-resin×1 | resource:clean-water×3","component:textile-hardener×2@1","22","0","0","0","2","2200","24","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:component:waterwheel-drive-shaft","Transform","material:laminated-lumber×2 | material:spring-steel×1","component:waterwheel-drive-shaft×1@1","20","0","0","0","1","3150","190","2200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:compost-animal","Transform","waste:animal-rot×2 | resource:bone×1","material:compost×1@1","10","0","0","0","1","700","11","1100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:compost-manure","Transform","resource:manure×2 | resource:grass-straw×1","material:compost×1@1","10","0","0","0","1","700","11","380","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:compost-mixed","Transform","waste:mixed-rot×2 | resource:grass-straw×1","material:compost×1@1","10","0","0","0","1","700","11","680","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:compost-plant","Transform","waste:plant-rot×2","material:compost×1@1","8","0","0","0","1","700","11","500","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:craft:dreamweave-ritual-banner","Transform","material:dreamweave×1 | material:gold-ingot×1","craft:dreamweave-ritual-banner×1@1","40","0","0","0","1","1350","174","120","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:craft:toxic-trap-coating","Transform","material:rot-toxin×5 | resource:dark-resin×5","craft:toxic-trap-coating×2@1","44","0","0","0","2","2000","44","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:curd","Transform","resource:milk×3 | resource:saltstone×1","material:curd×2@1","32","0","0.2","2.1","2","900","26","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:dog-food","Transform","waste:animal-rot×1 | resource:twilight-grain×1","feed:dog-food×2@1","16","0","0","0","2","1050","12","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:dog-food-fresh","Transform","resource:meat×1 | resource:twilight-grain×1","feed:dog-food×2@1","18","0","0","0","2","1050","12","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:dough","Transform","material:flour×2 | resource:egg×1","material:dough×2@1","34","0","0.3","0.1","2","1000","28","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:dreamleaf-analgesic","Transform","resource:dreamleaf×2 | material:alchemical-solvent×1","drug:dreamleaf-analgesic×1@1","30","0","0","0","1","425","60","35","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:dreamweave","Transform","material:cloth×2 | resource:dreamleaf×2 | resource:mana-crystal×1","material:dreamweave×1@1","38","0","0","0","1","120","17","790","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:egg-pancake","Transform","resource:egg×2 | material:flour×1 | resource:milk×1","food:egg-pancake×2@1","44","0","0.2","0.15","2","1300","30","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:expedition-ration-pack","Transform","material:ration-mixture×1 | material:salted-meat×1 | material:starch×2","food:expedition-ration-pack×2@1","24","0","0","0","2","1500","40","200","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:fang-poison","Transform","resource:fang×2 | material:alchemical-solvent×1","craft:fang-poison×1@1","22","0","0","0","1","550","55","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
