schemaVersion,stableId,definitionKind,unitSemantic,authoringFamily,beforeUnitGrams,proposedUnitGrams,massFormula,producerIds,consumerIds,recipeInputAndOutputGrams,packageTareDisposition,maxStackMass,warehouseAndBufferImpact,ordinaryHaulBatch,ewuAndPriceImpact,sourceDigest,proposalReason,reviewDisposition
v27.mass.family-proposal.3,ammo:bolt-steel,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,105,105,recipe-mass-balance(mass:semantic-authority:ammo:bolt-steel:v1),recipe:bolt-steel,recipe:ammo:incendiary-bolt|recipe:ammo:mana-disruptor-bolt,recipe:ammo:incendiary-bolt:input:0:qty=6:before=630g:proposed=630g|recipe:ammo:mana-disruptor-bolt:input:0:qty=6:before=630g:proposed=630g|recipe:bolt-steel:output:output:recipe:bolt-steel/000/main/ammo:bolt-steel:role=Main:qty=10:probability=1:before=1050g:proposed=1050g,None:0g:none,units=100;before=10500g;proposed=10500g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=58-100;grams=6090-10500g,OPEN:not-captured;authoredUnitPrice=17;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:bolt-steel:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:incendiary-arrow,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,150,150,recipe-mass-balance(mass:semantic-authority:ammo:incendiary-arrow:v1),recipe:ammo:incendiary-arrow,,recipe:ammo:incendiary-arrow:output:output:main:role=Main:qty=6:probability=1:before=900g:proposed=900g,None:0g:none,units=120;before=18000g;proposed=18000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=40-73;grams=6000-10950g,OPEN:not-captured;authoredUnitPrice=26;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:incendiary-arrow:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:incendiary-bolt,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,150,150,recipe-mass-balance(mass:semantic-authority:ammo:incendiary-bolt:v1),recipe:ammo:incendiary-bolt,,recipe:ammo:incendiary-bolt:output:output:main:role=Main:qty=6:probability=1:before=900g:proposed=900g,None:0g:none,units=120;before=18000g;proposed=18000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=40-73;grams=6000-10950g,OPEN:not-captured;authoredUnitPrice=26;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:incendiary-bolt:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:mana-disruptor-bolt,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,150,150,recipe-mass-balance(mass:semantic-authority:ammo:mana-disruptor-bolt:v1),recipe:ammo:mana-disruptor-bolt,,recipe:ammo:mana-disruptor-bolt:output:output:main:role=Main:qty=6:probability=1:before=900g:proposed=900g,None:0g:none,units=120;before=18000g;proposed=18000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=40-73;grams=6000-10950g,OPEN:not-captured;authoredUnitPrice=63;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:mana-disruptor-bolt:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:paper-cartridge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,300,300,recipe-mass-balance(mass:semantic-authority:ammo:paper-cartridge:v1),recipe:ammo:paper-cartridge,,recipe:ammo:paper-cartridge:output:output:main:role=Main:qty=12:probability=1:before=3600g:proposed=3600g,None:0g:none,units=40;before=12000g;proposed=12000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=20-36;grams=6000-10800g,OPEN:not-captured;authoredUnitPrice=11;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:paper-cartridge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:rune-cartridge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,575,575,recipe-mass-balance(mass:semantic-authority:ammo:rune-cartridge:v1),recipe:ammo:rune-cartridge,,recipe:ammo:rune-cartridge:output:output:main:role=Main:qty=6:probability=1:before=3450g:proposed=3450g,None:0g:none,units=20;before=11500g;proposed=11500g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=11-19;grams=6325-10925g,OPEN:not-captured;authoredUnitPrice=53;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:rune-cartridge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:scatter-cartridge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,325,325,recipe-mass-balance(mass:semantic-authority:ammo:scatter-cartridge:v1),recipe:ammo:scatter-cartridge,,recipe:ammo:scatter-cartridge:output:output:main:role=Main:qty=6:probability=1:before=1950g:proposed=1950g,None:0g:none,units=36;before=11700g;proposed=11700g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=19-33;grams=6175-10725g,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:scatter-cartridge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:signal-flare,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,275,275,recipe-mass-balance(mass:semantic-authority:ammo:signal-flare:v1),recipe:ammo:signal-flare,,recipe:ammo:signal-flare:output:output:main:role=Main:qty=4:probability=1:before=1100g:proposed=1100g,None:0g:none,units=40;before=11000g;proposed=11000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=22-40;grams=6050-11000g,OPEN:not-captured;authoredUnitPrice=18;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:signal-flare:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:smoke-cartridge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,175,175,recipe-mass-balance(mass:semantic-authority:ammo:smoke-cartridge:v1),recipe:ammo:smoke-cartridge,,recipe:ammo:smoke-cartridge:output:output:main:role=Main:qty=6:probability=1:before=1050g:proposed=1050g,None:0g:none,units=64;before=11200g;proposed=11200g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=35-62;grams=6125-10850g,OPEN:not-captured;authoredUnitPrice=11;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:smoke-cartridge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:tranquilizer-dart,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,150,150,recipe-mass-balance(mass:semantic-authority:ammo:tranquilizer-dart:v1),recipe:ammo:tranquilizer-dart,,recipe:ammo:tranquilizer-dart:output:output:main:role=Main:qty=6:probability=1:before=900g:proposed=900g,None:0g:none,units=120;before=18000g;proposed=18000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=40-73;grams=6000-10950g,OPEN:not-captured;authoredUnitPrice=14;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:tranquilizer-dart:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:trap-canister,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,1900,1900,recipe-mass-balance(mass:semantic-authority:ammo:trap-canister:v1),recipe:ammo:trap-canister,,recipe:ammo:trap-canister:output:output:main:role=Main:qty=2:probability=1:before=3800g:proposed=3800g,None:0g:none,units=6;before=11400g;proposed=11400g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=4-5;grams=7600-9500g,OPEN:not-captured;authoredUnitPrice=44;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:trap-canister:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:apron,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,420,420,apparel-shape-textile(mass:apparel-item:apparel:apron:authority:v1),recipe:v22:apparel:apron,,recipe:v22:apparel:apron:output:output:recipe:v22:apparel:apron/000/main/apparel:apron:role=Main:qty=1:probability=1:before=420g:proposed=420g,None:0g:none,units=1;before=420g;proposed=420g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=420;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:apron:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:belt,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,200,200,apparel-shape-textile(mass:apparel-item:apparel:belt:authority:v1),recipe:v22:apparel:belt,,recipe:v22:apparel:belt:output:output:recipe:v22:apparel:belt/000/main/apparel:belt:role=Main:qty=1:probability=1:before=200g:proposed=200g,None:0g:none,units=1;before=200g;proposed=200g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=200;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:belt:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:blouse,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,380,380,apparel-shape-textile(mass:apparel-item:apparel:blouse:authority:v1),recipe:v22:apparel:blouse,,recipe:v22:apparel:blouse:output:output:recipe:v22:apparel:blouse/000/main/apparel:blouse:role=Main:qty=1:probability=1:before=380g:proposed=380g,None:0g:none,units=1;before=380g;proposed=380g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=380;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:blouse:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:boots,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,650,650,apparel-shape-textile(mass:apparel-item:apparel:boots:authority:v1),recipe:v22:apparel:boots,,recipe:v22:apparel:boots:output:output:recipe:v22:apparel:boots/000/main/apparel:boots:role=Main:qty=1:probability=1:before=650g:proposed=650g,None:0g:none,units=1;before=650g;proposed=650g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=650;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:boots:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:ceremonial-dress,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,1050,1050,apparel-shape-textile(mass:apparel-item:apparel:ceremonial-dress:authority:v1),recipe:v22:apparel:ceremonial-dress,,recipe:v22:apparel:ceremonial-dress:output:output:recipe:v22:apparel:ceremonial-dress/000/main/apparel:ceremonial-dress:role=Main:qty=1:probability=1:before=1050g:proposed=1050g,None:0g:none,units=1;before=1050g;proposed=1050g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=1050;band=single-unit,OPEN:not-captured;authoredUnitPrice=25;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:ceremonial-dress:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:chest-wrap,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,150,150,apparel-shape-textile(mass:apparel-item:apparel:chest-wrap:authority:v1),recipe:v22:apparel:chest-wrap,,recipe:v22:apparel:chest-wrap:output:output:recipe:v22:apparel:chest-wrap/000/main/apparel:chest-wrap:role=Main:qty=1:probability=1:before=150g:proposed=150g,None:0g:none,units=1;before=150g;proposed=150g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=150;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:chest-wrap:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,apparel:cloak,ItemDefinitionSO,ApparelPiece:1 complete apparel item,ApparelPiece/ApparelShapeAndTextile,720,720,apparel-shape-textile(mass:apparel-item:apparel:cloak:authority:v1),recipe:v22:apparel:cloak,,recipe:v22:apparel:cloak:output:output:recipe:v22:apparel:cloak/000/main/apparel:cloak:role=Main:qty=1:probability=1:before=720g:proposed=720g,None:0g:none,units=1;before=720g;proposed=720g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=IndividualEquipment;units=1;grams=720;band=single-unit,OPEN:not-captured;authoredUnitPrice=19;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:apparel-item:apparel:cloak:authority:v1; unit=1 complete apparel item; haul=IndividualEquipment; tareGrams=0; tareDisposition=None,no-change
