schemaVersion,recipeId,facilityDefinitionId,workstationTag,factorNumerator,factorDenominator,baseMaximumMassGrams,scaledMaximumMassGrams,cycleCapacity,portfolioCapacityGrams,outputProofs,sourceDigest
v27-grand-project-affected-recipe-envelope@1,recipe:herbal-poultice,building:1090,workstation:apothecary,23,20,400,600,4,2400,output:recipe:herbal-poultice/000/main/medicine:herbal-poultice|medicine:herbal-poultice|2|3|200,3bd18f6f47352c4ba5de982f0dfe7c20f9629bae6268615bd7ff1b1d27c8c458
v27-grand-project-affected-recipe-envelope@1,recipe:mana-awakener,building:1091,workstation:alchemy,23,20,100,200,4,800,output:recipe:mana-awakener/000/main/drug:mana-awakener|drug:mana-awakener|1|2|100,6ef733045797c8cd362475d65c6125c942fc12004966bbe25656a61e0679cfb7
v27-grand-project-affected-recipe-envelope@1,recipe:resin-balm,building:1090,workstation:apothecary,23,20,150,300,4,1200,output:recipe:resin-balm/000/main/craft:resin-balm|craft:resin-balm|1|2|150,610009d33194f34ff1506d9913a9d3bc22a757f111164cb480d7f6622d0a1771
v27-grand-project-affected-recipe-envelope@1,recipe:ritual-reagent,building:1091,workstation:alchemy,23,20,250,500,4,2000,output:recipe:ritual-reagent/000/main/craft:ritual-reagent|craft:ritual-reagent|1|2|250,e16f66bd0118755797397fb107e50173146661fd861142337500b68f30d82159
v27-grand-project-affected-recipe-envelope@1,recipe:rot-toxin,building:1091,workstation:alchemy,23,20,200,400,4,1600,output:recipe:rot-toxin/000/main/material:rot-toxin|material:rot-toxin|1|2|200,1501b3f62c89bb5689432e3236555491cf567551bfb92d75d3dff1da7c92d329
v27-grand-project-affected-recipe-envelope@1,recipe:rune-leather,building:1091,workstation:alchemy,23,20,400,800,4,3200,output:recipe:rune-leather/000/main/material:rune-leather|material:rune-leather|1|2|400,fbb4d4bc7959056847117ad4089c10e894a608526b95e6ff7e3fc8ae676f6853
v27-grand-project-affected-recipe-envelope@1,recipe:soap,building:1090,workstation:apothecary,23,20,500,750,4,3000,output:recipe:soap/000/main/craft:soap|craft:soap|2|3|250,4784b362c9ad439a03d862e52d99133f0942d4cca23fd7570bd7f1e94a96a4f7
v27-grand-project-affected-recipe-envelope@1,recipe:solvent,building:1086,workstation:distillery,23,20,300,600,4,2400,output:recipe:solvent/000/main/material:alchemical-solvent|material:alchemical-solvent|1|2|300,2ae807211aeed0d9c056a05f5be0b0edd350b60eb3ece8a5d09b24db55c86e9c
v27-grand-project-affected-recipe-envelope@1,recipe:standard-medicine,building:1090,workstation:apothecary,23,20,320,480,4,1920,output:recipe:standard-medicine/000/main/medicine:standard|medicine:standard|2|3|160,fdb1ab3490a202c46c28713d5c0711af628eaa3d8574f6c276ff7a907b67bb9c
v27-grand-project-affected-recipe-envelope@1,recipe:vitality-tonic,building:1090,workstation:apothecary,23,20,400,600,4,2400,output:recipe:vitality-tonic/000/main/drug:vitality-tonic|drug:vitality-tonic|2|3|200,5642200d3255191e06562fe9d04a427607fa4836272be3e434fbdcb3df03985b
v27-grand-project-affected-recipe-envelope@1,source:quarry,building:1094,workstation:quarry,5,4,10050,15300,4,61200,output:source:quarry/000/main/resource:stone|resource:stone|4|5|1600;output:source:quarry/001/byproduct/resource:coal|resource:coal|1|2|800;output:source:quarry/002/byproduct/resource:iron-ore|resource:iron-ore|1|2|1200;output:source:quarry/003/byproduct/resource:gold-ore|resource:gold-ore|1|2|1300;output:source:quarry/004/byproduct/resource:mana-crystal|resource:mana-crystal|1|2|350,2ef580f1131cb66ce210a6512340e14131e70968794aa75ef970554c4262cbd0
