schemaVersion,definitionId,workstationTag,peakOutputMassGramsPerHour,envelopeSourceDigest,catalogSourceDigest
v27-production-throughput-envelope-playmode@1,building:1096,workstation:hydroponics,562,cc53af59932ee1797410b1337b880d4d151a26fbf0458d77abb4a96d54e04bc4,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8802,workstation:v3:irrigation,24000,42a605652f3a68f8550655e1e7bdb7b2505d4b3d459666cbc959393e3bb31829,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8803,workstation:v3:subterranean,7334,1cefd3241be7a57eb59bf37714120dd3552b3dc58f230ea30280493b12e65884,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8804,workstation:v3:heraldry,4700,4f466f844886dbf709ecacfa93ff2899d9a9a9dea1c2737c02c3d60e6647c3ee,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8805,workstation:v3:ritual,2025,ad174d2a10b8e836157f0e07c0db0742ded2b8c460b142d86bdf3459c4019d8c,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8806,workstation:v3:logistics,4313,6cac7e11c873dae98ffc118806d78a17cd63a88c9a318373d459718ac45df507,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8807,workstation:v3:retail,3600,f813954f9a1da5fd565234246bd0baa242a2b93565aece8c787e2ef50fbd0583,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8809,workstation:v3:prison-labor,7050,16bbe48483e8cd1c0a93d2b7a5cd3ec7d2d1173cd9e18cf2dfa33080e0a8eefc,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8810,workstation:v3:restraint,7500,98e8e50ca17c4893cd1c173be2c923d451d7e9cdfc91fb30869049dc7da8467d,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8811,workstation:v3:show,7313,c21e06db19d195dd4098da2b31df52fcf6bcc69be44bdeb4a4f8cdc31f049463,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8812,workstation:v3:signals,4700,36b0d2bbba2eddff1008ff84c98dca663c5fa9e51b8d726c80b6e5dbe2cc95eb,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8813,workstation:v3:fungal,518,f851a495e1de1aedb034be49bc16cc23e620517edf692b92851d88e4888dd65d,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8816,workstation:v3:treated-lumber,6273,b4854898485ab5c4338c43792e48f6f17a259a15a6e911c4140a97b4fa33b3cd,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8817,workstation:v3:breeding,2200,32434f38c3c8bfab95e3b64ed321ef0cba017528eda543c5b609dfc1cf1db9c0,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8821,workstation:v3:machine-parts,9450,e09f35238ec3f91bb6612427de5289374ca380f97f7634343bc218933ee532d0,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8822,workstation:v3:sanitation,3632,ee523c6cde0f3d58ff3e988a77bcf1e494ab8f32e5b5564ff675aab7c8892369,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8823,workstation:v3:rune-conductor,4500,190e471dba95870e7e71ed1655906df91c16b49c7a23079e30a4c5de97dedeb7,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8824,workstation:v3:defense-ammo,6693,bdf119fdb1497ad2fd2c6926b4b970b91e7a697f71a70ea41851246329dd47ae,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8825,workstation:v3:prototype,3177,32274e1149afaa698cd5126dcabf8ee4b4b66727ee78790dced723d6d99c08a7,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8826,workstation:v3:material-test,37000,46e3edfccffb5edfb144a555c47931d5bd122ebea614f583f296b055de900563,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8827,workstation:v3:factory-layout,2157,fd10f50db8b1d29f3140f68342957f59e7e2fa8216a25f7b813204c9f8d7a454,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8828,workstation:v3:cooling,3066,d275c6d85bb389ad246e9479fbfd69493b247c4e6965bc715affe44d17a27c6b,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8830,workstation:v3:maintenance,7500,a6a47235186a2f981a697933a1e81d3b8ef2d1477f24f5a83e9447a05db3014b,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8831,workstation:v3:powered-tools,4167,cce02b15d773adeefda974f6bc65983d5b5b213b4350c20199792e3eca742163,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8832,workstation:v3:precision-parts,4032,07e85b2cc1190b588686ca5c7066eaf2eb2076d38dc331689a2ffa271e780a9e,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8833,workstation:v3:rune-control,1715,d250fedd7254f82b4e224022290168feb64ab498ea33da7d4d1b709b5802693a,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8835,workstation:v3:armor-tailoring,6001,1bc93d0d7147c3337da535f670e51a740a60e50af03e64cb9d10080868470c59,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8836,workstation:v3:bow-jig,8728,7bd50506108014719ef0a7ce417db03caa0980c58d4d9479492abf15e64acdbc,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8837,workstation:v3:windlass,7050,9f4f2b42c60d69c493d3c5be8a79ebd15216b75c335bb14e2c192b4be0f387b3,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8838,workstation:v3:chain,9000,eb96f7be9e65f421d723f9f3a83697613ca59063ce89a57f27eafe104a03fada,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8839,workstation:v3:plate-jig,9000,12c0da649e62d78c18d83c047c0f4ec96f34cc884c41584a9cbefcdfa5571088,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8840,workstation:v3:powder-mill,9210,f1c18d675fb8f7f2728c0e2466778933ec5e03da4c8420a8cd3dce5ef1be3b1f,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8841,workstation:v3:ammo-press,3123,06f72c395383243217a147b6bc763d82c1e92037cc38f6cf5125a5e1f29707f6,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8842,workstation:v3:appraisal,246,b68b6dd6eec54759b9c6dab4e71087b054fe19412e4e729a1fdd90c6da9f7933,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8843,workstation:v3:restoration,5625,4ed8b81ea58fd5ce7ca790e010613932de4671f913d2586c52423eba1d1d68f0,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8844,workstation:v3:precision-fitting,4407,597f12d020e5b2dbb211a1b049fae9269b3b898b04e632e59bb9637a9de4eb44,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8845,workstation:v3:growth-frame,4575,6f42441b0c9ed5aaac155263cd5e9086b012d0250d00507946faa1f592e6ab7b,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8846,workstation:v3:metrology,4407,0ab328e917af9be208ac3b7c554063003aad358eec5b6c06e80b252b4e449ac8,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8847,workstation:v3:construct-core-engineering,4500,94bb58ae288e1c5c445ba3d3d0b50d24c72ab6175bc571d7af6aa28325e3b4e6,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8848,workstation:v3:dining-operations,11813,a37bee0ba1fed0622896af0cbaac6ac0f1c06df962b7ee92a55560c79688f324,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8849,workstation:v19:seasonal-calendar,2870,82e471de53007b0d8c2419d2df11a6f9728f8ddc84fc420334612ed4079a021d,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8851,workstation:v19:weather-observation,4407,4ddc8cb633665967664285c75622255ce0e01081eb88143f7148783391df5ae9,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8853,workstation:v19:seasonal-storage,6750,2f941d9c9e003f2e53841790b3be7dc2330b9548a0d91d1eec141a37f0abaa14,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8854,workstation:v19:greenhouse,674,aca7ee84212d496086c9d7ca5664d27c3b34cb3d5ae3b1a083b9a7689dc5f385,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8859,workstation:v19:obstetrics,2471,6f0df67c2ce7089c10dbee9bcf86745ce3ca784e6df1d040f0ff3ca64eb6b3fe,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8867,workstation:v19:regenerative-culture,2770,563e4327d2da0dbb9fb61c142c471e39f1b2790339b8f19923d802f5cf1c743b,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8868,workstation:v19:organ-regeneration,4589,4d01e51aea6da452c9dce82ed8237866b6585b481efa9ca26fe015422e683146,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8869,workstation:v19:blood-rejuvenation,3334,45a853627d3b22919ffd497e8201dc50db127efb335f457979855fdc71ec134a,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8870,workstation:v19:rune-hibernation,971,e3c9e1fa5d98de890c2bcd178892eba64a73c5c25f1e8ae54b8966520ecfc4e2,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8871,workstation:v19:whole-body-regeneration,21750,11fe608bbb06f54bee4741fff8ff462b99e5562540c23d4d2a4dc663633cf54c,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8872,workstation:v19:temporal-stasis,3786,469dbafef516b2efabf647c3767f6314a09c1a3f0d7b17c31df8d790a7ae1728,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8874,workstation:v19:isolation,1236,0c7d07ed49634665ef88edb88bd8c785a6289a2c85fe2bab5cb445ffe6494fd7,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8876,workstation:v19:vaccine,2001,e9afd406de794b7b3ebbd39b4cb64a66ed701e1cb4f031154e3c4a002cf7cdc0,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8879,workstation:v19:trait-analysis,3657,fc2d135d1c73e773a9895d76faea025895f7bec6eb8d30295bea507264e6da29,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8881,workstation:v19:cross-lineage,6000,2d6ecf2f15fb3141183a39fd7df80f66a7b3c43f4c7128a31900c112ab865bb3,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8882,workstation:v19:room-assignment,3900,ba408ea4c1d0c89b8d80756e7cc00b3908f937acafe9795a972ada93f5943539,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8885,workstation:v19:counseling,3883,6d2e2fa644cab4cd3d15d22bfc10777d32d73ea6eb06ba682144f2b40865d2e4,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8887,workstation:v19:memorial,2250,717c3523c16529d84046a5d35c3a80ec7b8192ea7aa68a480a900bda59be5fdb,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8891,workstation:v19:pest-control,3450,e3026fd312f2e6dfd6f8f0e208033f6fc6e39d260d02eeeb8a494b996cb84f95,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8892,workstation:v19:crop-pathology,3450,9d927d5385f5b25fa6817ce7b91fe7e8bcdfcd4fcc73217beaf7d48c1e182742,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8893,workstation:v19:cultivar-breeding,3,f9182f03b84bd7f9f98122a9db5992542b14d23479704e860f8fae6a9f489bdc,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8894,workstation:v19:career-records,2200,5c7f8b3e2651e71974dedbf1875a95eca180d417b6d3693a20b413815c672565,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8900,workstation:v21:ballistics-range,5375,3d509d68f239c1a603e4dcd1709e0ca9094c1dbe8e47984eede2fee0b4fa8332,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:8901,workstation:v21:blacksteel-annex,356,ab6443088882dd460a2b21f3ecd10c8c6adfd11e189e1cad06334816f234bf96,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:9301,workstation:v22:tailoring,17220,67ff1139f394b057f8a17e171bfa79f574318c42c96c4256c403ffa7f79c55cb,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:9311,workstation:v22:manual-spinning,600,6dfa429da60c0b0aef0c318f199b22cf01f0b65b49da288de236769694221444,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:9313,workstation:v22:powered-spinning,600,a6a0d9df4f65bb61a2164afbfbe5d4ca8d8f240cfa938f40c812adb2c92513d5,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:9314,workstation:v22:powered-weaving,2025,c5af2f19ff215ae580b28eb4ff3ee4a9b836da3629c3b59150cdbc8c06ba1538,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:9506,m06,3375,deaec5b4714240915957c7d6d246c390c0b8d8a48afafce3b3eca1a4293a081f,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
