"schemaVersion","recipeId","family","priorAuditStatus","priorRuntimeResidualGrams","priorMissingInputGrams","currentInputVector","currentPhysicalInputGrams","currentCleanWaterGrams","currentGuaranteedOutputGrams","currentWastewaterGrams","currentResidualGrams","suggestedPhysicalMassExternalInputKind","suggestedReasonCode","suggestedCanonicalPayload","processAdditionAllowed","currentClosureDisposition","currentLossKind","currentLossReasonCode","currentMassExplanationPayload","ambiguity","blocker","evidence"
"v27.external-input-classification.1","recipe:component:rune-leather-lining","research-overhaul","external-input-authority-missing","-750","750","material:rune-leather*2|material:cloth*2|resource:mana-crystal*1","1550","0","1350","0","200","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R48_룬가죽_장비_안감.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:textile-hardener","research-overhaul","external-input-authority-missing","-1750","1750","material:starch*2|resource:dark-resin*1|resource:clean-water*3","2200","0","2200","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R52_직물_경화제.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:craft:toxic-trap-coating","research-overhaul","external-input-authority-missing","-1600","1600","material:rot-toxin*5|resource:dark-resin*5","2000","0","2000","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R50_독성_함정_도포제.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:expedition-ration-pack","core-workshop","external-input-authority-missing","-300","300","material:ration-mixture*1|material:salted-meat*1|material:starch*2","1700","0","1500","0","200","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","cooking-smoking-water-and-trimming-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=cooking-smoking-water-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/Workshop/recipe_expedition_ration_pack.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:garden-meal","core-workshop","external-input-authority-missing","-425","425","resource:twilight-grain*1|resource:ember-root*1|resource:cave-mushroom*1","1050","700","1500","200","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","cooking-smoking-water-and-trimming-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=cooking-smoking-water-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_garden_meal.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:herbal-poultice","core-workshop","external-input-authority-missing","-200","200","resource:moonflower*1|resource:shade-fiber*1","200","250","400","0","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","herbal-poultice-infusion-and-fiber-preparation-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=herbal-poultice-infusion-and-fiber-preparation-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_herbal_poultice.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:barrel-steel","research-overhaul","external-input-authority-missing","-450","450","material:spring-steel*1|material:steel-ingot*3","4700","0","4300","0","400","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R78_총열강.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:black-powder","research-overhaul","external-input-authority-missing","-6150","6150","material:charcoal*2|resource:sulfur*2|material:niter*4","13200","0","13200","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R13_흑색화약.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:chain-mesh","research-overhaul","external-input-authority-missing","-2400","2400","material:iron-ingot*5","4500","0","4200","0","300","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R75_사슬_망.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:hardened-leather","research-overhaul","external-input-authority-missing","-800","800","material:leather*4|resource:dark-resin*1","2000","0","1900","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","leather-hardening-resin-and-trimming-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=leather-hardening-resin-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R74_경화_가죽.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:laminated-lumber","research-overhaul","external-input-authority-missing","-700","700","material:treated-lumber*2|resource:dark-resin*5","3300","0","3200","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","laminated-lumber-resin-and-planing-residue","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=laminated-lumber-resin-and-planing-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R73_적층_목재.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:mana-alloy","research-overhaul","external-input-authority-missing","-2250","2250","material:steel-ingot*2|material:gold-ingot*2|resource:mana-crystal*2","5100","0","4800","0","300","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R83_마나_합금.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:niter","research-overhaul","external-input-authority-missing","-2300","2300","resource:manure*8|resource:clean-water*1","4500","0","4300","0","200","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FermentationGasLoss","niter-bed-biogenic-gas-and-sediment-residue","process-loss@1|mode=residual|lossKind=FermentationGasLoss|reason=niter-bed-biogenic-gas-and-sediment-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R04_초석.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:paper","research-overhaul","external-input-authority-missing","-1900","1900","material:lumber*3|resource:clean-water*1","4100","0","3600","0","500","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FiberProcessingWaste","paper-pulp-screening-and-trim-residue","process-loss@1|mode=residual|lossKind=FiberProcessingWaste|reason=paper-pulp-screening-and-trim-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R05_종이.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:plate-blank","research-overhaul","external-input-authority-missing","-2500","2500","material:steel-ingot*5","4250","0","4200","0","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R76_판금_소재판.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:rope","research-overhaul","external-input-authority-missing","-1440","1440","resource:shade-fiber*15","1800","0","1800","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R08_밧줄.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:spring-steel","research-overhaul","external-input-authority-missing","-2150","2150","material:steel-ingot*4|material:charcoal*2","4300","0","4300","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R77_용수철강.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:material:sterile-composite","research-overhaul","external-input-authority-missing","-650","650","material:cloth*4|resource:mana-crystal*1|resource:clean-water*3","2650","0","2400","0","250","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R84_무균_복합재.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:blood-wasting","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:blood-wasting*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R71_혈액소모병_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:cave-flu","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:cave-flu*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R66_동굴_독감_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:gut-rot","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:gut-rot*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R68_장부패증_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:mana-pox","research-overhaul","external-input-authority-missing","-660","660","sample:antigen:mana-pox*1|medicine:advanced*1|resource:clean-water*1","3100","0","3000","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R70_마나두창_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:red-fever","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:red-fever*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R67_적열병_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:slime-blight","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:slime-blight*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R72_점액역병_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:medicine:vaccine:spore-lung","research-overhaul","external-input-authority-missing","-60","60","sample:antigen:spore-lung*1|medicine:advanced*1|resource:clean-water*1","2900","0","2800","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","vaccine-culture-filtration-and-sterile-fill-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=vaccine-culture-filtration-and-sterile-fill-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R69_포자폐증_백신.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:moonflower-tea","core-workshop","external-input-authority-missing","-345","345","resource:moonflower*1","80","550","500","100","30","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","cooking-smoking-water-and-trimming-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=cooking-smoking-water-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_moonflower_tea.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:preserved-ration","core-workshop","external-input-authority-missing","-400","400","material:ration-mixture*2|material:starch*2","1600","0","1500","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","cooking-smoking-water-and-trimming-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=cooking-smoking-water-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_preserved_ration.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:salted-meat-stew","core-workshop","external-input-authority-missing","-500","500","material:salted-meat*1|resource:ember-root*1","1100","600","1600","0","100","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","cooking-smoking-water-and-trimming-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=cooking-smoking-water-and-trimming-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/Workshop/recipe_salted_meat_stew.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:botanical-pesticide","research-overhaul","external-input-authority-missing","-600","600","material:rot-toxin*1|material:alcohol*1|resource:clean-water*4","2700","0","2300","0","400","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","botanical-pesticide-steeping-and-filter-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=botanical-pesticide-steeping-and-filter-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R57_식물성_살충제.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:certified-seed-kit","research-overhaul","external-input-authority-missing","-1100","1100","material:paper*2|material:cloth*2","2200","0","2200","0","0","None","not-applicable-physical-bom-authority","(none)","false","balanced-exact","None","none","(none)","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R85_인증_품종_종자_꾸러미.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:fungicide","research-overhaul","external-input-authority-missing","-670","670","medicine:antiseptic*2|material:charcoal*1|resource:clean-water*3","2510","0","2300","0","210","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","fungicide-filtration-and-charcoal-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=fungicide-filtration-and-charcoal-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R58_살균제.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:greenhouse-nutrient","research-overhaul","external-input-authority-missing","-2300","2300","supply:nitrate-fertilizer*3|resource:clean-water*3","4800","0","4400","0","400","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","greenhouse-nutrient-mixing-and-settling-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=greenhouse-nutrient-mixing-and-settling-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R86_온실_영양액.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:mushroom-substrate","research-overhaul","external-input-authority-missing","-1250","1250","material:compost*3|resource:cave-mushroom*1","2350","0","2200","0","150","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FermentationGasLoss","mushroom-substrate-composting-and-screening-residue","process-loss@1|mode=residual|lossKind=FermentationGasLoss|reason=mushroom-substrate-composting-and-screening-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R53_균사_재배_배지.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:supply:nitrate-fertilizer","research-overhaul","external-input-authority-missing","-850","850","material:niter*1|material:compost*2|resource:manure*2","4550","0","4400","0","150","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FermentationGasLoss","nitrate-fertilizer-composting-and-screening-residue","process-loss@1|mode=residual|lossKind=FermentationGasLoss|reason=nitrate-fertilizer-composting-and-screening-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R16_질산_비료.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
