CHARACTER_ALARM_RESPONSE_PLAYMODE
checks=54; failures=0; consoleIssues=0
case	result	detail
ORIGINAL_WORK_RETURNED	PASS	working=True; type=work:construct; target=ConstructionSite_QA alert persistent construction_21_0; priority=work:construct/ConstructionSite_QA alert persistent construction_21_0; preferred=False:; action=일하기; phase=건설 0%
WORK_PROGRESS_CONTINUES_AFTER_RETURN	PASS	suspended=1.387; returned=2.371/700
SUSPENSION_JOURNAL_CLEARED_ON_RETURN	PASS	epoch=4; cleared=True
GREEN_RETURN_OWNERSHIP_CLEAN	PASS	pending=0; returning=0; assigned=0; gates=0; workerGate=False
GREEN_FINAL_EIGHT_TICKS_IDEMPOTENT	PASS	gateRevision=7->7; cancellations=1->1; pending=0; returning=0; assigned=0; gates=0
ALERT_AI_INVARIANTS	PASS	invariants=0->0; paths=0; reservations=0; trace=#88@t=71.752 epoch=5 kind=MovementProgress branch=Work action=71240 destination=-9206788 phase=Moving/1626625469 progress=114 | #89@t=72.964 epoch=5 kind=MovementProgress branch=Work action=71240 destination=-9206788 phase=Moving/1626625469 progress=116 | #90@t=72.964 epoch=5 kind=MovementTerminal branch=Work action=71240 destination=-9206788 phase=Moving/1626625469 progress=117 path=0/Found[0/0] | #91@t=72.964 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Moving/1128093009 progress=118 | #92@t=74.633 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Working/-892567588 progress=119 | #93@t=74.633 epoch=5 kind=ReservationReleased branch=Work action=71240 destination=-9206788 phase=Working/-892567588 progress=120 reservation=-920834476/Released | #94@t=74.633 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Unknown/-1372200234 progress=121 | #95@t=75.491 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Unknown/-733644880 progress=122 | #96@t=76.543 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Unknown/-525225226 progress=123 | #97@t=78.283 epoch=5 kind=PhaseChanged branch=Work action=71240 destination=-9206788 phase=Unknown/-808104955 progress=124 | #98@t=78.283 epoch=5 kind=ActionTerminal branch=Work action=71240 destination=-9206788 phase=Terminal/-808104955 progress=125 terminal=Completed | #99@t=80.737 epoch=5 kind=PathRequested branch=Work action=71240 destination=-9206788 phase=Terminal/0 progress=126 path=6/Requested[0/0] | #100@t=80.737 epoch=5 kind=PathResult branch=Work action=71240 destination=-9206788 phase=Terminal/0 progress=127 path=6/Found[0/7] | #101@t=80.737 epoch=5 kind=ReservationAcquired branch=Work action=71240 destination=-9206788 phase=Terminal/0 progress=128 reservation=-920906518/Acquired | #102@t=80.737 epoch=6 kind=ActionStarted branch=Work action=71240 destination=-9258686 phase=Starting/2061222397 progress=130 | #103@t=80.737 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=131 | #104@t=80.737 epoch=6 kind=MovementStarted branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=132 | #105@t=83.403 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=136 | #106@t=84.636 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=138 | #107@t=85.67 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=140 | #108@t=86.405 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=142 | #109@t=91.221 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=144 | #110@t=93.888 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=146 | #111@t=95.067 epoch=6 kind=MovementProgress branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=148 | #112@t=95.067 epoch=6 kind=MovementTerminal branch=Work action=71240 destination=-9258686 phase=Moving/1626625469 progress=149 path=0/Found[0/0] | #113@t=95.067 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Moving/-850901255 progress=150 | #114@t=97.352 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Working/-1476019064 progress=151 | #115@t=97.352 epoch=6 kind=ReservationReleased branch=Work action=71240 destination=-9258686 phase=Working/-1476019064 progress=152 reservation=-920906518/Released | #116@t=97.352 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Unknown/1698256393 progress=153 | #117@t=99.441 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Unknown/132172452 progress=154 | #118@t=106.959 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Unknown/535456979 progress=155 | #119@t=114.952 epoch=6 kind=PhaseChanged branch=Work action=71240 destination=-9258686 phase=Unknown/-1030626962 progress=156
DESTROY_CASE_WORK_READY	PASS	working=True; target=ConstructionSite_QA alert persistent construction_21_0
DESTROY_CASE_RED_ESCALATION	PASS	incident-signal-published; epoch=5
DESTROY_CASE_SUSPENDED	PASS	journal=building:ba1280218d0c414fa76b82cb095662ef; working=False; routine=False
SUSPENDED_TARGET_DESTROYED	PASS	targetMissing=True; destroyed=True
DESTROY_CASE_INCIDENT_RESOLVED	PASS	incident-resolved
DESTROY_CASE_RETURNED_GREEN	PASS	level=Green; epoch=5
DESTROYED_WORK_JOURNAL_ABANDONED	PASS	epoch=5; priority=
DESTROYED_WORK_NOT_FALSELY_RESTORED	PASS	priority=; assigned=
DESTROY_CASE_AI_INVARIANTS	PASS	invariants=0->0; paths=0; reservations=0
CONSOLE_WARNING_ERROR_ZERO	PASS	
RESULT=PASS; failures=0
