population,width,seed,succeeded,failureCode,solverMode,usedCells,exclusiveCells,rawAccessCells,sharedAccessCells,headroomPermille,accessOverlapSavings,peakNormalUtilizationPermille,peakFaultUtilizationPermille,normalStorageUtilizationPermille,faultStorageUtilizationPermille,storageCapacityGrams,normalStockMassGrams,faultStockMassGrams,placedFacilities,overflowCells
1,27,56,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,57,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,58,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,59,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,60,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,61,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,62,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,63,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,64,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,65,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,66,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,67,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,68,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,69,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,70,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,71,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,72,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,73,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,74,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,75,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,76,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,77,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,78,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,79,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,80,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,81,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,82,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,83,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,84,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,85,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,86,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,87,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,88,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,89,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,90,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,91,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,92,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,93,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,94,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,95,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,96,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,97,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,98,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,99,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,100,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,101,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,102,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,103,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,104,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,105,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,106,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,107,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,108,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,109,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,110,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,111,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,112,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,113,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,114,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,115,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,116,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,117,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,118,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,119,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,120,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,121,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,122,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,123,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,124,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,125,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,126,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,127,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,128,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,129,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,130,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,131,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,132,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,133,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,134,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,135,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,136,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,137,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,138,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,139,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,140,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,141,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,142,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,143,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,144,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,145,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,146,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,147,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,148,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,149,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,150,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,151,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,152,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,153,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,154,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,155,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,156,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,157,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,158,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,159,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,160,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,161,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,162,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,163,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,164,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,165,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,166,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,167,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,168,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,169,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,170,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,171,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,172,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,173,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,174,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,175,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,176,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,177,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,178,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,179,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,180,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,181,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,182,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,183,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,184,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,185,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,186,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,187,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,188,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,189,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,190,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,191,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,192,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,193,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,194,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,195,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,196,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,197,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,198,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,199,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,200,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,201,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,202,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,203,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,204,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,205,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,206,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,207,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,208,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,209,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,210,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,211,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,212,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,213,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,214,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,215,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,216,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,217,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,218,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,219,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,220,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,221,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,222,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,223,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,224,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,225,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,226,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,227,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,228,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,229,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,230,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,231,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,232,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,233,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,234,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,235,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,236,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,237,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,238,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,239,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,240,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,241,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,242,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,243,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,244,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,245,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,246,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,247,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,248,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,249,true,,greedy,21,9,16,9,740,7,20,28,644,839,25000,16100,46100,8,1
1,27,250,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,251,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,252,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,253,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,254,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,255,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,256,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
3,27,1,true,,greedy,40,19,32,18,506,14,52,75,528,663,75000,39600,69600,16,1
3,27,2,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,3,true,,greedy,40,19,32,18,506,14,51,71,528,663,75000,39600,69600,16,1
3,27,4,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,5,true,,greedy,40,19,32,18,506,14,55,77,528,663,75000,39600,69600,16,1
3,27,6,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,7,true,,greedy,40,19,32,18,506,14,52,75,528,663,75000,39600,69600,16,1
3,27,8,true,,greedy,40,19,32,18,506,14,52,73,528,663,75000,39600,69600,16,1
3,27,9,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,10,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,11,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,12,true,,greedy,40,19,32,18,506,14,60,82,528,663,75000,39600,69600,16,1
3,27,13,true,,greedy,40,19,32,18,506,14,60,82,528,663,75000,39600,69600,16,1
3,27,14,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,15,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,16,true,,greedy,40,19,32,18,506,14,52,75,528,663,75000,39600,69600,16,1
3,27,17,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,18,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,19,true,,greedy,40,19,32,18,506,14,67,96,528,663,75000,39600,69600,16,1
3,27,20,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,21,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,22,true,,greedy,40,19,32,18,506,14,55,77,528,663,75000,39600,69600,16,1
3,27,23,true,,greedy,40,19,32,18,506,14,50,71,528,663,75000,39600,69600,16,1
3,27,24,true,,greedy,40,19,32,18,506,14,60,82,528,663,75000,39600,69600,16,1
3,27,25,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,26,true,,greedy,40,19,32,18,506,14,55,77,528,663,75000,39600,69600,16,1
3,27,27,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,28,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,29,true,,greedy,40,19,32,18,506,14,67,96,528,663,75000,39600,69600,16,1
3,27,30,true,,greedy,40,19,32,18,506,14,56,77,528,663,75000,39600,69600,16,1
3,27,31,true,,greedy,40,19,32,18,506,14,52,75,528,663,75000,39600,69600,16,1
3,27,32,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,33,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,34,true,,greedy,40,19,32,18,506,14,56,77,528,663,75000,39600,69600,16,1
3,27,35,true,,greedy,40,19,32,18,506,14,56,75,528,663,75000,39600,69600,16,1
3,27,36,true,,greedy,40,19,32,18,506,14,60,82,528,663,75000,39600,69600,16,1
3,27,37,true,,greedy,40,19,32,18,506,14,55,77,528,663,75000,39600,69600,16,1
3,27,38,true,,greedy,40,19,32,18,506,14,52,75,528,663,75000,39600,69600,16,1
3,27,39,true,,greedy,40,19,32,18,506,14,75,105,528,663,75000,39600,69600,16,1
3,27,40,true,,greedy,40,19,32,18,506,14,52,73,528,663,75000,39600,69600,16,1
3,27,41,true,,greedy,40,19,32,18,506,14,67,96,528,663,75000,39600,69600,16,1
