schemaVersion,stableId,impactDomain,consumerKind,consumerStableId,metric,before,after,deltaStatus,rootCauseIds,formula
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1034,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1036,capacity-grams,13500,13500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1036,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1036,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1037,capacity-grams,27000,27000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1037,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1037,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1050,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1050,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1050,units-fit,90,90,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1051,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1051,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1051,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1052,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1052,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1052,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1053,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1053,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1053,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1054,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1054,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1054,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1055,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1055,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1055,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1056,capacity-grams,15000,15000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1056,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1056,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1062,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1062,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1062,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1802,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1802,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1802,units-fit,90,90,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1803,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1803,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1803,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:9508,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:9508,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:9508,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,ewu,V27EmbeddedWorkValueCalculator,ammo:arrow-bone,acquisition-mewu,14509,14509,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,ammo:arrow-bone,ewu,V27EmbeddedWorkValueCalculator,ammo:arrow-bone,recoverable-mewu,10084,10084,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,ammo:arrow-bone,facility-output,BuildingProductionBufferAbility,building:1093|recipe:arrow-bone|output:recipe:arrow-bone/000/main/ammo:arrow-bone,maximum-line-grams,800,800,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,ammo:arrow-bone,facility-output-buffer,BuildingProductionBufferAbility,building:1093|recipe:arrow-bone,required-capacity-grams,3200,3200,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,ammo:arrow-bone,haul,ordinary-haul,nominal-25kg,target-max-units,100,100,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:arrow-bone,haul,ordinary-haul,nominal-25kg,target-min-units,75,75,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:arrow-bone,market,V27 market projection,ammo:arrow-bone,sale-rate,0.58033329248428345,0.58033329248428345,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,ammo:arrow-bone,market,V27 market projection,ammo:arrow-bone,unit-price-gold,5,5,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,ammo:arrow-bone,mass,ItemDefinitionSO,ammo:arrow-bone,unit-grams,80,80,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
v27.mass.coupling.1,ammo:arrow-bone,stack,ItemDefinitionSO,ammo:arrow-bone,max-stack-mass-grams,8000,8000,unchanged,,unit grams * ItemDefinitionSO.MaxStack
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1009,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1009,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1009,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1015,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1015,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1015,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1018,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1018,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1018,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1025,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1025,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1025,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1028,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1028,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1028,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1032,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1032,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1032,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1033,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1033,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1033,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1034,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1034,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1034,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1036,capacity-grams,13500,13500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1036,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1036,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1037,capacity-grams,27000,27000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1037,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1037,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1050,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1050,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1050,units-fit,312,312,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1051,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1051,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1051,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1052,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1052,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1052,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1053,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1053,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1053,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1054,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1054,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1054,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1055,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1055,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1055,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1056,capacity-grams,15000,15000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1056,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1056,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1062,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1062,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1062,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1802,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1802,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1802,units-fit,312,312,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1803,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1803,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:1803,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:9508,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:9508,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-bone,warehouse,BuildingStorageAbility,building:9508,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-iron,ewu,V27EmbeddedWorkValueCalculator,ammo:arrow-iron,acquisition-mewu,26626,26626,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,ammo:arrow-iron,ewu,V27EmbeddedWorkValueCalculator,ammo:arrow-iron,recoverable-mewu,18497,18497,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,ammo:arrow-iron,facility-output,BuildingProductionBufferAbility,building:1093|recipe:arrow-iron|output:recipe:arrow-iron/000/main/ammo:arrow-iron,maximum-line-grams,900,900,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,ammo:arrow-iron,facility-output-buffer,BuildingProductionBufferAbility,building:1093|recipe:arrow-iron,required-capacity-grams,3600,3600,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,ammo:arrow-iron,haul,ordinary-haul,nominal-25kg,target-max-units,100,100,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:arrow-iron,haul,ordinary-haul,nominal-25kg,target-min-units,67,67,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:arrow-iron,market,V27 market projection,ammo:arrow-iron,sale-rate,0.59166663885116577,0.59166663885116577,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,ammo:arrow-iron,market,V27 market projection,ammo:arrow-iron,unit-price-gold,9,9,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,ammo:arrow-iron,mass,ItemDefinitionSO,ammo:arrow-iron,unit-grams,90,90,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
v27.mass.coupling.1,ammo:arrow-iron,stack,ItemDefinitionSO,ammo:arrow-iron,max-stack-mass-grams,9000,9000,unchanged,,unit grams * ItemDefinitionSO.MaxStack
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1009,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1009,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1009,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1015,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1015,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:arrow-iron,warehouse,BuildingStorageAbility,building:1015,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
