V27_SHIELD_AUTHORITATIVE_BASELINE_128
encounter:01 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=91.4 % | severe=19.2 % | low=20.1 % | failure=100.0 % | median=8.0 | meanHealth=60.3 % | enemyActions=319/694/619/112/64 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:12 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=11.7 % | severe=0.0 % | low=0.0 % | failure=71.2 % | median=7.0 | meanHealth=40.5 % | enemyActions=359/1014/216/169/0 | enemyRetries=0 | enemyRejected=0 | score=440.979056 | stalled=0
encounter:13 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=100.0 % | severe=2.9 % | low=2.6 % | failure=0.0 % | median=8.0 | meanHealth=93.6 % | enemyActions=121/963/403/274/7 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:14 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=78.9 % | severe=52.5 % | low=30.4 % | failure=100.0 % | median=9.0 | meanHealth=52.6 % | enemyActions=1130/629/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=166.011943 | stalled=0
encounter:15 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=75.0 % | severe=47.9 % | low=42.4 % | failure=100.0 % | median=9.0 | meanHealth=38.9 % | enemyActions=742/2028/232/618/0 | enemyRetries=0 | enemyRejected=0 | score=250.000149 | stalled=0
encounter:16 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=44.5 % | severe=24.6 % | low=26.3 % | failure=38.5 % | median=8.0 | meanHealth=59.1 % | enemyActions=395/749/68/99/7 | enemyRetries=0 | enemyRejected=0 | score=1862.086352 | stalled=0
encounter:17 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=8.0 | meanHealth=97.9 % | enemyActions=128/1024/512/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:18 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=6 | win=43.8 % | severe=0.0 % | low=0.0 % | failure=32.9 % | median=7.0 | meanHealth=72.4 % | enemyActions=292/549/87/267/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:19 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=100.0 % | severe=0.2 % | low=0.0 % | failure=0.0 % | median=5.0 | meanHealth=96.8 % | enemyActions=10/581/63/165/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:20 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=2.7 % | low=0.2 % | failure=0.0 % | median=9.0 | meanHealth=89.8 % | enemyActions=501/1739/832/512/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:21 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=94.5 % | severe=0.3 % | low=0.2 % | failure=0.0 % | median=4.0 | meanHealth=98.8 % | enemyActions=233/359/42/204/3 | enemyRetries=0 | enemyRejected=0 | score=938.475961 | stalled=0
encounter:22 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=95.3 % | severe=0.7 % | low=0.0 % | failure=3.3 % | median=5.0 | meanHealth=99.2 % | enemyActions=85/430/268/141/0 | enemyRetries=0 | enemyRejected=0 | score=1042.100035 | stalled=0
encounter:23 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=100.0 % | severe=0.2 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=96.0 % | enemyActions=512/768/128/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:24 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=6 | win=26.6 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=95.4 % | enemyActions=0/702/280/278/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:25 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=99.2 % | severe=17.0 % | low=15.0 % | failure=100.0 % | median=5.0 | meanHealth=77.5 % | enemyActions=529/1081/105/161/5 | enemyRetries=0 | enemyRejected=0 | score=2927.307886 | stalled=0
encounter:26 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=19.4 % | low=10.8 % | failure=0.0 % | median=9.0 | meanHealth=78.8 % | enemyActions=710/1210/0/128/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:27 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=100.0 % | severe=4.4 % | low=3.3 % | failure=0.0 % | median=4.0 | meanHealth=94.7 % | enemyActions=61/533/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:28 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=99.2 % | severe=9.3 % | low=9.3 % | failure=60.0 % | median=3.5 | meanHealth=85.5 % | enemyActions=139/277/213/95/0 | enemyRetries=0 | enemyRejected=0 | score=1641.600576 | stalled=0
encounter:29 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=100.0 % | severe=3.3 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=91.7 % | enemyActions=377/1159/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:30 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=53.1 % | severe=0.3 % | low=0.3 % | failure=13.7 % | median=1.0 | meanHealth=90.5 % | enemyActions=90/640/97/173/1 | enemyRetries=0 | enemyRejected=0 | score=165.039131 | stalled=0
encounter:31 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=3.0 | meanHealth=98.7 % | enemyActions=79/382/28/199/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:32 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=26.1 % | low=23.3 % | failure=0.0 % | median=9.0 | meanHealth=72.8 % | enemyActions=712/764/444/128/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:33 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=26.7 % | low=26.9 % | failure=0.0 % | median=6.0 | meanHealth=72.1 % | enemyActions=395/1297/11/316/0 | enemyRetries=0 | enemyRejected=0 | score=3062.500782 | stalled=0
encounter:34 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=100.0 % | severe=14.1 % | low=18.4 % | failure=0.0 % | median=4.0 | meanHealth=77.4 % | enemyActions=272/385/50/101/0 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:35 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=8.0 | meanHealth=96.3 % | enemyActions=0/896/896/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:36 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=6 | win=16.4 % | severe=0.0 % | low=0.0 % | failure=23.2 % | median=7.0 | meanHealth=75.4 % | enemyActions=125/1036/4/256/0 | enemyRetries=0 | enemyRejected=0 | score=184.631370 | stalled=0
