schemaVersion,itemId,definitionType,assetPath,propertyPath,authoredKilograms,canonicalUnitMassGrams,maxStack,stockCategory,inV27Ledger,inItemCatalog,siteRole,catalogAuthorityPath,gramStatus,unitSemanticStatus,assetGuid
v27.mass.authority.1,ammo:scatter-cartridge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I130_산탄_탄약.asset,unitWeight,0.325,325,36,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I130_산탄_탄약.asset,canonical-gram,missing,088b7a32d9bea3a48b280251c337d937
v27.mass.authority.1,ammo:signal-flare,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I131_신호탄.asset,unitWeight,0.275,275,40,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I131_신호탄.asset,canonical-gram,missing,516493746b25a2045b0dfacb1c4f6239
v27.mass.authority.1,ammo:smoke-cartridge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I128_연막_탄약.asset,unitWeight,0.175,175,64,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I128_연막_탄약.asset,canonical-gram,missing,16eb92fdbe3fb1c4582bf275bb062fc2
v27.mass.authority.1,ammo:tranquilizer-dart,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I134_진정_다트.asset,unitWeight,0.15,150,72,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I134_진정_다트.asset,canonical-gram,missing,ac5d590e33e6c514096d5b00e92e1f60
v27.mass.authority.1,ammo:trap-canister,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I21_함정_산탄통.asset,unitWeight,1.9,1900,6,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I21_함정_산탄통.asset,canonical-gram,missing,43fdbba056b62d34cb7bae16fd381a71
v27.mass.authority.1,apparel:apron,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_apron.asset,unitWeight,0.42,420,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_apron.asset,canonical-gram,missing,c18947f814f0edc42bac1d2a963ddbfb
v27.mass.authority.1,apparel:belt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_belt.asset,unitWeight,0.2,200,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_belt.asset,canonical-gram,missing,1ceca6767b7c1994d8f1ec42e8dd48ed
v27.mass.authority.1,apparel:blouse,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_blouse.asset,unitWeight,0.38,380,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_blouse.asset,canonical-gram,missing,777d967ca318b794db356436683452c8
v27.mass.authority.1,apparel:boots,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_boots.asset,unitWeight,0.65,650,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_boots.asset,canonical-gram,missing,cf1ce92bd0fb8184bbb398dc2668a74a
v27.mass.authority.1,apparel:ceremonial-dress,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_ceremonial_dress.asset,unitWeight,1.05,1050,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_ceremonial_dress.asset,canonical-gram,missing,da20995ab00f6a644b22cbbe2f1ba119
v27.mass.authority.1,apparel:chest-wrap,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_chest_wrap.asset,unitWeight,0.15,150,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_chest_wrap.asset,canonical-gram,missing,ca3a922ec5f83be468062e2f52678cb3
v27.mass.authority.1,apparel:cloak,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_cloak.asset,unitWeight,0.72,720,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_cloak.asset,canonical-gram,missing,3dd02aa2f0342494ca30e29cf8305d8c
v27.mass.authority.1,apparel:contract-sash,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_contract_sash.asset,unitWeight,0.15,150,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_contract_sash.asset,canonical-gram,missing,69ec428ee01af694592b9f8ce4046dc6
v27.mass.authority.1,apparel:daily-robe,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_daily_robe.asset,unitWeight,0.85,850,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_daily_robe.asset,canonical-gram,missing,038372830ad3bd14f8931398cd7d0fba
v27.mass.authority.1,apparel:envoy-coat,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_envoy_coat.asset,unitWeight,0.9,900,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_envoy_coat.asset,canonical-gram,missing,9769b8fb6d0c8964e8522f2a90af2ea8
v27.mass.authority.1,apparel:farmer-workwear,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_farmer_workwear.asset,unitWeight,1,1000,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_farmer_workwear.asset,canonical-gram,missing,22398c6a9c42b8c40910d2b629a82f2d
v27.mass.authority.1,apparel:festival-vest,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_festival_vest.asset,unitWeight,0.48,480,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_festival_vest.asset,canonical-gram,missing,e4da876c3c3360e4c9128800b610cae0
v27.mass.authority.1,apparel:footwraps,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_footwraps.asset,unitWeight,0.1,100,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_footwraps.asset,canonical-gram,missing,966517e814e51bb4181d93fce37e814a
v27.mass.authority.1,apparel:formal-coat,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_formal_coat.asset,unitWeight,0.82,820,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_formal_coat.asset,canonical-gram,missing,d46a27404ffe0434bad7fdec85de4708
v27.mass.authority.1,apparel:gloves,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_gloves.asset,unitWeight,0.25,250,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_gloves.asset,canonical-gram,missing,c2e9ece45107e08409d8c238078c1547
v27.mass.authority.1,apparel:golem-functional-lining,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_golem_functional_lining.asset,unitWeight,0.7,700,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_golem_functional_lining.asset,canonical-gram,missing,16f0eaf44295cfc44b7fd2285d4a9cc9
v27.mass.authority.1,apparel:hat,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_hat.asset,unitWeight,0.2,200,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_hat.asset,canonical-gram,missing,dd4d2ca663ddb4d48a988d684af5627d
v27.mass.authority.1,apparel:heat-work-suit,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_heat_work_suit.asset,unitWeight,1.35,1350,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_heat_work_suit.asset,canonical-gram,missing,2d800f980d8a2b54ea97a43f110bc8d9
v27.mass.authority.1,apparel:hooded-robe,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_hooded_robe.asset,unitWeight,1,1000,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_hooded_robe.asset,canonical-gram,missing,dd4eb316d9ef7d84f8fabc0e4f21ab30
v27.mass.authority.1,apparel:horn-ring,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_horn_ring.asset,unitWeight,0.1,100,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_horn_ring.asset,canonical-gram,missing,b6a94a1b53c28f84a9f74d614202c5cc
v27.mass.authority.1,apparel:keeper-coat,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_keeper_coat.asset,unitWeight,1.15,1150,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_keeper_coat.asset,canonical-gram,missing,f7e16066d8dc4ef4e89d86b30d4fce42
v27.mass.authority.1,apparel:loincloth-underwear,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_loincloth_underwear.asset,unitWeight,0.16,160,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_loincloth_underwear.asset,canonical-gram,missing,20cd7648f8a29ee47b432e205860bac0
v27.mass.authority.1,apparel:long-underpants,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_long_underpants.asset,unitWeight,0.35,350,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_long_underpants.asset,canonical-gram,missing,87bd481ff9081d54e97092c871837bed
v27.mass.authority.1,apparel:lower-underwear,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_lower_underwear.asset,unitWeight,0.18,180,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_lower_underwear.asset,canonical-gram,missing,5b1316d7365fdde40a42729c5af4d2ef
v27.mass.authority.1,apparel:miner-workwear,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_miner_workwear.asset,unitWeight,1.25,1250,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_miner_workwear.asset,canonical-gram,missing,9b9d1e9ef1c15a14a80f533d960a9bf0
v27.mass.authority.1,apparel:mourning-clothes,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_mourning_clothes.asset,unitWeight,0.85,850,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_mourning_clothes.asset,canonical-gram,missing,0789d7e099ab928419522330453ddae6
v27.mass.authority.1,apparel:raincoat,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_raincoat.asset,unitWeight,1.1,1100,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_raincoat.asset,canonical-gram,missing,ee2054fb13c9de04db99e07cf45e644b
v27.mass.authority.1,apparel:ritual-robe,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_ritual_robe.asset,unitWeight,0.95,950,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_ritual_robe.asset,canonical-gram,missing,0eca59a43f7b4bd45aae3aa24ea01c05
v27.mass.authority.1,apparel:scarf,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_scarf.asset,unitWeight,0.18,180,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_scarf.asset,canonical-gram,missing,3cd3f3bca067d874aa0772b9db1c282d
v27.mass.authority.1,apparel:shorts,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_shorts.asset,unitWeight,0.32,320,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_shorts.asset,canonical-gram,missing,511b04f55329e7a4b823b590d491301c
v27.mass.authority.1,apparel:skirt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_skirt.asset,unitWeight,0.42,420,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_skirt.asset,canonical-gram,missing,5d5efab51d8d98c4e9873cceae394141
v27.mass.authority.1,apparel:sky-chorus-shawl,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sky_chorus_shawl.asset,unitWeight,0.22,220,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sky_chorus_shawl.asset,canonical-gram,missing,8ba16ba1fcc0a514595ced2f81962368
v27.mass.authority.1,apparel:sleep-bottom,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sleep_bottom.asset,unitWeight,0.32,320,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sleep_bottom.asset,canonical-gram,missing,0caf6525309ef8642a46769ea3305259
v27.mass.authority.1,apparel:sleep-top,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sleep_top.asset,unitWeight,0.35,350,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sleep_top.asset,canonical-gram,missing,223d616f1568b1a4b9843df957046127
v27.mass.authority.1,apparel:smith-apron,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_smith_apron.asset,unitWeight,0.9,900,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_smith_apron.asset,canonical-gram,missing,8fd0a7d30ff9bfd43a074ff4558a678c
v27.mass.authority.1,apparel:smoke-protection-hood,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_smoke_protection_hood.asset,unitWeight,0.38,380,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_smoke_protection_hood.asset,canonical-gram,missing,ed3178090dd90564c818d9ad1437fded
v27.mass.authority.1,apparel:socks,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_socks.asset,unitWeight,0.12,120,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_socks.asset,canonical-gram,missing,33d003813e6fcf74db0a2fe2680f9fc6
v27.mass.authority.1,apparel:spore-garden-cloak,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_spore_garden_cloak.asset,unitWeight,0.78,780,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_spore_garden_cloak.asset,canonical-gram,missing,a056e3d4e64ba0f4f93d8b6484853197
v27.mass.authority.1,apparel:spore-protection-hood,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_spore_protection_hood.asset,unitWeight,0.35,350,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_spore_protection_hood.asset,canonical-gram,missing,5323c9cd91d5dee4293649287f903f7d
v27.mass.authority.1,apparel:sterile-gown,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sterile_gown.asset,unitWeight,0.52,520,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_sterile_gown.asset,canonical-gram,missing,4381a828fdca4cc48b50e69a538751d8
v27.mass.authority.1,apparel:surgical-apron,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_surgical_apron.asset,unitWeight,0.62,620,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_surgical_apron.asset,canonical-gram,missing,8fe3ab463a2f21340a3fb66df391f1eb
v27.mass.authority.1,apparel:tail-guard,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tail_guard.asset,unitWeight,0.35,350,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tail_guard.asset,canonical-gram,missing,b332d92fb0a18f64582ec43b4267b0c5
v27.mass.authority.1,apparel:tail-ribbon,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tail_ribbon.asset,unitWeight,0.08,80,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tail_ribbon.asset,canonical-gram,missing,9eb050bc4a838734d80c07b6cd7abb2d
v27.mass.authority.1,apparel:trousers,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_trousers.asset,unitWeight,0.5,500,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_trousers.asset,canonical-gram,missing,51f521d3b7c1264439ae6412967d2739
v27.mass.authority.1,apparel:tunic,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tunic.asset,unitWeight,0.45,450,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_tunic.asset,canonical-gram,missing,d5fc9d5cfd4e37148bfd45cd230f7319
v27.mass.authority.1,apparel:undershirt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_undershirt.asset,unitWeight,0.2,200,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_undershirt.asset,canonical-gram,missing,b7693791790bd734c90acea7ccde0adf
v27.mass.authority.1,apparel:vest,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_vest.asset,unitWeight,0.4,400,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_vest.asset,canonical-gram,missing,7c4d5492d33e285439ef26d63520f97a
v27.mass.authority.1,apparel:waterproof-work-suit,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_waterproof_work_suit.asset,unitWeight,1.38,1380,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_waterproof_work_suit.asset,canonical-gram,missing,6a5525b0ba2235147926c5d107e2407a
v27.mass.authority.1,apparel:weapon-vigil-cloak,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_weapon_vigil_cloak.asset,unitWeight,0.8,800,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_weapon_vigil_cloak.asset,canonical-gram,missing,aa05c70f822f482458f7003ab7b6077f
v27.mass.authority.1,apparel:wing-cloak,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_wing_cloak.asset,unitWeight,0.6,600,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_wing_cloak.asset,canonical-gram,missing,06c65b965b7e4a74eba8b71ed1196604
v27.mass.authority.1,apparel:wing-harness,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_wing_harness.asset,unitWeight,0.5,500,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_wing_harness.asset,canonical-gram,missing,89bfc36f078c7e54fa49c14be550e72f
v27.mass.authority.1,apparel:work-shirt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_work_shirt.asset,unitWeight,0.48,480,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_work_shirt.asset,canonical-gram,missing,63dc10978d05de946bcf47fd93a0787a
v27.mass.authority.1,book:seasonal-almanac,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I89_계절력_책자.asset,unitWeight,1.1,1100,1,General,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I89_계절력_책자.asset,canonical-gram,missing,63f2c237dc24579459f1495f54b86ce9
v27.mass.authority.1,captivity:extracted-blood,GenericItemDefinitionSO,Assets/Resources/SO/Items/Definitions/captivity_extracted_blood.asset,unitWeight,0.5,500,20,Biological,false,true,catalog-authority,Assets/Resources/SO/Items/Definitions/captivity_extracted_blood.asset,canonical-gram,out-of-ledger-scope,dc10ed874d75e7344a486a51f748bb98
v27.mass.authority.1,captivity:memory-residue,GenericItemDefinitionSO,Assets/Resources/SO/Items/Definitions/captivity_memory_residue.asset,unitWeight,0.2,200,20,Knowledge,false,true,catalog-authority,Assets/Resources/SO/Items/Definitions/captivity_memory_residue.asset,canonical-gram,out-of-ledger-scope,b780717c555b7114dbe96f0e8cf14138
v27.mass.authority.1,captivity:restraints,GenericItemDefinitionSO,Assets/Resources/SO/Items/Definitions/captivity_restraints.asset,unitWeight,2.5,2500,10,General,false,true,catalog-authority,Assets/Resources/SO/Items/Definitions/captivity_restraints.asset,canonical-gram,out-of-ledger-scope,018461111e39fe542bfcc0074301e884
