COMBAT_BALANCE_FOCUSED_GRID_V1
encounter=encounter:13; objective=DefeatAll; samples=64; candidates=108
rank | health | damage | round | win | severe | low-health | failure casualty | median rounds | mean health | score | stalled
22 | 0.8 | 0.8 | 0 | 100.0 % | 9.9 % | 8.3 % | 0.0 % | 5.0 | 82.3 % | 17.778213 | 0
23 | 0.4 | 0.8 | 0 | 100.0 % | 7.8 % | 6.3 % | 0.0 % | 4.0 | 84.7 % | 17.778907 | 0
24 | 0.8 | 0.4 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 5.0 | 93.4 % | 17.778907 | 0
25 | 1.6 | 0.4 | 0 | 100.0 % | 5.2 % | 1.0 % | 0.0 % | 9.0 | 87.6 % | 17.779153 | 0
26 | 0.2 | 0.8 | 0 | 100.0 % | 7.3 % | 6.3 % | 0.0 % | 3.0 | 85.8 % | 17.779600 | 0
27 | 0.4 | 0.4 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 4.0 | 94.4 % | 17.779600 | 0
28 | 0.8 | 0.2 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 5.0 | 96.7 % | 17.779600 | 0
29 | 1.6 | 0.2 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 8.0 | 94.3 % | 17.779847 | 0
30 | 0.02 | 0.8 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.6 % | 17.780293 | 0
31 | 0.05 | 0.8 | 0 | 100.0 % | 6.8 % | 6.3 % | 0.0 % | 3.0 | 87.4 % | 17.780293 | 0
32 | 0.1 | 0.8 | 0 | 100.0 % | 7.8 % | 6.3 % | 0.0 % | 3.0 | 86.4 % | 17.780293 | 0
33 | 0.2 | 0.4 | 0 | 100.0 % | 0.5 % | 0.5 % | 0.0 % | 3.0 | 94.5 % | 17.780293 | 0
34 | 0.4 | 0.2 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 3.0 | 97.1 % | 17.780293 | 0
35 | 0.8 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 5.0 | 98.2 % | 17.780293 | 0
36 | 0.8 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 5.0 | 98.2 % | 17.780293 | 0
37 | 0.8 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 5.0 | 98.2 % | 17.780293 | 0
38 | 3.2 | 0.2 | 0 | 100.0 % | 4.2 % | 0.5 % | 0.0 % | 15.0 | 86.2 % | 17.780540 | 0
39 | 0.02 | 1.6 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.2 % | 17.780540 | 0
40 | 1.6 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 8.0 | 96.9 % | 17.780540 | 0
41 | 1.6 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 8.0 | 96.9 % | 17.780540 | 0
42 | 1.6 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 8.0 | 96.9 % | 17.780540 | 0
43 | 0.02 | 0.4 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.8 % | 17.780986 | 0
44 | 0.05 | 0.4 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 95.9 % | 17.780986 | 0
45 | 0.1 | 0.4 | 0 | 100.0 % | 0.5 % | 0.5 % | 0.0 % | 3.0 | 94.8 % | 17.780986 | 0
46 | 0.2 | 0.2 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 3.0 | 97.3 % | 17.780986 | 0
47 | 0.4 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.5 % | 17.780986 | 0
48 | 0.4 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.5 % | 17.780986 | 0
49 | 0.4 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.5 % | 17.780986 | 0
50 | 0.02 | 3.2 | 0 | 100.0 % | 1.0 % | 1.0 % | 0.0 % | 3.0 | 97.6 % | 17.781233 | 0
51 | 3.2 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 15.0 | 93.0 % | 17.781233 | 0
52 | 3.2 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 15.0 | 93.0 % | 17.781233 | 0
53 | 3.2 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 15.0 | 93.0 % | 17.781233 | 0
54 | 0.02 | 4 | 0 | 100.0 % | 1.6 % | 1.0 % | 0.0 % | 3.0 | 97.4 % | 17.781456 | 0
55 | 0.02 | 0.2 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.9 % | 17.781679 | 0
56 | 0.05 | 0.2 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 97.9 % | 17.781679 | 0
57 | 0.1 | 0.2 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 97.5 % | 17.781679 | 0
58 | 0.2 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.6 % | 17.781679 | 0
59 | 0.2 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.6 % | 17.781679 | 0
60 | 0.2 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.6 % | 17.781679 | 0
61 | 6.4 | 0.02 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 29.0 | 84.5 % | 17.781926 | 0
62 | 6.4 | 0.05 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 29.0 | 84.5 % | 17.781926 | 0
63 | 6.4 | 0.1 | 0 | 100.0 % | 0.5 % | 0.0 % | 0.0 % | 29.0 | 84.5 % | 17.781926 | 0
64 | 0.02 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.9 % | 17.782372 | 0
65 | 0.02 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.9 % | 17.782372 | 0
66 | 0.02 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 99.9 % | 17.782372 | 0
67 | 0.05 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.9 % | 17.782372 | 0
68 | 0.05 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.9 % | 17.782372 | 0
69 | 0.05 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.9 % | 17.782372 | 0
70 | 0.1 | 0.02 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.7 % | 17.782372 | 0
71 | 0.1 | 0.05 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.7 % | 17.782372 | 0
72 | 0.1 | 0.1 | 0 | 100.0 % | 0.0 % | 0.0 % | 0.0 % | 3.0 | 98.7 % | 17.782372 | 0
73 | 1.6 | 1.6 | 0 | 35.9 % | 31.9 % | 27.5 % | 100.0 % | 7.0 | 35.0 % | 41.070750 | 0
74 | 3.2 | 0.8 | 0 | 26.6 % | 31.4 % | 25.5 % | 100.0 % | 12.0 | 33.5 % | 68.898781 | 0
75 | 1.6 | 3.2 | 0 | 28.1 % | 38.9 % | 38.9 % | 100.0 % | 6.0 | 17.6 % | 69.355377 | 0
76 | 1.6 | 4 | 0 | 23.4 % | 40.0 % | 37.8 % | 100.0 % | 6.0 | 18.2 % | 86.776984 | 0
77 | 6.4 | 0.4 | 0 | 21.9 % | 50.0 % | 38.1 % | 100.0 % | 23.0 | 28.5 % | 105.158973 | 0
78 | 12.8 | 0.2 | 0 | 6.3 % | 50.0 % | 50.0 % | 100.0 % | 41.0 | 25.7 % | 175.906850 | 0
79 | 3.2 | 1.6 | 0 | 4.7 % | 44.4 % | 55.6 % | 100.0 % | 7.0 | 15.1 % | 176.610821 | 0
80 | 6.4 | 0.8 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 10.5 | 21.2 % | 187.779754 | 0
81 | 3.2 | 3.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 5.7 % | 187.780001 | 0
82 | 6.4 | 1.6 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 7.0 | 12.3 % | 187.780001 | 0
83 | 3.2 | 4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 5.0 % | 187.780224 | 0
84 | 12.8 | 0.8 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 10.0 | 17.8 % | 187.780447 | 0
85 | 6.4 | 3.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 10.0 % | 187.780694 | 0
86 | 12.8 | 1.6 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 7.0 | 13.8 % | 187.780694 | 0
87 | 6.4 | 4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 4.9 % | 187.780917 | 0
88 | 12.8 | 0.4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 19.5 | 21.7 % | 187.781140 | 0
89 | 25.6 | 0.8 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 10.0 | 16.4 % | 187.781140 | 0
90 | 32 | 0.8 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 10.0 | 15.7 % | 187.781363 | 0
91 | 12.8 | 3.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 7.3 % | 187.781387 | 0
92 | 25.6 | 1.6 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 7.0 | 13.2 % | 187.781387 | 0
93 | 12.8 | 4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 2.5 % | 187.781610 | 0
94 | 32 | 1.6 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 7.0 | 12.0 % | 187.781610 | 0
95 | 25.6 | 0.4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 17.0 | 20.0 % | 187.781833 | 0
96 | 32 | 0.4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 17.0 | 19.1 % | 187.782056 | 0
97 | 25.6 | 3.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 5.4 % | 187.782080 | 0
98 | 25.6 | 4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 1.8 % | 187.782303 | 0
99 | 32 | 3.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 4.7 % | 187.782303 | 0
100 | 32 | 4 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 5.0 | 1.5 % | 187.782526 | 0
101 | 25.6 | 0.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 38.0 | 24.3 % | 187.782526 | 0
102 | 32 | 0.2 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 37.0 | 24.3 % | 187.782750 | 0
103 | 32 | 0.02 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 84.5 | 18.4 % | 187.783443 | 0
104 | 32 | 0.05 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 84.5 | 18.4 % | 187.783443 | 0
105 | 32 | 0.1 | 0 | 0.0 % | 0.0 % | 0.0 % | 100.0 % | 84.5 | 18.4 % | 187.783443 | 0
106 | 25.6 | 0.02 | 0 | 4.7 % | 44.4 % | 55.6 % | 99.5 % | 89.0 | 21.0 % | 1176.614733 | 1
107 | 25.6 | 0.05 | 0 | 4.7 % | 44.4 % | 55.6 % | 99.5 % | 89.0 | 21.0 % | 1176.614733 | 1
108 | 25.6 | 0.1 | 0 | 4.7 % | 44.4 % | 55.6 % | 99.5 % | 89.0 | 21.0 % | 1176.614733 | 1
