schemaVersion,itemId,currentUnitMassGrams,maxStack,stockCategory,hasPackagedLotFeature,packageTareGrams,tareDisposition,packagingReviewDisposition,containerItemId,producerCount,producerRecipeIds,recipeConsumerCount,consumerRecipeIds,runtimeConsumerCount,runtimeConsumerOwnerIds,totalConsumerCount,reviewRoute,status,executionLifecycle,requiredDispositionProof,runtimeGatewayEvidence,sourceAuthority
v27.mass.packaging-review.2,medical:whole-body-regeneration-medium,14500,1,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:whole-body-regeneration-medium,0,,0,,0,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,terminal-output,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I54_전신_재생_배지.asset
v27.mass.packaging-review.2,medicine:advanced,1500,8,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:advanced-medicine,11,recipe:medical:regenerative-medium|recipe:medical:trauma-care-kit|recipe:medical:whole-body-regeneration-medium|recipe:medicine:vaccine:blood-wasting|recipe:medicine:vaccine:cave-flu|recipe:medicine:vaccine:gut-rot|recipe:medicine:vaccine:mana-pox|recipe:medicine:vaccine:red-fever|recipe:medicine:vaccine:slime-blight|recipe:medicine:vaccine:spore-lung|recipe:surgery:artificial-eye,1,runtime:character-medical-treatment,12,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/medicine_advanced.asset
v27.mass.packaging-review.2,medicine:anesthetic,120,75,Medicine,true,30,ReusableContainerReturn,DetachableTare,container:medical-vial,1,recipe:anesthetic,0,,0,,0,dose-container-return-or-waste-review,detachable-tare-authored,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/medicine_anesthetic.asset
v27.mass.packaging-review.2,medicine:antidote,600,18,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:antidote,0,,1,runtime:disease-field-response,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/medicine_antidote.asset
v27.mass.packaging-review.2,medicine:antiseptic,280,40,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:antiseptic,3,recipe:medical:isolation-care-kit|recipe:medical:sterile-bandage|recipe:supply:fungicide,1,runtime:character-medical-treatment,4,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/medicine_antiseptic.asset
v27.mass.packaging-review.2,medicine:mycelial-culture-pack,500,10,Medicine,false,0,None,IntegralUnitNoDetachableTare,,0,,2,recipe:medical:organ-regeneration-scaffold|recipe:medical:whole-body-regeneration-medium,2,runtime:character-medical-treatment|runtime:offense-supply-package,4,dose-container-return-or-waste-review,integral-unit-reviewed,source-input,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Items/Definitions/medicine_mycelial_culture_pack.asset
v27.mass.packaging-review.2,medicine:standard,300,36,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:standard-medicine,4,recipe:advanced-medicine|recipe:ammo:tranquilizer-dart|recipe:medical:fertility-treatment|recipe:medical:rejuvenation-serum,3,runtime:character-medical-treatment|runtime:offense-supply-package|runtime:offense-urgent-mitigation,7,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/medicine_standard.asset
v27.mass.packaging-review.2,medicine:vaccine:blood-wasting,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:blood-wasting,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I71_혈액소모병_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:cave-flu,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:cave-flu,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I66_동굴_독감_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:gut-rot,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:gut-rot,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I68_장부패증_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:mana-pox,750,14,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:mana-pox,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I70_마나두창_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:red-fever,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:red-fever,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I67_적열병_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:slime-blight,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:slime-blight,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I72_점액역병_백신.asset
v27.mass.packaging-review.2,medicine:vaccine:spore-lung,700,15,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medicine:vaccine:spore-lung,0,,1,runtime:physical-vaccination,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I69_포자폐증_백신.asset
v27.mass.packaging-review.2,sample:antigen:blood-wasting,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:blood-wasting,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I64_혈액소모병_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:cave-flu,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:cave-flu,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I59_동굴_독감_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:gut-rot,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:gut-rot,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I61_장부패증_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:mana-pox,1100,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:mana-pox,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I63_마나두창_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:red-fever,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:red-fever,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I60_적열병_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:slime-blight,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:slime-blight,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I65_점액역병_항원_표본.asset
v27.mass.packaging-review.2,sample:antigen:spore-lung,900,50,General,false,0,None,IntegralUnitNoDetachableTare,,0,,1,recipe:medicine:vaccine:spore-lung,0,,1,specimen-container-review,integral-unit-reviewed,source-input,transform-container-transfer-return-or-waste,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I62_포자폐증_항원_표본.asset
v27.mass.packaging-review.2,supply:alliance-signal-kit,1150,9,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:alliance-signal-kit,0,,1,runtime:alliance-defense-signal,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I104_동맹_신호_키트.asset
v27.mass.packaging-review.2,supply:botanical-pesticide,1150,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:botanical-pesticide,0,,0,,0,supply-package-content-role-review,integral-unit-reviewed,terminal-output,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I57_식물성_살충제.asset
v27.mass.packaging-review.2,supply:certified-seed-kit,1100,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:certified-seed-kit,0,,1,runtime:seed-certification,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I85_인증_품종_종자_꾸러미.asset
v27.mass.packaging-review.2,supply:defense-mixed-ammo-box,3400,3,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:defense-mixed-ammo-box,0,,1,runtime:defense-ammunition-feed,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I136_방어시설용_혼합_탄약_상자.asset
v27.mass.packaging-review.2,supply:funeral-preparation-kit,1200,8,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:funeral-preparation-kit,0,,1,runtime:funeral-preparation,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I96_종족_장례_준비품.asset
v27.mass.packaging-review.2,supply:fungicide,1150,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:fungicide,0,,1,runtime:disease-field-response,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I58_살균제.asset
v27.mass.packaging-review.2,supply:greenhouse-nutrient,1100,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:greenhouse-nutrient,0,,0,,0,supply-package-content-role-review,integral-unit-reviewed,terminal-output,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I86_온실_영양액.asset
v27.mass.packaging-review.2,supply:mushroom-substrate,1100,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:mushroom-substrate,0,,0,,0,supply-package-content-role-review,integral-unit-reviewed,terminal-output,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I53_균사_재배_배지.asset
v27.mass.packaging-review.2,supply:nitrate-fertilizer,1100,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:nitrate-fertilizer,1,recipe:supply:greenhouse-nutrient,0,,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I16_질산_비료.asset
v27.mass.packaging-review.2,supply:performance-prop-box,1950,5,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:performance-prop-box,0,,1,runtime:circus-performance,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I101_공연_소품_상자.asset
v27.mass.packaging-review.2,supply:pest-lure,1150,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:supply:pest-lure,0,,1,runtime:disease-field-response,1,supply-package-content-role-review,integral-unit-reviewed,transform-intermediate,transform-content-role-and-package-byproduct,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I56_해충_유인제.asset
