schemaVersion,recipeId,flowRole,roleShapeValid,inputVector,outputVector,physicalInputGrams,cleanWaterGrams,guaranteedOutputGrams,maximumOutputGrams,expectedOutputGrams,wastewaterGrams,minimumResidualGrams,maximumResidualGrams,runtimePhysicalInputGrams,runtimeGuaranteedOutputGrams,runtimeMaximumOutputGrams,runtimeExpectedOutputGrams,runtimeMinimumResidualGrams,runtimeMaximumResidualGrams,probabilisticOutputCount,missingSemanticIds,runtimeProposedMassMismatchIds,massCreationCandidate,runtimeMassCreationCandidate,reviewedContractId,massBalanceStatus,sourceAuthority,sourceDigest
v27.mass.recipe-inventory.3,recipe:ammo:scatter-cartridge,Transform,true,material:cartridge-paper*1|material:granulated-powder*1|material:lead-shot*6,ammo:scatter-cartridge*6@1,2075,0,1950,1950,1950,0,125,125,2075,1950,1950,1950,125,125,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R130_산탄_탄약.asset,46a659a2213cbe2ce1db8c7b1ad169f9b023545d601386f506141297c3481d76
v27.mass.recipe-inventory.3,recipe:ammo:signal-flare,Transform,true,material:cartridge-paper*1|material:granulated-powder*1|resource:rune-dust*1,ammo:signal-flare*4@1,1225,0,1100,1100,1100,0,125,125,1225,1100,1100,1100,125,125,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R131_신호탄.asset,4c77199a2ea942844e204fcc0978ec2efb2be5ce961d2c3eb7e5b9485135b06b
v27.mass.recipe-inventory.3,recipe:ammo:smoke-cartridge,Transform,true,material:cartridge-paper*1|material:granulated-powder*1,ammo:smoke-cartridge*6@1,1175,0,1050,1050,1050,0,125,125,1175,1050,1050,1050,125,125,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R128_연막_탄약.asset,697eb60862cdc9c9b766cdd7b231cdebfef847c4413c8fd6a76d68572e5445f7
v27.mass.recipe-inventory.3,recipe:ammo:tranquilizer-dart,Transform,true,material:paper*1|medicine:standard*1,ammo:tranquilizer-dart*6@1,1200,0,900,900,900,0,300,300,1200,900,900,900,300,300,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R134_진정_다트.asset,74c980d94c36dc100c8f3a3bef832da2e9cae2e2343a408b6f3331bd2ff1ef00
v27.mass.recipe-inventory.3,recipe:ammo:trap-canister,Transform,true,material:black-powder*1|material:lead-shot*6|material:paper*1,ammo:trap-canister*2@1,4000,0,3800,3800,3800,0,200,200,4000,3800,3800,3800,200,200,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R21_함정_산탄통.asset,6f99429e3e9e11935137904d5e8aeef5f53daf46be0490dd84816c6dbed26b49
v27.mass.recipe-inventory.3,recipe:anesthetic,Transform,true,container:medical-vial*1|material:alcohol*1|resource:dreamleaf*2,medicine:anesthetic*1@1,690,0,120,120,120,0,570,570,690,120,120,120,570,570,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_anesthetic.asset,ed504961b8af0e08545ee6ec8625bea0b9960aca0673cc212f297235382f60dc
v27.mass.recipe-inventory.3,recipe:antidote,Transform,true,material:alchemical-solvent*1|resource:bloodleaf*1|resource:cave-mushroom*1,medicine:antidote*1@1,650,0,600,600,600,0,50,50,650,600,600,600,50,50,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_antidote.asset,37a3b3b81c20bd1ac53c69c8f37ffb6f386619b569e7a49745e595123db9d641
v27.mass.recipe-inventory.3,recipe:antiseptic,Transform,true,resource:bloodleaf*1|resource:saltstone*1,medicine:antiseptic*2@1,600,0,560,560,560,0,40,40,600,560,560,560,40,40,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_antiseptic.asset,2a74ba9e8b5ad500e4a60d14f903040b8b6d43daba8cfe5af1b49a3e631b2848
v27.mass.recipe-inventory.3,recipe:arrow-bone,Transform,true,material:lumber*1|resource:bone*1|resource:feather*1,ammo:arrow-bone*10@1,1650,0,800,800,800,0,850,850,1650,800,800,800,850,850,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_arrow_bone.asset,0a1355c2fe029651fabb30766ac6cc4b5a1ec992b48c76d29dc152c3dae63107
v27.mass.recipe-inventory.3,recipe:arrow-iron,Transform,true,material:iron-ingot*1|material:lumber*1|resource:feather*1,ammo:arrow-iron*10@1,2150,0,900,900,900,0,1250,1250,2150,900,900,900,1250,1250,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_arrow_iron.asset,05f9aef5a178e6ed0d9664f49d64d415ec435bdcdb99305a1e9689730c8d92ec
v27.mass.recipe-inventory.3,recipe:arrow-rune,Transform,true,material:treated-lumber*1|resource:horn*1|resource:mana-crystal*1,ammo:arrow-rune*8@1,1950,0,640,640,640,0,1310,1310,1950,640,640,640,1310,1310,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_arrow_rune.asset,66c003d108fb0b8160345365c6726863fb5fff1d1a18fdb9f53763e3336e8f60
v27.mass.recipe-inventory.3,recipe:arrow-steel,Transform,true,material:lumber*1|material:steel-ingot*1|resource:feather*1,ammo:arrow-steel*10@1,2100,0,850,850,850,0,1250,1250,2100,850,850,850,1250,1250,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_arrow_steel.asset,0685f09dbdeee96c593240317391b83aaadc86de245f9e4f8458db2908c248a1
v27.mass.recipe-inventory.3,recipe:bedding-animal,Transform,true,resource:feather*2|resource:hide*1|resource:wool*1,husbandry:bedding*2@1,1350,0,1000,1000,1000,0,350,350,1350,1000,1000,1000,350,350,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bedding_animal.asset,0649279d8403393ae25387b577184371692095910e2c5d89bc462f2143077248
v27.mass.recipe-inventory.3,recipe:bedding-straw,Transform,true,resource:grass-straw*10|resource:shade-fiber*2,husbandry:bedding*2@1,1040,0,1000,1000,1000,0,40,40,1040,1000,1000,1000,40,40,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bedding_straw.asset,94ae611ce478f99b417857ba3f0a39cbafe20d584c07a5e20b732e2bd0cb4789
v27.mass.recipe-inventory.3,recipe:blacksteel,Transform,true,material:charcoal*1|material:steel-ingot*2|resource:mana-crystal*2,material:blacksteel-ingot*1@1,2850,0,1000,1000,1000,0,1850,1850,2850,1000,1000,1000,1850,1850,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_blacksteel.asset,11f02c6c306efc3f1d58c756deab1ed3eebd03b3f649805aba83795d6924659a
v27.mass.recipe-inventory.3,recipe:blood-stimulant,Transform,true,material:alchemical-solvent*1|resource:blood*1|resource:bloodleaf*2,drug:blood-stimulant*1@1,1000,0,900,900,900,0,100,100,1000,900,900,900,100,100,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_blood_stimulant.asset,fb07b7ed5b203c26d5200eb02480d4c3bc8616c4250f08004d7c81aec77f12a7
v27.mass.recipe-inventory.3,recipe:boar-stew,Transform,true,resource:ember-root*1|resource:fat*1|resource:meat*2,food:boar-stew*2@1,2300,125,1700,1700,1700,100,625,625,2300,1700,1700,1700,625,625,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_boar_stew.asset,c10cde0031356c08f9cc6be7dafe11f3e0e94b3076dd9bad6000f4084a18af7e
v27.mass.recipe-inventory.3,recipe:bolt-bone,Transform,true,material:lumber*1|resource:bone*1|resource:fang*1,ammo:bolt-bone*10@1,1750,0,1000,1000,1000,0,750,750,1750,1000,1000,1000,750,750,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bolt_bone.asset,137554bfceb51ddfc2ebc4c835a4b9e2358e3f7c77ee4d75c1231e11c2c816d9
v27.mass.recipe-inventory.3,recipe:bolt-iron,Transform,true,material:iron-ingot*1|material:lumber*1|resource:fang*1,ammo:bolt-iron*10@1,2250,0,1100,1100,1100,0,1150,1150,2250,1100,1100,1100,1150,1150,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bolt_iron.asset,322cbbb9ec13b35a09083a69f880f6225a32426c895e2fcda01664ff1bf1cdc3
v27.mass.recipe-inventory.3,recipe:bolt-rune,Transform,true,material:treated-lumber*1|resource:horn*1|resource:mana-crystal*1,ammo:bolt-rune*8@1,1950,0,800,800,800,0,1150,1150,1950,800,800,800,1150,1150,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bolt_rune.asset,53d8c5eddb049d09e6e5d1098a0cf0fecbf068d78d226e20397b890c4d61de7a
v27.mass.recipe-inventory.3,recipe:bolt-steel,Transform,true,material:lumber*1|material:steel-ingot*1|resource:fang*1,ammo:bolt-steel*10@1,2200,0,1050,1050,1050,0,1150,1150,2200,1050,1050,1050,1150,1150,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bolt_steel.asset,0bd6c0fc653a056fec5ad9e639fc82a07d38bf4212f02eaeda5760655f949386
v27.mass.recipe-inventory.3,recipe:bone-charm,Transform,true,resource:bone*2|resource:fang*1|resource:horn*1,craft:bone-charm*1@1,1400,0,200,200,200,0,1200,1200,1400,200,200,200,1200,1200,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bone_charm.asset,664a933749504b271ddecb3ff4b8e71452a54b21576b96de7bf125071afc5fa8
v27.mass.recipe-inventory.3,recipe:book:seasonal-almanac,Transform,true,material:charcoal*1|material:paper*2,book:seasonal-almanac*2@1,2250,0,2200,2200,2200,0,50,50,2250,2200,2200,2200,50,50,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R89_계절력_책자.asset,b8f10e929db58211aa6c9fa2dfdcb7b4b3ddab02168151a0f3ae15572f67f73f
v27.mass.recipe-inventory.3,recipe:bowstring-fiber,Transform,true,resource:shade-fiber*2,material:bowstring*1@1,240,0,80,80,80,0,160,160,240,80,80,80,160,160,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bowstring_fiber.asset,31ffc47626fa58cf17f528f6e9d0f8217cdc3ea5f1ee1d2c737862887008ff30
v27.mass.recipe-inventory.3,recipe:bowstring-sinew,Transform,true,resource:hide*1|resource:horn*1,material:bowstring*1@1,1350,0,80,80,80,0,1270,1270,1350,80,80,80,1270,1270,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_bowstring_sinew.asset,16ff242e13cb6db787e087a3d92f8a9131f039d82986d9bcf988755648aacda4
v27.mass.recipe-inventory.3,recipe:brined-vegetable,Transform,true,material:washed-vegetable*2|resource:saltstone*1,material:brined-vegetable*2@1,1400,700,1000,1000,1000,1000,100,100,1400,1000,1000,1000,100,100,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/Workshop/recipe_brined_vegetable.asset,2e7beda6e56c8f72217839cf5d7796f24664dfc64d47c750bddc1f115733f90c
v27.mass.recipe-inventory.3,recipe:candle,Transform,true,material:tallow*1|resource:shade-fiber*1,craft:candle*2@1,470,0,400,400,400,0,70,70,470,400,400,400,70,70,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_candle.asset,34102d5d78cf8d9ef965b0f6b1c11e9856ea0e632a9357929c5745ce31ac1acd
v27.mass.recipe-inventory.3,recipe:charcoal,Transform,true,resource:log*3,material:charcoal*2@1,5400,0,900,900,900,0,4500,4500,5400,900,900,900,4500,4500,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_charcoal.asset,ae82284e717549b8168abfc6ba3d10335f5c9df326cb1657205415f082d18048
v27.mass.recipe-inventory.3,recipe:cheese,Transform,true,material:curd*2,material:cheese*2@1,900,0,800,800,800,0,100,100,900,800,800,800,100,100,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_cheese.asset,3b7afae3c792be9907be6978c586b0ad27b882e0d347b26999530553053278d0
v27.mass.recipe-inventory.3,recipe:cheese-mushroom,Transform,true,material:cheese*1|resource:cave-mushroom*2,food:cheese-mushroom*2@1,900,0,900,900,900,0,0,0,900,900,900,900,0,0,0,,,false,false,recipe:cheese-mushroom,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_cheese_mushroom.asset,cfff9c313536398f3ac0f01a57d6feaf24d877c1643054f571008ad43c2b0bdb
v27.mass.recipe-inventory.3,recipe:cloth,Transform,true,resource:shade-fiber*4,material:cloth*2@1,480,0,400,400,400,0,80,80,480,400,400,400,80,80,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_cloth.asset,e8ff327ae8159372af50c67c11c50e672f7f815d33b05fff8ce9faa328f7a1de
v27.mass.recipe-inventory.3,recipe:cold-work-suit,Transform,true,material:cloth*2|material:leather*2,equipment:cold-work-suit*1@1,1300,0,900,900,900,0,400,400,1300,900,900,900,400,400,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_cold_work_suit.asset,a015aba7756999c218c1d04e177e285bbaafb12fe11715f51d195d3f9d4df2b4
v27.mass.recipe-inventory.3,recipe:component:blacksteel-defense-plate,Transform,true,component:engineering-drawing*1|material:blacksteel-ingot*2,component:blacksteel-defense-plate*1@1,2900,0,2350,2350,2350,0,550,550,2900,2350,2350,2350,550,550,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R44_흑강_방어_장갑판.asset,a043929f9ebe7ff585d65fc70808e53302d73fe9a73b8a65e264039044b9705e
v27.mass.recipe-inventory.3,recipe:component:blast-coat-shell,Transform,true,textile:quilted-liner*1|textile:sterile-cloth*1,component:blast-coat-shell*1@1,1950,0,1150,1150,1150,0,800,800,1950,1150,1150,1150,800,800,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R38_방폭_외투_내피.asset,0c88b1823f61da9a1250a37dfb255369f892b05fd960cd48e8ae5c02a0c980bf
v27.mass.recipe-inventory.3,recipe:component:brigandine-padding,Transform,true,material:leather*1|textile:quilted-liner*1,component:brigandine-padding*1@1,1400,0,1150,1150,1150,0,250,250,1400,1150,1150,1150,250,250,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R39_브리간딘_안감.asset,d433461182f31d62a2c959eef05da06815fa26f89e01ddb0aaad13988f931de2
v27.mass.recipe-inventory.3,recipe:component:climate-control-manifold,Transform,true,component:machine-parts*1|textile:insulating-cloth*1,component:climate-control-manifold*1@1,3050,0,2350,2350,2350,0,700,700,3050,2350,2350,2350,700,700,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R87_기후_제어_매니폴드.asset,eb28b789911c25655408dca60a42058eed10de0c5c5a31132c24250673b5fbc1
v27.mass.recipe-inventory.3,recipe:component:corridor-detonator,Transform,true,material:granulated-powder*1|material:spring-steel*1,component:corridor-detonator*1@1,3000,0,2350,2350,2350,0,650,650,3000,2350,2350,2350,650,650,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R105_복도식_기폭_장치.asset,0b464d6445ec77d6cd3930784e0e4410b2341ff75ff5d5649e93778ffeb2a532
v27.mass.recipe-inventory.3,recipe:component:dreamweave-rune-lining,Transform,true,component:rune-conductor*1|material:dreamweave*1,component:dreamweave-rune-lining*1@1,2520,0,1350,1350,1350,0,1170,1170,2520,1350,1350,1350,1170,1170,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R46_몽직물_룬_안감.asset,6e5b15790313a776dfdf08fb869416fff73bf1db6d97087e73c2b965b8cb81cb
v27.mass.recipe-inventory.3,recipe:component:engineering-drawing,Transform,true,material:charcoal*1|material:paper*2,component:engineering-drawing*2@1,2250,0,1800,1800,1800,0,450,450,2250,1800,1800,1800,450,450,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R17_공학_도면.asset,22e7bfa22c40abcb0b0b803bf68fce8c02d007504745733c5ef198749d7f9984
v27.mass.recipe-inventory.3,recipe:component:factory-installation-plan,Transform,true,component:engineering-drawing*1|component:paper-paste*1|material:paper*1,component:factory-installation-plan*1@1,2900,0,1150,1150,1150,0,1750,1750,2900,1150,1150,1150,1750,1750,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R30_공장_설치_도면.asset,4de73403ae0f7552139242a13a563c24390740d41b006f4f28f16b8506fce7e9
v27.mass.recipe-inventory.3,recipe:component:golem-core-case,Transform,true,component:rune-conductor*1|material:sterile-composite*1,component:golem-core-case*1@1,3600,0,2550,2550,2550,0,1050,1050,3600,2550,2550,2550,1050,1050,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R119_골렘_핵_케이스.asset,e07ead3768e13bf3eb48ad5a70a1531f9b7e51b43763b07fdf9ee24b1f5fa2e4
v27.mass.recipe-inventory.3,recipe:component:growth-frame,Transform,true,component:machine-parts*1|component:precision-parts*1|material:steel-ingot*2|material:treated-lumber*1,component:growth-frame*1@1,7100,0,3050,3050,3050,0,4050,4050,7100,3050,3050,3050,4050,4050,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R15_성장형_장비_골격.asset,307049dd9a4dd24361124ccc0af1c2f037f32ddf47a8888cfc7e17e598a1b972
v27.mass.recipe-inventory.3,recipe:component:insulated-wiring,Transform,true,material:gold-ingot*2|textile:insulating-cloth*3,component:insulated-wiring*2@1,5550,0,5000,5000,5000,0,550,550,5550,5000,5000,5000,550,550,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R111_절연_배선_묶음.asset,524d8c47782bab3dbb512d3a4f2acf26077a2f97f08f0a84c9e192ee04f4da37
v27.mass.recipe-inventory.3,recipe:component:lead-counterweight,Transform,true,material:lead-ingot*2,component:lead-counterweight*1@1,4300,0,2100,2100,2100,0,2200,2200,4300,2100,2100,2100,2200,2200,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R18_납_균형추.asset,f915ce6d970ac59d7880c383b6c6b737d427edfa6b99336836f7a8e4c303cb02
v27.mass.recipe-inventory.3,recipe:component:machine-parts,Transform,true,material:iron-ingot*3,component:machine-parts*1@1,2700,0,2100,2100,2100,0,600,600,2700,2100,2100,2100,600,600,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R09_기계_부품.asset,63930f91f3eaf680ac4349dac03658d3282a2ae673026fd197aaa6174848a372
v27.mass.recipe-inventory.3,recipe:component:mana-shield-plate,Transform,true,material:lead-ingot*1|resource:mana-crystal*1|resource:rune-dust*1,component:mana-shield-plate*1@1,2550,0,2350,2350,2350,0,200,200,2550,2350,2350,2350,200,200,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R19_마나_차폐판.asset,c156592804649c099043f1e2879bcc2f55fd3cb71390f274105820b8562b9dea
v27.mass.recipe-inventory.3,recipe:component:material-test-coupon,Transform,true,material:plate-blank*2|material:steel-ingot*1,component:material-test-coupon*2@1,5050,0,4700,4700,4700,0,350,350,5050,4700,4700,4700,350,350,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R109_재료_시험편.asset,a5ccedb500f9f2aa441400d34e2f76eac98b3d48c9a8edfc58bc53562582fbad
v27.mass.recipe-inventory.3,recipe:component:paper-paste,Transform,true,material:starch*1|resource:clean-water*4,component:paper-paste*2@1,2250,0,2200,2200,2200,0,50,50,2250,2200,2200,2200,50,50,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R51_종이_풀칠.asset,f17593b00cdf017e03878bf8e71d15d87c2869189aff179da92018688074a7fb
v27.mass.recipe-inventory.3,recipe:component:powered-armor-joint,Transform,true,component:machine-parts*1|material:blacksteel-ingot*1,component:powered-armor-joint*1@1,3100,0,2350,2350,2350,0,750,750,3100,2350,2350,2350,750,750,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R45_동력_갑주_관절.asset,1a0d365d67f4ef6ab6cd2146796b5e6052396bd8a36ca7972d4dce98bc3c9e3d
v27.mass.recipe-inventory.3,recipe:component:precision-optics,Transform,true,material:gold-ingot*1|resource:mana-crystal*3,component:precision-optics*1@1,2400,0,2350,2350,2350,0,50,50,2400,2350,2350,2350,50,50,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R82_정밀_광학계.asset,0e472a55935ceab36ed45ba328ea5eef53ebcf1cb29639795b9cd198c3b7e550
v27.mass.recipe-inventory.3,recipe:component:precision-parts,Transform,true,material:iron-ingot*1|material:steel-ingot*2,component:precision-parts*1@1,2600,0,2150,2150,2150,0,450,450,2600,2150,2150,2150,450,450,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R10_정밀_부품.asset,8eb8cfcc49fc10be6b1b55be98472ab4a0b9ebadef836a79ada80622c21e9ec3
v27.mass.recipe-inventory.3,recipe:component:price-board,Transform,true,material:lumber*1|material:paper*1,component:price-board*1@1,2100,0,1800,1800,1800,0,300,300,2100,1800,1800,1800,300,300,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R98_가격표_게시판.asset,66114bb35e9bdafb056e693e2ad9dea5b61d6104f2e85faa044fb87287fa77cf
