RESULT=PASS; cells=360; populations=5; technologyStages=6; survivalProfiles=3; emergencies=4; surviving=226; recoveredByDay7=293; zeroGrowth=108
PASS V27_LABOR_MATRIX_360_CELLS count=360
PASS V27_LABOR_MATRIX_ACTUAL_EFFECTIVE_RATIO actual=50; effective=45
PASS V27_LABOR_MATRIX_TECH_MONOTONIC stages=6
PASS V27_LABOR_MATRIX_SURVIVAL_MONOTONIC profiles=shortage,normal,surplus
PASS V27_LABOR_MATRIX_GROWTH_CUT_FIRST deficitGrowthCells=0
PASS V27_LABOR_MATRIX_SHORTAGE_CRISIS_EXPOSED emergencyShortageSurvivors=0
population|stage|survival|emergency|actualPerAdult|effectivePerAdult|unavailable|responders|available|essentialWu|coverage|growthWu|deficitWu|foodAfter|waterAfter|survives|recoversDay7
1|Middle|normal|guard|62.5|56.25|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Middle|surplus|none|62.5|56.25|0|0|1|13.5|4.166667|42.75|0|14|14|true|true
1|Middle|surplus|medical|62.5|56.25|1|0|0|13.5|0|0|13.5|11|11|false|true
1|Middle|surplus|invasion|62.5|56.25|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Middle|surplus|guard|62.5|56.25|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Industrial|shortage|none|74.5|67.05|0|0|1|40.5|1.655556|26.55|0|2|2|true|true
1|Industrial|shortage|medical|74.5|67.05|1|0|0|40.5|0|0|40.5|0|0|false|true
1|Industrial|shortage|invasion|74.5|67.05|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Industrial|shortage|guard|74.5|67.05|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Industrial|normal|none|74.5|67.05|0|0|1|22.5|2.98|44.55|0|7|7|true|true
1|Industrial|normal|medical|74.5|67.05|1|0|0|22.5|0|0|22.5|4|4|false|true
1|Industrial|normal|invasion|74.5|67.05|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Industrial|normal|guard|74.5|67.05|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Industrial|surplus|none|74.5|67.05|0|0|1|13.5|4.966667|53.55|0|14|14|true|true
1|Industrial|surplus|medical|74.5|67.05|1|0|0|13.5|0|0|13.5|11|11|false|true
1|Industrial|surplus|invasion|74.5|67.05|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Industrial|surplus|guard|74.5|67.05|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Late|shortage|none|85|76.5|0|0|1|40.5|1.888889|36|0|2|2|true|true
1|Late|shortage|medical|85|76.5|1|0|0|40.5|0|0|40.5|0|0|false|true
1|Late|shortage|invasion|85|76.5|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Late|shortage|guard|85|76.5|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Late|normal|none|85|76.5|0|0|1|22.5|3.4|54|0|7|7|true|true
1|Late|normal|medical|85|76.5|1|0|0|22.5|0|0|22.5|4|4|false|true
1|Late|normal|invasion|85|76.5|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Late|normal|guard|85|76.5|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Late|surplus|none|85|76.5|0|0|1|13.5|5.666666|63|0|14|14|true|true
1|Late|surplus|medical|85|76.5|1|0|0|13.5|0|0|13.5|11|11|false|true
1|Late|surplus|invasion|85|76.5|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Late|surplus|guard|85|76.5|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Endless|shortage|none|100|90|0|0|1|40.5|2.222222|49.5|0|2|2|true|true
1|Endless|shortage|medical|100|90|1|0|0|40.5|0|0|40.5|0|0|false|true
1|Endless|shortage|invasion|100|90|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Endless|shortage|guard|100|90|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Endless|normal|none|100|90|0|0|1|22.5|4|67.5|0|7|7|true|true
1|Endless|normal|medical|100|90|1|0|0|22.5|0|0|22.5|4|4|false|true
1|Endless|normal|invasion|100|90|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Endless|normal|guard|100|90|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Endless|surplus|none|100|90|0|0|1|13.5|6.666666|76.5|0|14|14|true|true
1|Endless|surplus|medical|100|90|1|0|0|13.5|0|0|13.5|11|11|false|true
1|Endless|surplus|invasion|100|90|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Endless|surplus|guard|100|90|0|1|0|13.5|0|0|13.5|11|11|false|false
3|NoResearch|shortage|none|50|45|0|0|3|121.5|1.111111|13.5|0|2|2|true|true
3|NoResearch|shortage|medical|50|45|1|1|1|121.5|0.37037|0|76.5|0|0|false|false
3|NoResearch|shortage|invasion|50|45|1|1|1|121.5|0.37037|0|76.5|0|0|false|false
3|NoResearch|shortage|guard|50|45|0|1|2|121.5|0.740741|0|31.5|0|0|false|false
3|NoResearch|normal|none|50|45|0|0|3|67.5|2|67.5|0|7|7|true|true
3|NoResearch|normal|medical|50|45|1|1|1|67.5|0.666667|0|22.5|4|4|false|true
3|NoResearch|normal|invasion|50|45|1|1|1|67.5|0.666667|0|22.5|4|4|false|true
3|NoResearch|normal|guard|50|45|0|1|2|67.5|1.333333|22.5|0|4|4|true|true
3|NoResearch|surplus|none|50|45|0|0|3|40.5|3.333333|94.5|0|14|14|true|true
3|NoResearch|surplus|medical|50|45|1|1|1|40.5|1.111111|4.5|0|11|11|true|true
3|NoResearch|surplus|invasion|50|45|1|1|1|40.5|1.111111|4.5|0|11|11|true|true
3|NoResearch|surplus|guard|50|45|0|1|2|40.5|2.222222|49.5|0|11|11|true|true
3|Early|shortage|none|54.5|49.05|0|0|3|121.5|1.211111|25.64999|0|2|2|true|true
3|Early|shortage|medical|54.5|49.05|1|1|1|121.5|0.403704|0|72.45|0|0|false|false
3|Early|shortage|invasion|54.5|49.05|1|1|1|121.5|0.403704|0|72.45|0|0|false|false
3|Early|shortage|guard|54.5|49.05|0|1|2|121.5|0.807407|0|23.4|0|0|false|false
3|Early|normal|none|54.5|49.05|0|0|3|67.5|2.18|79.64999|0|7|7|true|true
3|Early|normal|medical|54.5|49.05|1|1|1|67.5|0.726667|0|18.45|4|4|false|true
3|Early|normal|invasion|54.5|49.05|1|1|1|67.5|0.726667|0|18.45|4|4|false|true
3|Early|normal|guard|54.5|49.05|0|1|2|67.5|1.453333|30.6|0|4|4|true|true
3|Early|surplus|none|54.5|49.05|0|0|3|40.5|3.633333|106.65|0|14|14|true|true
3|Early|surplus|medical|54.5|49.05|1|1|1|40.5|1.211111|8.549999|0|11|11|true|true
3|Early|surplus|invasion|54.5|49.05|1|1|1|40.5|1.211111|8.549999|0|11|11|true|true
3|Early|surplus|guard|54.5|49.05|0|1|2|40.5|2.422222|57.6|0|11|11|true|true
3|Middle|shortage|none|62.5|56.25|0|0|3|121.5|1.388889|47.25|0|2|2|true|true
3|Middle|shortage|medical|62.5|56.25|1|1|1|121.5|0.462963|0|65.25|0|0|false|false
3|Middle|shortage|invasion|62.5|56.25|1|1|1|121.5|0.462963|0|65.25|0|0|false|false
3|Middle|shortage|guard|62.5|56.25|0|1|2|121.5|0.925926|0|9|0|0|false|false
3|Middle|normal|none|62.5|56.25|0|0|3|67.5|2.5|101.25|0|7|7|true|true
3|Middle|normal|medical|62.5|56.25|1|1|1|67.5|0.833333|0|11.25|4|4|false|true
3|Middle|normal|invasion|62.5|56.25|1|1|1|67.5|0.833333|0|11.25|4|4|false|true
3|Middle|normal|guard|62.5|56.25|0|1|2|67.5|1.666667|45|0|4|4|true|true
3|Middle|surplus|none|62.5|56.25|0|0|3|40.5|4.166667|128.25|0|14|14|true|true
3|Middle|surplus|medical|62.5|56.25|1|1|1|40.5|1.388889|15.75|0|11|11|true|true
3|Middle|surplus|invasion|62.5|56.25|1|1|1|40.5|1.388889|15.75|0|11|11|true|true
3|Middle|surplus|guard|62.5|56.25|0|1|2|40.5|2.777778|72|0|11|11|true|true
3|Industrial|shortage|none|74.5|67.05|0|0|3|121.5|1.655556|79.65001|0|2|2|true|true
3|Industrial|shortage|medical|74.5|67.05|1|1|1|121.5|0.551852|0|54.45|0|0|false|true
3|Industrial|shortage|invasion|74.5|67.05|1|1|1|121.5|0.551852|0|54.45|0|0|false|true
3|Industrial|shortage|guard|74.5|67.05|0|1|2|121.5|1.103704|12.60001|0|0|0|false|true
3|Industrial|normal|none|74.5|67.05|0|0|3|67.5|2.98|133.65|0|7|7|true|true
3|Industrial|normal|medical|74.5|67.05|1|1|1|67.5|0.993333|0|0.449997|4|4|false|true
3|Industrial|normal|invasion|74.5|67.05|1|1|1|67.5|0.993333|0|0.449997|4|4|false|true
3|Industrial|normal|guard|74.5|67.05|0|1|2|67.5|1.986667|66.60001|0|4|4|true|true
3|Industrial|surplus|none|74.5|67.05|0|0|3|40.5|4.966667|160.65|0|14|14|true|true
3|Industrial|surplus|medical|74.5|67.05|1|1|1|40.5|1.655556|26.55|0|11|11|true|true
3|Industrial|surplus|invasion|74.5|67.05|1|1|1|40.5|1.655556|26.55|0|11|11|true|true
3|Industrial|surplus|guard|74.5|67.05|0|1|2|40.5|3.311111|93.60001|0|11|11|true|true
3|Late|shortage|none|85|76.5|0|0|3|121.5|1.888889|108|0|2|2|true|true
3|Late|shortage|medical|85|76.5|1|1|1|121.5|0.62963|0|45|0|0|false|true
3|Late|shortage|invasion|85|76.5|1|1|1|121.5|0.62963|0|45|0|0|false|true
3|Late|shortage|guard|85|76.5|0|1|2|121.5|1.259259|31.5|0|0|0|false|true
3|Late|normal|none|85|76.5|0|0|3|67.5|3.4|162|0|7|7|true|true
3|Late|normal|medical|85|76.5|1|1|1|67.5|1.133333|9|0|4|4|true|true
3|Late|normal|invasion|85|76.5|1|1|1|67.5|1.133333|9|0|4|4|true|true
3|Late|normal|guard|85|76.5|0|1|2|67.5|2.266667|85.5|0|4|4|true|true
3|Late|surplus|none|85|76.5|0|0|3|40.5|5.666667|189|0|14|14|true|true
3|Late|surplus|medical|85|76.5|1|1|1|40.5|1.888889|36|0|11|11|true|true
3|Late|surplus|invasion|85|76.5|1|1|1|40.5|1.888889|36|0|11|11|true|true
3|Late|surplus|guard|85|76.5|0|1|2|40.5|3.777778|112.5|0|11|11|true|true
3|Endless|shortage|none|100|90|0|0|3|121.5|2.222222|148.5|0|2|2|true|true
3|Endless|shortage|medical|100|90|1|1|1|121.5|0.740741|0|31.5|0|0|false|true
3|Endless|shortage|invasion|100|90|1|1|1|121.5|0.740741|0|31.5|0|0|false|true
3|Endless|shortage|guard|100|90|0|1|2|121.5|1.481481|58.5|0|0|0|false|true
3|Endless|normal|none|100|90|0|0|3|67.5|4|202.5|0|7|7|true|true
3|Endless|normal|medical|100|90|1|1|1|67.5|1.333333|22.5|0|4|4|true|true
3|Endless|normal|invasion|100|90|1|1|1|67.5|1.333333|22.5|0|4|4|true|true
3|Endless|normal|guard|100|90|0|1|2|67.5|2.666667|112.5|0|4|4|true|true
3|Endless|surplus|none|100|90|0|0|3|40.5|6.666667|229.5|0|14|14|true|true
3|Endless|surplus|medical|100|90|1|1|1|40.5|2.222222|49.5|0|11|11|true|true
3|Endless|surplus|invasion|100|90|1|1|1|40.5|2.222222|49.5|0|11|11|true|true
3|Endless|surplus|guard|100|90|0|1|2|40.5|4.444445|139.5|0|11|11|true|true
6|NoResearch|shortage|none|50|45|0|0|6|243|1.111111|27|0|2|2|true|true
6|NoResearch|shortage|medical|50|45|2|1|3|243|0.555556|0|108|0|0|false|false
6|NoResearch|shortage|invasion|50|45|1|2|3|243|0.555556|0|108|0|0|false|false
6|NoResearch|shortage|guard|50|45|0|2|4|243|0.740741|0|63|0|0|false|false
6|NoResearch|normal|none|50|45|0|0|6|135|2|135|0|7|7|true|true
6|NoResearch|normal|medical|50|45|2|1|3|135|1|0|0|4|4|true|true
6|NoResearch|normal|invasion|50|45|1|2|3|135|1|0|0|4|4|true|true
6|NoResearch|normal|guard|50|45|0|2|4|135|1.333333|45|0|4|4|true|true
6|NoResearch|surplus|none|50|45|0|0|6|81|3.333333|189|0|14|14|true|true
6|NoResearch|surplus|medical|50|45|2|1|3|81|1.666667|54|0|11|11|true|true
6|NoResearch|surplus|invasion|50|45|1|2|3|81|1.666667|54|0|11|11|true|true
6|NoResearch|surplus|guard|50|45|0|2|4|81|2.222222|99|0|11|11|true|true
6|Early|shortage|none|54.5|49.05|0|0|6|243|1.211111|51.29999|0|2|2|true|true
6|Early|shortage|medical|54.5|49.05|2|1|3|243|0.605556|0|95.85001|0|0|false|false
6|Early|shortage|invasion|54.5|49.05|1|2|3|243|0.605556|0|95.85001|0|0|false|false
6|Early|shortage|guard|54.5|49.05|0|2|4|243|0.807407|0|46.8|0|0|false|false
6|Early|normal|none|54.5|49.05|0|0|6|135|2.18|159.3|0|7|7|true|true
6|Early|normal|medical|54.5|49.05|2|1|3|135|1.09|12.14999|0|4|4|true|true
6|Early|normal|invasion|54.5|49.05|1|2|3|135|1.09|12.14999|0|4|4|true|true
6|Early|normal|guard|54.5|49.05|0|2|4|135|1.453333|61.2|0|4|4|true|true
6|Early|surplus|none|54.5|49.05|0|0|6|81|3.633333|213.3|0|14|14|true|true
6|Early|surplus|medical|54.5|49.05|2|1|3|81|1.816667|66.14999|0|11|11|true|true
6|Early|surplus|invasion|54.5|49.05|1|2|3|81|1.816667|66.14999|0|11|11|true|true
6|Early|surplus|guard|54.5|49.05|0|2|4|81|2.422222|115.2|0|11|11|true|true
6|Middle|shortage|none|62.5|56.25|0|0|6|243|1.388889|94.5|0|2|2|true|true
6|Middle|shortage|medical|62.5|56.25|2|1|3|243|0.694444|0|74.25|0|0|false|true
6|Middle|shortage|invasion|62.5|56.25|1|2|3|243|0.694444|0|74.25|0|0|false|false
6|Middle|shortage|guard|62.5|56.25|0|2|4|243|0.925926|0|18|0|0|false|false
6|Middle|normal|none|62.5|56.25|0|0|6|135|2.5|202.5|0|7|7|true|true
6|Middle|normal|medical|62.5|56.25|2|1|3|135|1.25|33.75|0|4|4|true|true
6|Middle|normal|invasion|62.5|56.25|1|2|3|135|1.25|33.75|0|4|4|true|true
6|Middle|normal|guard|62.5|56.25|0|2|4|135|1.666667|90|0|4|4|true|true
6|Middle|surplus|none|62.5|56.25|0|0|6|81|4.166667|256.5|0|14|14|true|true
6|Middle|surplus|medical|62.5|56.25|2|1|3|81|2.083333|87.75|0|11|11|true|true
6|Middle|surplus|invasion|62.5|56.25|1|2|3|81|2.083333|87.75|0|11|11|true|true
6|Middle|surplus|guard|62.5|56.25|0|2|4|81|2.777778|144|0|11|11|true|true
6|Industrial|shortage|none|74.5|67.05|0|0|6|243|1.655556|159.3|0|2|2|true|true
6|Industrial|shortage|medical|74.5|67.05|2|1|3|243|0.827778|0|41.84999|0|0|false|true
6|Industrial|shortage|invasion|74.5|67.05|1|2|3|243|0.827778|0|41.84999|0|0|false|true
6|Industrial|shortage|guard|74.5|67.05|0|2|4|243|1.103704|25.20001|0|0|0|false|true
6|Industrial|normal|none|74.5|67.05|0|0|6|135|2.98|267.3|0|7|7|true|true
6|Industrial|normal|medical|74.5|67.05|2|1|3|135|1.49|66.15001|0|4|4|true|true
6|Industrial|normal|invasion|74.5|67.05|1|2|3|135|1.49|66.15001|0|4|4|true|true
6|Industrial|normal|guard|74.5|67.05|0|2|4|135|1.986667|133.2|0|4|4|true|true
6|Industrial|surplus|none|74.5|67.05|0|0|6|81|4.966667|321.3|0|14|14|true|true
6|Industrial|surplus|medical|74.5|67.05|2|1|3|81|2.483333|120.15|0|11|11|true|true
6|Industrial|surplus|invasion|74.5|67.05|1|2|3|81|2.483333|120.15|0|11|11|true|true
6|Industrial|surplus|guard|74.5|67.05|0|2|4|81|3.311111|187.2|0|11|11|true|true
6|Late|shortage|none|85|76.5|0|0|6|243|1.888889|216|0|2|2|true|true
6|Late|shortage|medical|85|76.5|2|1|3|243|0.944444|0|13.5|0|0|false|true
6|Late|shortage|invasion|85|76.5|1|2|3|243|0.944444|0|13.5|0|0|false|true
6|Late|shortage|guard|85|76.5|0|2|4|243|1.259259|63|0|0|0|false|true
6|Late|normal|none|85|76.5|0|0|6|135|3.4|324|0|7|7|true|true
6|Late|normal|medical|85|76.5|2|1|3|135|1.7|94.5|0|4|4|true|true
6|Late|normal|invasion|85|76.5|1|2|3|135|1.7|94.5|0|4|4|true|true
6|Late|normal|guard|85|76.5|0|2|4|135|2.266667|171|0|4|4|true|true
6|Late|surplus|none|85|76.5|0|0|6|81|5.666667|378|0|14|14|true|true
6|Late|surplus|medical|85|76.5|2|1|3|81|2.833333|148.5|0|11|11|true|true
6|Late|surplus|invasion|85|76.5|1|2|3|81|2.833333|148.5|0|11|11|true|true
6|Late|surplus|guard|85|76.5|0|2|4|81|3.777778|225|0|11|11|true|true
6|Endless|shortage|none|100|90|0|0|6|243|2.222222|297|0|2|2|true|true
6|Endless|shortage|medical|100|90|2|1|3|243|1.111111|27|0|0|0|false|true
6|Endless|shortage|invasion|100|90|1|2|3|243|1.111111|27|0|0|0|false|true
6|Endless|shortage|guard|100|90|0|2|4|243|1.481481|117|0|0|0|false|true
6|Endless|normal|none|100|90|0|0|6|135|4|405|0|7|7|true|true
6|Endless|normal|medical|100|90|2|1|3|135|2|135|0|4|4|true|true
6|Endless|normal|invasion|100|90|1|2|3|135|2|135|0|4|4|true|true
6|Endless|normal|guard|100|90|0|2|4|135|2.666667|225|0|4|4|true|true
6|Endless|surplus|none|100|90|0|0|6|81|6.666667|459|0|14|14|true|true
6|Endless|surplus|medical|100|90|2|1|3|81|3.333333|189|0|11|11|true|true
6|Endless|surplus|invasion|100|90|1|2|3|81|3.333333|189|0|11|11|true|true
6|Endless|surplus|guard|100|90|0|2|4|81|4.444445|279|0|11|11|true|true
12|NoResearch|shortage|none|50|45|0|0|12|486|1.111111|54|0|2|2|true|true
12|NoResearch|shortage|medical|50|45|3|1|8|486|0.740741|0|126|0|0|false|false
12|NoResearch|shortage|invasion|50|45|2|3|7|486|0.648148|0|171|0|0|false|false
12|NoResearch|shortage|guard|50|45|0|3|9|486|0.833333|0|81|0|0|false|false
12|NoResearch|normal|none|50|45|0|0|12|270|2|270|0|7|7|true|true
12|NoResearch|normal|medical|50|45|3|1|8|270|1.333333|90|0|4|4|true|true
12|NoResearch|normal|invasion|50|45|2|3|7|270|1.166667|45|0|4|4|true|true
12|NoResearch|normal|guard|50|45|0|3|9|270|1.5|135|0|4|4|true|true
12|NoResearch|surplus|none|50|45|0|0|12|162|3.333333|378|0|14|14|true|true
12|NoResearch|surplus|medical|50|45|3|1|8|162|2.222222|198|0|11|11|true|true
12|NoResearch|surplus|invasion|50|45|2|3|7|162|1.944444|153|0|11|11|true|true
12|NoResearch|surplus|guard|50|45|0|3|9|162|2.5|243|0|11|11|true|true
12|Early|shortage|none|54.5|49.05|0|0|12|486|1.211111|102.6|0|2|2|true|true
12|Early|shortage|medical|54.5|49.05|3|1|8|486|0.807407|0|93.60001|0|0|false|true
12|Early|shortage|invasion|54.5|49.05|2|3|7|486|0.706482|0|142.65|0|0|false|false
12|Early|shortage|guard|54.5|49.05|0|3|9|486|0.908333|0|44.55002|0|0|false|false
12|Early|normal|none|54.5|49.05|0|0|12|270|2.18|318.6|0|7|7|true|true
12|Early|normal|medical|54.5|49.05|3|1|8|270|1.453333|122.4|0|4|4|true|true
12|Early|normal|invasion|54.5|49.05|2|3|7|270|1.271667|73.35001|0|4|4|true|true
12|Early|normal|guard|54.5|49.05|0|3|9|270|1.635|171.45|0|4|4|true|true
12|Early|surplus|none|54.5|49.05|0|0|12|162|3.633333|426.6|0|14|14|true|true
12|Early|surplus|medical|54.5|49.05|3|1|8|162|2.422222|230.4|0|11|11|true|true
12|Early|surplus|invasion|54.5|49.05|2|3|7|162|2.119444|181.35|0|11|11|true|true
12|Early|surplus|guard|54.5|49.05|0|3|9|162|2.725|279.45|0|11|11|true|true
12|Middle|shortage|none|62.5|56.25|0|0|12|486|1.388889|189|0|2|2|true|true
12|Middle|shortage|medical|62.5|56.25|3|1|8|486|0.925926|0|36|0|0|false|true
12|Middle|shortage|invasion|62.5|56.25|2|3|7|486|0.810185|0|92.25|0|0|false|false
12|Middle|shortage|guard|62.5|56.25|0|3|9|486|1.041667|20.25|0|0|0|false|false
12|Middle|normal|none|62.5|56.25|0|0|12|270|2.5|405|0|7|7|true|true
12|Middle|normal|medical|62.5|56.25|3|1|8|270|1.666667|180|0|4|4|true|true
12|Middle|normal|invasion|62.5|56.25|2|3|7|270|1.458333|123.75|0|4|4|true|true
12|Middle|normal|guard|62.5|56.25|0|3|9|270|1.875|236.25|0|4|4|true|true
12|Middle|surplus|none|62.5|56.25|0|0|12|162|4.166667|513|0|14|14|true|true
12|Middle|surplus|medical|62.5|56.25|3|1|8|162|2.777778|288|0|11|11|true|true
12|Middle|surplus|invasion|62.5|56.25|2|3|7|162|2.430556|231.75|0|11|11|true|true
12|Middle|surplus|guard|62.5|56.25|0|3|9|162|3.125|344.25|0|11|11|true|true
12|Industrial|shortage|none|74.5|67.05|0|0|12|486|1.655556|318.6|0|2|2|true|true
12|Industrial|shortage|medical|74.5|67.05|3|1|8|486|1.103704|50.40002|0|0|0|false|true
12|Industrial|shortage|invasion|74.5|67.05|2|3|7|486|0.965741|0|16.64996|0|0|false|true
12|Industrial|shortage|guard|74.5|67.05|0|3|9|486|1.241667|117.45|0|0|0|false|true
12|Industrial|normal|none|74.5|67.05|0|0|12|270|2.98|534.6|0|7|7|true|true
12|Industrial|normal|medical|74.5|67.05|3|1|8|270|1.986667|266.4|0|4|4|true|true
12|Industrial|normal|invasion|74.5|67.05|2|3|7|270|1.738333|199.35|0|4|4|true|true
12|Industrial|normal|guard|74.5|67.05|0|3|9|270|2.235|333.45|0|4|4|true|true
12|Industrial|surplus|none|74.5|67.05|0|0|12|162|4.966667|642.6|0|14|14|true|true
12|Industrial|surplus|medical|74.5|67.05|3|1|8|162|3.311111|374.4|0|11|11|true|true
12|Industrial|surplus|invasion|74.5|67.05|2|3|7|162|2.897223|307.35|0|11|11|true|true
12|Industrial|surplus|guard|74.5|67.05|0|3|9|162|3.725|441.45|0|11|11|true|true
12|Late|shortage|none|85|76.5|0|0|12|486|1.888889|432|0|2|2|true|true
12|Late|shortage|medical|85|76.5|3|1|8|486|1.259259|126|0|0|0|false|true
12|Late|shortage|invasion|85|76.5|2|3|7|486|1.101852|49.5|0|0|0|false|true
12|Late|shortage|guard|85|76.5|0|3|9|486|1.416667|202.5|0|0|0|false|true
12|Late|normal|none|85|76.5|0|0|12|270|3.4|648|0|7|7|true|true
12|Late|normal|medical|85|76.5|3|1|8|270|2.266667|342|0|4|4|true|true
12|Late|normal|invasion|85|76.5|2|3|7|270|1.983333|265.5|0|4|4|true|true
12|Late|normal|guard|85|76.5|0|3|9|270|2.55|418.5|0|4|4|true|true
12|Late|surplus|none|85|76.5|0|0|12|162|5.666667|756|0|14|14|true|true
12|Late|surplus|medical|85|76.5|3|1|8|162|3.777778|450|0|11|11|true|true
12|Late|surplus|invasion|85|76.5|2|3|7|162|3.305556|373.5|0|11|11|true|true
12|Late|surplus|guard|85|76.5|0|3|9|162|4.25|526.5|0|11|11|true|true
12|Endless|shortage|none|100|90|0|0|12|486|2.222222|594|0|2|2|true|true
12|Endless|shortage|medical|100|90|3|1|8|486|1.481481|234|0|0|0|false|true
12|Endless|shortage|invasion|100|90|2|3|7|486|1.296296|144|0|0|0|false|true
12|Endless|shortage|guard|100|90|0|3|9|486|1.666667|324|0|0|0|false|true
12|Endless|normal|none|100|90|0|0|12|270|4|810|0|7|7|true|true
12|Endless|normal|medical|100|90|3|1|8|270|2.666667|450|0|4|4|true|true
12|Endless|normal|invasion|100|90|2|3|7|270|2.333333|360|0|4|4|true|true
12|Endless|normal|guard|100|90|0|3|9|270|3|540|0|4|4|true|true
12|Endless|surplus|none|100|90|0|0|12|162|6.666667|918|0|14|14|true|true
12|Endless|surplus|medical|100|90|3|1|8|162|4.444445|558|0|11|11|true|true
12|Endless|surplus|invasion|100|90|2|3|7|162|3.888889|468|0|11|11|true|true
