"stable_id","display_name","source_declared_function","protection_and_production_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_equipment_receipt","condition_mobility_and_logistics_pressure","counter_or_reconfiguration","status"
"equipment-item:armor:jack-of-plates","잭 오브 플레이트","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '잭 오브 플레이트 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Outer; 신체 방호 [{""bluntDefense"":10,""bodyPart"":1,""pierceDefense"":14,""slashDefense"":17}]; 충돌 태그 torso-jack-of-plates; 손 0; 연구 research:equipment:armor-tailoring; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:hardened-leather""},{""amount"":1,""itemId"":""material:plate-blank""},{""amount"":1,""itemId"":""textile:quilted-liner""}]; 작업 168; 질량 5.4; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":10,""bodyPart"":1,""pierceDefense"":14,""slashDefense"":17}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:armor-tailoring와 제작 재료·부품·작업을 충족해 equipment armor:jack-of-plates / item equipment-item:armor:jack-of-plates를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 5.4; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:leather","가죽 갑옷","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '가죽 갑옷 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Outer; 신체 방호 [{""bluntDefense"":5,""bodyPart"":1,""pierceDefense"":8,""slashDefense"":10}]; 충돌 태그 torso-outer; 손 0; 연구 research:textile:tanning; 제작 재료 []; 부품 []; 작업 124; 질량 4.2; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":5,""bodyPart"":1,""pierceDefense"":8,""slashDefense"":10}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:textile:tanning와 제작 재료·부품·작업을 충족해 equipment armor:leather / item equipment-item:armor:leather를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 4.2; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:leather-cap","가죽 모자","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '가죽 모자 전투 장비'이다. 게임 규칙은 tier 0로 구성된다.","종류 Melee Weapon; 계보 1; 시대 0; tier 0; 레이어 Clothing; 신체 방호 [{""bluntDefense"":3,""bodyPart"":0,""pierceDefense"":4,""slashDefense"":5}]; 충돌 태그 headwear; 손 0; 연구 ; 제작 재료 []; 부품 []; 작업 52; 질량 0.8; effects []","Clothing 레이어와 신체 방호 [{""bluntDefense"":3,""bodyPart"":0,""pierceDefense"":4,""slashDefense"":5}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:cloth-hood","연구 와 제작 재료·부품·작업을 충족해 equipment armor:leather-cap / item equipment-item:armor:leather-cap를 확보하고, 레이어 Clothing와 슬롯 0에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 0.8; 손 점유 0; 레이어 Clothing가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:mail-coif","사슬 두건","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '사슬 두건 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Mail; 신체 방호 [{""bluntDefense"":5,""bodyPart"":0,""pierceDefense"":10,""slashDefense"":11}]; 충돌 태그 headwear-mail; 손 0; 연구 research:equipment:mail-weaving; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:chain-mesh""}]; 작업 88; 질량 1.6; effects []","Mail 레이어와 신체 방호 [{""bluntDefense"":5,""bodyPart"":0,""pierceDefense"":10,""slashDefense"":11}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:mail-weaving와 제작 재료·부품·작업을 충족해 equipment armor:mail-coif / item equipment-item:armor:mail-coif를 확보하고, 레이어 Mail와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 1.6; 손 점유 0; 레이어 Mail가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:mail-shirt","사슬 갑옷","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '사슬 갑옷 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Mail; 신체 방호 [{""bluntDefense"":7,""bodyPart"":1,""pierceDefense"":15,""slashDefense"":16},{""bluntDefense"":5,""bodyPart"":2,""pierceDefense"":9,""slashDefense"":10},{""bluntDefense"":5,""bodyPart"":3,""pierceDefense"":9,""slashDefense"":10}]; 충돌 태그 torso-mail; 손 0; 연구 research:equipment:mail-weaving; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:chain-mesh""}]; 작업 152; 질량 7.5; effects []","Mail 레이어와 신체 방호 [{""bluntDefense"":7,""bodyPart"":1,""pierceDefense"":15,""slashDefense"":16},{""bluntDefense"":5,""bodyPart"":2,""pierceDefense"":9,""slashDefense"":10},{""bluntDefense"":5,""bodyPart"":3,""pierceDefense"":9,""slashDefense"":10}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:mail-weaving와 제작 재료·부품·작업을 충족해 equipment armor:mail-shirt / item equipment-item:armor:mail-shirt를 확보하고, 레이어 Mail와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 7.5; 손 점유 0; 레이어 Mail가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:padded-hood","누비 두건","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '누비 두건 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Clothing; 신체 방호 [{""bluntDefense"":9,""bodyPart"":0,""pierceDefense"":4,""slashDefense"":6}]; 충돌 태그 headwear-padded; 손 0; 연구 research:textile:tailoring; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""textile:quilted-liner""}]; 작업 80; 질량 0.8; effects []","Clothing 레이어와 신체 방호 [{""bluntDefense"":9,""bodyPart"":0,""pierceDefense"":4,""slashDefense"":6}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:textile:tailoring와 제작 재료·부품·작업을 충족해 equipment armor:padded-hood / item equipment-item:armor:padded-hood를 확보하고, 레이어 Clothing와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 0.8; 손 점유 0; 레이어 Clothing가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:powder-cuirass","화약수 흉갑","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '화약수 흉갑 전투 장비'이다. 게임 규칙은 tier 3로 구성된다.","종류 Melee Weapon; 계보 1; 시대 3; tier 3; 레이어 Outer; 신체 방호 [{""bluntDefense"":31,""bodyPart"":1,""pierceDefense"":18,""slashDefense"":14}]; 충돌 태그 torso-powder-cuirass; 손 0; 연구 research:equipment:pressure-barrels; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:plate-blank""},{""amount"":1,""itemId"":""textile:insulating-cloth""}]; 작업 256; 질량 8.2; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":31,""bodyPart"":1,""pierceDefense"":18,""slashDefense"":14}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:blast-coat, CombatArmorSO:equipment-item:armor:smoke-hood","연구 research:equipment:pressure-barrels와 제작 재료·부품·작업을 충족해 equipment armor:powder-cuirass / item equipment-item:armor:powder-cuirass를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 8.2; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:powered-harness","동력 보조 갑주","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '동력 보조 갑주 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 1; 시대 4; tier 4; 레이어 Plate; 신체 방호 [{""bluntDefense"":34,""bodyPart"":1,""pierceDefense"":40,""slashDefense"":42}]; 충돌 태그 torso-powered; 손 0; 연구 research:equipment:powered-armor; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":2,""itemId"":""component:machine-parts""},{""amount"":2,""itemId"":""component:precision-parts""},{""amount"":2,""itemId"":""component:powered-armor-joint""},{""amount"":1,""itemId"":""component:prototype-package""}]; 작업 392; 질량 18; effects [{""bindingId"":""equipment:powered-harness:work-speed"",""condition"":{""fileID"":0},""definition"":{""fileID"":11400000,""guid"":""c82e7a8d248986f4b8776ccbc743d601"",""type"":2},""value"":1.05}]","Plate 레이어와 신체 방호 [{""bluntDefense"":34,""bodyPart"":1,""pierceDefense"":40,""slashDefense"":42}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:rune-ward-mail, CombatArmorSO:equipment-item:armor:blacksteel-carapace","연구 research:equipment:powered-armor와 제작 재료·부품·작업을 충족해 equipment armor:powered-harness / item equipment-item:armor:powered-harness를 확보하고, 레이어 Plate와 슬롯 4에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 18; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:rune-ward-mail","룬 수호 사슬갑옷","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '룬 수호 사슬갑옷 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 1; 시대 4; tier 4; 레이어 Mail; 신체 방호 [{""bluntDefense"":20,""bodyPart"":1,""pierceDefense"":31,""slashDefense"":30}]; 충돌 태그 torso-rune-mail; 손 0; 연구 research:equipment:rune-module-tuning; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":1,""itemId"":""material:chain-mesh""},{""amount"":1,""itemId"":""material:mana-alloy""},{""amount"":1,""itemId"":""component:rune-conductor""},{""amount"":1,""itemId"":""component:dreamweave-rune-lining""},{""amount"":1,""itemId"":""component:rune-leather-lining""}]; 작업 344; 질량 9; effects []","Mail 레이어와 신체 방호 [{""bluntDefense"":20,""bodyPart"":1,""pierceDefense"":31,""slashDefense"":30}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:powered-harness, CombatArmorSO:equipment-item:armor:blacksteel-carapace","연구 research:equipment:rune-module-tuning와 제작 재료·부품·작업을 충족해 equipment armor:rune-ward-mail / item equipment-item:armor:rune-ward-mail를 확보하고, 레이어 Mail와 슬롯 3에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 9; 손 점유 0; 레이어 Mail가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:scale-coat","비늘 외투","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '비늘 외투 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Mail; 신체 방호 [{""bluntDefense"":13,""bodyPart"":1,""pierceDefense"":19,""slashDefense"":23}]; 충돌 태그 torso-scale; 손 0; 연구 research:equipment:mail-weaving; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":1,""itemId"":""material:chain-mesh""}]; 작업 208; 질량 8.2; effects []","Mail 레이어와 신체 방호 [{""bluntDefense"":13,""bodyPart"":1,""pierceDefense"":19,""slashDefense"":23}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:mail-weaving와 제작 재료·부품·작업을 충족해 equipment armor:scale-coat / item equipment-item:armor:scale-coat를 확보하고, 레이어 Mail와 슬롯 3에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 8.2; 손 점유 0; 레이어 Mail가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:smoke-hood","연기 두건","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '연기 두건 전투 장비'이다. 게임 규칙은 tier 3로 구성된다.","종류 Melee Weapon; 계보 1; 시대 3; tier 3; 레이어 Clothing; 신체 방호 [{""bluntDefense"":12,""bodyPart"":0,""pierceDefense"":6,""slashDefense"":7}]; 충돌 태그 headwear-smoke; 손 0; 연구 research:equipment:pressure-barrels; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""textile:sterile-cloth""},{""amount"":1,""itemId"":""textile:insulating-cloth""}]; 작업 140; 질량 1.1; effects []","Clothing 레이어와 신체 방호 [{""bluntDefense"":12,""bodyPart"":0,""pierceDefense"":6,""slashDefense"":7}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:blast-coat, CombatArmorSO:equipment-item:armor:powder-cuirass","연구 research:equipment:pressure-barrels와 제작 재료·부품·작업을 충족해 equipment armor:smoke-hood / item equipment-item:armor:smoke-hood를 확보하고, 레이어 Clothing와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 1.1; 손 점유 0; 레이어 Clothing가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"

