apparel_id,physical_item_id,physical_unit_weight_g,physical_unit_price,base_weight_kg,body_form,layer,fit_mode,required_points,occupied_points,sealed_optional_points,supported_modifications,use_tags,allowed_material_tags,tailoring_coefficient,required_research_id,source_path
apparel:scarf,apparel:scarf,180,19,0.18,2,4,2,4,4,0,0,1040,1,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_scarf.asset
apparel:shorts,apparel:shorts,320,19,0.32,0,1,0,16,1552,16384,1,36,1,0.76,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_shorts.asset
apparel:skirt,apparel:skirt,420,19,0.42,0,1,1,16,1552,0,0,4,1,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_skirt.asset
apparel:sky-chorus-shawl,apparel:sky-chorus-shawl,220,19,0.22,0,4,2,8,8200,0,0,1536,1,0.72,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_sky_chorus_shawl.asset
apparel:sleep-bottom,apparel:sleep-bottom,320,19,0.32,0,1,0,1552,1552,16384,1,2,1,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_sleep_bottom.asset
apparel:sleep-top,apparel:sleep-top,350,19,0.35,0,1,0,8,104,98304,2,2,1,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_sleep_top.asset
apparel:slime-warming-pad,equipment:slime-warming-pad,300,22,0.45,0,1,1,8,8,0,0,24,1,1.1,research:environment:cold-work,Assets/Resources/SO/Apparel/Definitions/apparel_slime_warming_pad.asset
apparel:smith-apron,apparel:smith-apron,900,25,0.9,0,2,1,8,24,0,0,2088,3,1.12,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_smith_apron.asset
apparel:smoke-protection-hood,apparel:smoke-protection-hood,380,25,0.38,0,2,1,3,3,131072,4,2056,1,1.08,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_smoke_protection_hood.asset
apparel:socks,apparel:socks,120,19,0.12,0,0,0,6144,6144,0,0,1,1,0.72,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_socks.asset
apparel:spore-garden-cloak,apparel:spore-garden-cloak,780,25,0.78,0,2,1,8,8200,98304,2,2560,1,1.02,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_spore_garden_cloak.asset
apparel:spore-protection-hood,apparel:spore-protection-hood,350,25,0.35,0,2,1,3,3,131072,4,2056,1,1.05,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_spore_protection_hood.asset
apparel:sterile-gown,apparel:sterile-gown,520,19,0.52,0,2,1,8,104,98304,2,136,1,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_sterile_gown.asset
apparel:surgical-apron,apparel:surgical-apron,620,25,0.62,0,2,1,8,24,0,0,136,3,1.05,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_surgical_apron.asset
apparel:tail-guard,apparel:tail-guard,350,19,0.35,0,4,2,16384,16384,0,0,3072,3,0.9,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_tail_guard.asset
apparel:tail-ribbon,apparel:tail-ribbon,80,19,0.08,0,4,2,16384,16384,0,0,1536,1,0.55,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_tail_ribbon.asset
apparel:trousers,apparel:trousers,500,19,0.5,0,1,0,1552,1552,16384,1,4,1,0.92,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_trousers.asset
apparel:tunic,apparel:tunic,450,19,0.45,0,1,1,8,104,98304,2,4,1,0.9,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_tunic.asset
apparel:undershirt,apparel:undershirt,200,19,0.2,0,0,0,8,8,98304,2,1,1,0.78,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_undershirt.asset
apparel:vest,apparel:vest,400,19,0.4,0,2,1,8,8,98304,2,4,1,0.9,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_vest.asset
apparel:waterproof-work-suit,apparel:waterproof-work-suit,1380,25,1.38,0,2,1,8,9848,245760,7,2120,3,1.15,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_waterproof_work_suit.asset
apparel:weapon-vigil-cloak,apparel:weapon-vigil-cloak,800,25,0.8,0,2,1,8,8200,98304,2,528,1,1.08,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_weapon_vigil_cloak.asset
apparel:wing-cloak,apparel:wing-cloak,600,19,0.6,0,4,2,98304,106496,0,0,1040,1,0.9,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_wing_cloak.asset
apparel:wing-harness,apparel:wing-harness,500,19,0.5,0,4,2,98304,106496,0,0,1032,3,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_wing_harness.asset
apparel:work-shirt,apparel:work-shirt,480,19,0.48,0,1,1,8,104,98304,2,12,1,0.95,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_work_shirt.asset
