"equipment_id","equipment_type","item_id","weight_kg","occupied_hands","max_durability","required_craft_wu","era","tier","required_research","default_material","craft_bom","craft_bom_kg","craft_bom_market_value","unresolved_bom_items","combat_signature","final_value_source","static_status"
"weapon:matchlock-long-gun","CombatWeaponSO","equipment-item:weapon:matchlock-long-gun","6.4","2","100","192","2","2","research:equipment:ballistics","material:iron","component:engineering-drawing×1|component:machine-parts×1|component:precision-parts×1|material:barrel-steel×1|material:iron-ingot×5","11.80","797","—","damage=36;penetration=31;tracking=0.016;attackSeconds=1.75;range=30;magazine=1;reloadSeconds=10;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:matchlock-pistol","CombatWeaponSO","equipment-item:weapon:matchlock-pistol","2.6","1","100","168","2","2","research:equipment:ignition-mechanisms","material:iron","component:engineering-drawing×1|component:growth-frame×1|component:machine-parts×1|component:precision-parts×1|material:iron-ingot×2","10.00","1137","—","damage=24;penetration=22;tracking=0.025;attackSeconds=1.4;range=14;magazine=1;reloadSeconds=6;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:pollaxe","CombatWeaponSO","equipment-item:weapon:pollaxe","4.8","2","100","104","1","1","research:metallurgy:steel","material:iron","material:iron-ingot×4","3.6","160","—","damage=22;penetration=21;tracking=0.04;attackSeconds=1.3;range=2;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:powered-striking-gauntlet","CombatWeaponSO","equipment-item:weapon:powered-striking-gauntlet","7.2","1","100","296","4","4","research:equipment:powered-armor","material:iron","component:machine-parts×2|material:iron-ingot×6|material:plate-blank×1","11.7","546","—","damage=32;penetration=28;tracking=0.025;attackSeconds=1.6;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:repeating-crossbow","CombatWeaponSO","equipment-item:weapon:repeating-crossbow","4.4","2","100","164","1","1","research:equipment:mechanical-projectiles","material:iron","component:growth-frame×1|component:machine-parts×1|material:bowstring×1|material:iron-ingot×4|material:laminated-lumber×1|material:spring-steel×1","12.58","1068","—","damage=11;penetration=8;tracking=0.04;attackSeconds=0.72;range=14;magazine=5;reloadSeconds=0.85;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:rune-blade","CombatWeaponSO","equipment-item:weapon:rune-blade","2.2","1","100","264","4","4","research:equipment:rune-module-tuning","material:iron","component:growth-frame×1|component:rune-conductor×1|component:rune-control-panel×1|material:iron-ingot×2","8.45","1746","—","damage=23;penetration=20;tracking=0.08;attackSeconds=0.9;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:rune-bow","CombatWeaponSO","equipment-item:weapon:rune-bow","2.4","2","100","280","4","4","research:equipment:rune-module-tuning","material:iron","component:growth-frame×1|material:bowstring×1|material:iron-ingot×2|material:laminated-lumber×1|material:mana-alloy×1","8.93","996","—","damage=20;penetration=18;tracking=0.035;attackSeconds=0.92;range=24;magazine=1;reloadSeconds=1.05;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:shortbow","CombatWeaponSO","equipment-item:weapon:shortbow","1.4","2","100","112","1","1","research:equipment:bowyery","material:wood","material:bowstring×1|material:lumber×2|material:rope×1","3.38","26","—","damage=8;penetration=4;tracking=0.06;attackSeconds=0.9;range=11;magazine=1;reloadSeconds=0.75;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:shotgun","CombatWeaponSO","equipment-item:weapon:shotgun","6.1","2","100","224","3","3","research:equipment:pressure-barrels","material:iron","component:engineering-drawing×1|component:machine-parts×1|component:precision-parts×1|material:barrel-steel×1|material:iron-ingot×5","11.80","797","—","damage=30;penetration=19;tracking=0.035;attackSeconds=1.55;range=12;magazine=1;reloadSeconds=8;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:siege-arbalest","CombatWeaponSO","equipment-item:weapon:siege-arbalest","8.5","2","100","248","3","3","research:equipment:pressure-barrels","material:iron","component:engineering-drawing×1|component:growth-frame×1|component:prototype-package×1|component:siege-counterweight×1|material:bowstring×2|material:iron-ingot×7","13.86","1264","—","damage=38;penetration=34;tracking=0.015;attackSeconds=2;range=26;magazine=1;reloadSeconds=9;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:sniper-arquebus","CombatWeaponSO","equipment-item:weapon:sniper-arquebus","6.8","2","100","224","2","2","research:equipment:ballistics","material:iron","component:engineering-drawing×1|component:growth-frame×1|component:machine-parts×1|component:precision-optics×1|component:precision-parts×1|material:barrel-steel×1|material:iron-ingot×6","18.10","1818","—","damage=40;penetration=37;tracking=0.012;attackSeconds=1.85;range=34;magazine=1;reloadSeconds=11.5;misfire=0.2","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:spear","CombatWeaponSO","equipment-item:weapon:spear","2.4","2","100","72","0","0","—","material:wood","material:lumber×2","2.4","10","—","damage=11;penetration=9;tracking=0.05;attackSeconds=1.15;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:throwing-axe","CombatWeaponSO","equipment-item:weapon:throwing-axe","1.4","1","100","64","1","1","research:equipment:weapon-patterns","material:iron","material:iron-ingot×2","1.8","80","—","damage=11;penetration=5;tracking=0.08;attackSeconds=0.9;range=5;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:warhammer","CombatWeaponSO","equipment-item:weapon:warhammer","3.1","2","100","96","1","1","research:metallurgy:iron","material:iron","material:iron-ingot×3","2.7","120","—","damage=16;penetration=11;tracking=0.04;attackSeconds=1.35;range=1;magazine=0;reloadSeconds=0;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
"weapon:windlass-crossbow","CombatWeaponSO","equipment-item:weapon:windlass-crossbow","5.2","2","100","164","1","1","research:equipment:mechanical-projectiles","material:iron","component:growth-frame×1|component:lead-counterweight×1|component:machine-parts×1|material:bowstring×1|material:iron-ingot×4|material:laminated-lumber×1","12.53","995","—","damage=20;penetration=18;tracking=0.025;attackSeconds=1.1;range=22;magazine=1;reloadSeconds=4.2;misfire=0","serialized combat equipment + CraftMaterialDefinitionSO + item-numeric-ledger.csv","locked"
