"item_id","unit_weight_g","max_stack","max_stack_kg","unit_price","sale_rate","stock_category"
"evolution:catalyst:authority:5","250","20","5","1920","n/a","1"
"evolution:catalyst:authority:6","250","20","5","3840","n/a","1"
"evolution:catalyst:authority:7","250","20","5","7680","n/a","1"
"evolution:catalyst:authority:8","250","20","5","15360","n/a","1"
"evolution:catalyst:authority:9","250","20","5","30720","n/a","1"
"evolution:catalyst:defense:1","250","20","5","120","n/a","1"
"evolution:catalyst:defense:10","250","20","5","61440","n/a","1"
"evolution:catalyst:defense:11","250","20","5","122880","n/a","1"
"evolution:catalyst:defense:12","250","20","5","245760","n/a","1"
"evolution:catalyst:defense:13","250","20","5","491520","n/a","1"
"evolution:catalyst:defense:14","250","20","5","983040","n/a","1"
"evolution:catalyst:defense:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:defense:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:defense:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:defense:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:defense:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:defense:2","250","20","5","240","n/a","1"
"evolution:catalyst:defense:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:defense:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:defense:3","250","20","5","480","n/a","1"
"evolution:catalyst:defense:4","250","20","5","960","n/a","1"
"evolution:catalyst:defense:5","250","20","5","1920","n/a","1"
"evolution:catalyst:defense:6","250","20","5","3840","n/a","1"
"evolution:catalyst:defense:7","250","20","5","7680","n/a","1"
"evolution:catalyst:defense:8","250","20","5","15360","n/a","1"
"evolution:catalyst:defense:9","250","20","5","30720","n/a","1"
"evolution:catalyst:industry:1","250","20","5","120","n/a","1"
"evolution:catalyst:industry:10","250","20","5","61440","n/a","1"
"evolution:catalyst:industry:11","250","20","5","122880","n/a","1"
"evolution:catalyst:industry:12","250","20","5","245760","n/a","1"
"evolution:catalyst:industry:13","250","20","5","491520","n/a","1"
"evolution:catalyst:industry:14","250","20","5","983040","n/a","1"
"evolution:catalyst:industry:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:industry:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:industry:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:industry:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:industry:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:industry:2","250","20","5","240","n/a","1"
"evolution:catalyst:industry:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:industry:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:industry:3","250","20","5","480","n/a","1"
"evolution:catalyst:industry:4","250","20","5","960","n/a","1"
"evolution:catalyst:industry:5","250","20","5","1920","n/a","1"
"evolution:catalyst:industry:6","250","20","5","3840","n/a","1"
"evolution:catalyst:industry:7","250","20","5","7680","n/a","1"
"evolution:catalyst:industry:8","250","20","5","15360","n/a","1"
"evolution:catalyst:industry:9","250","20","5","30720","n/a","1"
"evolution:catalyst:offense:1","250","20","5","120","n/a","1"
"evolution:catalyst:offense:10","250","20","5","61440","n/a","1"
"evolution:catalyst:offense:11","250","20","5","122880","n/a","1"
"evolution:catalyst:offense:12","250","20","5","245760","n/a","1"
"evolution:catalyst:offense:13","250","20","5","491520","n/a","1"
"evolution:catalyst:offense:14","250","20","5","983040","n/a","1"
"evolution:catalyst:offense:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:offense:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:offense:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:offense:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:offense:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:offense:2","250","20","5","240","n/a","1"
"evolution:catalyst:offense:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:offense:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:offense:3","250","20","5","480","n/a","1"
"evolution:catalyst:offense:4","250","20","5","960","n/a","1"
"evolution:catalyst:offense:5","250","20","5","1920","n/a","1"
"evolution:catalyst:offense:6","250","20","5","3840","n/a","1"
"evolution:catalyst:offense:7","250","20","5","7680","n/a","1"
"evolution:catalyst:offense:8","250","20","5","15360","n/a","1"
"evolution:catalyst:offense:9","250","20","5","30720","n/a","1"
"evolution:catalyst:survival:1","250","20","5","120","n/a","1"
"evolution:catalyst:survival:10","250","20","5","61440","n/a","1"
"evolution:catalyst:survival:11","250","20","5","122880","n/a","1"
"evolution:catalyst:survival:12","250","20","5","245760","n/a","1"
"evolution:catalyst:survival:13","250","20","5","491520","n/a","1"
"evolution:catalyst:survival:14","250","20","5","983040","n/a","1"
"evolution:catalyst:survival:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:survival:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:survival:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:survival:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:survival:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:survival:2","250","20","5","240","n/a","1"
"evolution:catalyst:survival:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:survival:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:survival:3","250","20","5","480","n/a","1"
"evolution:catalyst:survival:4","250","20","5","960","n/a","1"
"evolution:catalyst:survival:5","250","20","5","1920","n/a","1"
"evolution:catalyst:survival:6","250","20","5","3840","n/a","1"
"evolution:catalyst:survival:7","250","20","5","7680","n/a","1"
"evolution:catalyst:survival:8","250","20","5","15360","n/a","1"
"evolution:catalyst:survival:9","250","20","5","30720","n/a","1"
"evolution:catalyst:universal:1","250","20","5","120","n/a","1"
"evolution:catalyst:universal:10","250","20","5","61440","n/a","1"
"evolution:catalyst:universal:11","250","20","5","122880","n/a","1"
"evolution:catalyst:universal:12","250","20","5","245760","n/a","1"
"evolution:catalyst:universal:13","250","20","5","491520","n/a","1"
"evolution:catalyst:universal:14","250","20","5","983040","n/a","1"
"evolution:catalyst:universal:15","250","20","5","1966080","n/a","1"
"evolution:catalyst:universal:16","250","20","5","3932160","n/a","1"
"evolution:catalyst:universal:17","250","20","5","7864320","n/a","1"
"evolution:catalyst:universal:18","250","20","5","15728640","n/a","1"
"evolution:catalyst:universal:19","250","20","5","31457280","n/a","1"
"evolution:catalyst:universal:2","250","20","5","240","n/a","1"
"evolution:catalyst:universal:20","250","20","5","62914560","n/a","1"
"evolution:catalyst:universal:21","250","20","5","125829120","n/a","1"
"evolution:catalyst:universal:3","250","20","5","480","n/a","1"
"evolution:catalyst:universal:4","250","20","5","960","n/a","1"
"evolution:catalyst:universal:5","250","20","5","1920","n/a","1"
"evolution:catalyst:universal:6","250","20","5","3840","n/a","1"
"evolution:catalyst:universal:7","250","20","5","7680","n/a","1"
"evolution:catalyst:universal:8","250","20","5","15360","n/a","1"
"evolution:catalyst:universal:9","250","20","5","30720","n/a","1"
"evolution:facility-package","12000","1","12","0","n/a","1"
"evolution:residue:1","100","75","7.5","40","n/a","1"
"evolution:residue:10","100","75","7.5","20480","n/a","1"
"evolution:residue:11","100","75","7.5","40960","n/a","1"
"evolution:residue:12","100","75","7.5","81920","n/a","1"
"evolution:residue:13","100","75","7.5","163840","n/a","1"
"evolution:residue:14","100","75","7.5","327680","n/a","1"
"evolution:residue:15","100","75","7.5","655360","n/a","1"
"evolution:residue:16","100","75","7.5","1310720","n/a","1"
"evolution:residue:17","100","75","7.5","2621440","n/a","1"
"evolution:residue:18","100","75","7.5","5242880","n/a","1"
"evolution:residue:19","100","75","7.5","10485760","n/a","1"
"evolution:residue:2","100","75","7.5","80","n/a","1"
"evolution:residue:20","100","75","7.5","20971520","n/a","1"
"evolution:residue:21","100","75","7.5","41943040","n/a","1"
"evolution:residue:3","100","75","7.5","160","n/a","1"
"evolution:residue:4","100","75","7.5","320","n/a","1"
"evolution:residue:5","100","75","7.5","640","n/a","1"
"evolution:residue:6","100","75","7.5","1280","n/a","1"
"evolution:residue:7","100","75","7.5","2560","n/a","1"
"evolution:residue:8","100","75","7.5","5120","n/a","1"
"evolution:residue:9","100","75","7.5","10240","n/a","1"
"facility-kit:0","8000","1","8","1","n/a","1"
"facility-kit:1","8000","1","8","1","n/a","1"
"facility-kit:10","8000","1","8","1","n/a","1"
"facility-kit:1000","8000","1","8","95","n/a","1"
"facility-kit:1001","8000","1","8","110","n/a","1"
"facility-kit:1002","8000","1","8","75","n/a","1"
"facility-kit:1003","8000","1","8","110","n/a","1"
"facility-kit:1004","8000","1","8","75","n/a","1"
"facility-kit:1005","8000","1","8","115","n/a","1"
"facility-kit:1006","8000","1","8","60","n/a","1"
"facility-kit:1007","8000","1","8","85","n/a","1"
"facility-kit:1008","8000","1","8","75","n/a","1"
"facility-kit:1009","8000","1","8","60","n/a","1"
"facility-kit:1010","8000","1","8","85","n/a","1"
"facility-kit:1011","8000","1","8","120","n/a","1"
"facility-kit:1012","8000","1","8","110","n/a","1"
"facility-kit:1013","8000","1","8","75","n/a","1"
"facility-kit:1014","8000","1","8","100","n/a","1"
"facility-kit:1015","8000","1","8","60","n/a","1"
"facility-kit:1016","8000","1","8","60","n/a","1"
"facility-kit:1017","8000","1","8","60","n/a","1"
"facility-kit:1018","8000","1","8","60","n/a","1"
"facility-kit:1019","8000","1","8","135","n/a","1"
"facility-kit:1020","8000","1","8","110","n/a","1"
"facility-kit:1021","8000","1","8","135","n/a","1"
"facility-kit:1022","8000","1","8","135","n/a","1"
"facility-kit:1023","8000","1","8","110","n/a","1"
"facility-kit:1024","8000","1","8","85","n/a","1"
"facility-kit:1025","8000","1","8","85","n/a","1"
"facility-kit:1026","8000","1","8","110","n/a","1"
"facility-kit:1027","8000","1","8","60","n/a","1"
"facility-kit:1028","8000","1","8","60","n/a","1"
"facility-kit:1029","8000","1","8","85","n/a","1"
"facility-kit:1030","8000","1","8","110","n/a","1"
"facility-kit:1031","8000","1","8","110","n/a","1"
"facility-kit:1032","8000","1","8","60","n/a","1"
"facility-kit:1033","8000","1","8","60","n/a","1"
"facility-kit:1034","8000","1","8","85","n/a","1"
"facility-kit:1035","8000","1","8","85","n/a","1"
"facility-kit:1036","8000","1","8","95","n/a","1"
"facility-kit:1037","8000","1","8","110","n/a","1"
"facility-kit:1038","8000","1","8","60","n/a","1"
"facility-kit:1039","8000","1","8","120","n/a","1"
"facility-kit:1040","8000","1","8","95","n/a","1"
"facility-kit:1041","8000","1","8","95","n/a","1"
"facility-kit:1042","8000","1","8","95","n/a","1"
"facility-kit:1043","8000","1","8","75","n/a","1"
"facility-kit:1044","8000","1","8","110","n/a","1"
"facility-kit:1045","8000","1","8","95","n/a","1"
"facility-kit:1046","8000","1","8","85","n/a","1"
"facility-kit:1047","8000","1","8","135","n/a","1"
"facility-kit:1048","8000","1","8","85","n/a","1"
"facility-kit:1049","8000","1","8","110","n/a","1"
"facility-kit:1050","8000","1","8","110","n/a","1"
"facility-kit:1051","8000","1","8","60","n/a","1"
"facility-kit:1052","8000","1","8","60","n/a","1"
"facility-kit:1053","8000","1","8","60","n/a","1"
"facility-kit:1054","8000","1","8","85","n/a","1"
"facility-kit:1055","8000","1","8","85","n/a","1"
"facility-kit:1056","8000","1","8","85","n/a","1"
"facility-kit:1057","8000","1","8","95","n/a","1"
"facility-kit:1058","8000","1","8","60","n/a","1"
"facility-kit:1059","8000","1","8","95","n/a","1"
"facility-kit:1060","8000","1","8","135","n/a","1"
"facility-kit:1061","8000","1","8","60","n/a","1"
"facility-kit:1062","8000","1","8","60","n/a","1"
"facility-kit:1063","8000","1","8","85","n/a","1"
"facility-kit:1064","8000","1","8","60","n/a","1"
"facility-kit:1065","8000","1","8","85","n/a","1"
"facility-kit:1066","8000","1","8","100","n/a","1"
"facility-kit:1067","8000","1","8","75","n/a","1"
"facility-kit:1068","8000","1","8","60","n/a","1"
"facility-kit:1069","8000","1","8","85","n/a","1"
"facility-kit:1070","8000","1","8","60","n/a","1"
"facility-kit:1071","8000","1","8","110","n/a","1"
"facility-kit:1072","8000","1","8","85","n/a","1"
"facility-kit:1073","8000","1","8","110","n/a","1"
"facility-kit:1074","8000","1","8","135","n/a","1"
"facility-kit:1075","8000","1","8","125","n/a","1"
"facility-kit:1076","8000","1","8","135","n/a","1"
"facility-kit:1077","8000","1","8","110","n/a","1"
"facility-kit:1078","8000","1","8","135","n/a","1"
"facility-kit:1079","8000","1","8","135","n/a","1"
"facility-kit:1080","8000","1","8","150","n/a","1"
"facility-kit:1081","8000","1","8","160","n/a","1"
"facility-kit:1082","8000","1","8","175","n/a","1"
"facility-kit:1083","8000","1","8","110","n/a","1"
"facility-kit:1084","8000","1","8","110","n/a","1"
"facility-kit:1085","8000","1","8","110","n/a","1"
"facility-kit:1086","8000","1","8","135","n/a","1"
"facility-kit:1087","8000","1","8","110","n/a","1"
"facility-kit:1088","8000","1","8","135","n/a","1"
"facility-kit:1089","8000","1","8","110","n/a","1"
"facility-kit:1090","8000","1","8","135","n/a","1"
