controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=1.489087; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(18, 0)
phase game=46.41279; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
phase game=48.4659; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=48.49196; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=49.2913; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=49.3099; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=51.30209; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=51.32445; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=52.14093; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=52.16104; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=52.99126; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=53.00834; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=54.95652; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(25, 0)
phase game=54.98998; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(25, 0)
phase game=55.79661; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(24, 0)
phase game=55.81578; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(24, 0)
phase game=57.82822; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(23, 0)
phase game=57.84803; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(23, 0)
phase game=60.02741; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=60.20572; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=60.97583; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=61.08663; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=63.82872; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=64.09011; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=66.08501; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(23, 0)
phase game=66.75168; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(23, 0)
phase game=69.69573; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=69.87724; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=73.70359; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=74.11885; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=77.45219; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=78.11885; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=81.32982; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=81.99648; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(21, 0)
phase game=85.42606; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=86.09273; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(22, 0)
phase game=101.7015; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(21, 0)
phase game=102.2043; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(21, 0)
phase game=102.871; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(20, 0)
phase game=103.3332; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(20, 0)
phase game=104.6625; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=105.3292; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=107.9959; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(19, 1)
phase game=109.9959; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(21, 1)
phase game=110.5845; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(22, 1)
phase game=111.2512; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(22, 1)
phase game=111.9179; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(23, 1)
phase game=112.4322; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(23, 1)
phase game=113.0989; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(24, 1)
phase game=113.7656; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(24, 1)
phase game=114.1039; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(25, 1)
phase game=114.7706; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(25, 1)
phase game=115.9228; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(26, 1)
phase game=116.872; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(27, 1)
phase game=117.6905; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(28, 1)
phase game=118.0287; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(28, 1)
phase game=118.6796; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(29, 1)
phase game=119.071; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(29, 1)
phase game=119.6668; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(30, 1)
phase game=119.9244; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(30, 1)
phase game=120.0458; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=120.7124; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=121.1329; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(32, 1)
phase game=121.7321; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(32, 1)
phase game=122.6533; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=122.8286; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=125.5469; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 2)
phase game=127.3122; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(33, 2)
phase game=127.9789; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(34, 2)
phase game=128.6307; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(34, 2)
phase game=129.2943; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(35, 2)
phase game=129.961; kind=work-cycle-boundary; run=1; generic=0.4230806/6; action=Work (AIWork); cell=(35, 2)
rateInputs game=129.961; performance=0.7919206; cumulativeTraceInvocationCount=2; roomDuration=1.026698; craftsmanship=Normal; contribution=1
phase game=130.3815; kind=observed-research-increment; run=1; generic=0.8477547/6; action=Work (AIWork); cell=(35, 2)
rateInputs game=135.1036; performance=0.7869017; cumulativeTraceInvocationCount=20; roomDuration=1.026698; craftsmanship=Normal; contribution=1
phase game=135.7703; kind=work-cycle-boundary; run=2; generic=4.112771/6; action=; cell=(35, 2)
phase game=136.4369; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(35, 2)
phase game=137.1036; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(34, 2)
phase game=137.7703; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(34, 2)
phase game=138.3379; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(33, 2)
phase game=139.0046; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(33, 2)
phase game=139.6712; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(32, 2)
phase game=140.1998; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(32, 2)
rateInputs game=140.1998; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=140.8664; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(31, 2)
phase game=141.1167; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(31, 2)
phase game=142.3575; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(30, 2)
phase game=143.0242; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(30, 2)
phase game=143.6908; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(31, 2)
phase game=144.043; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(31, 2)
rateInputs game=145.7299; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=146.7314; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(31, 1)
phase game=148.2854; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(29, 1)
phase game=148.9521; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(28, 1)
phase game=149.2683; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(28, 1)
phase game=149.935; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(27, 1)
phase game=150.6016; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(27, 1)
phase game=151.2683; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(26, 1)
rateInputs game=151.2683; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=151.935; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(26, 1)
phase game=152.5634; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(25, 1)
phase game=153.23; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(25, 1)
phase game=153.8967; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(24, 1)
phase game=154.3102; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(24, 1)
phase game=154.9769; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(23, 1)
phase game=155.3334; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(23, 1)
phase game=155.9888; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(22, 1)
phase game=156.329; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(22, 1)
rateInputs game=156.329; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=156.9779; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(21, 1)
phase game=157.2553; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(21, 1)
phase game=157.9219; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(20, 1)
phase game=158.1983; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(20, 1)
phase game=158.8649; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(19, 1)
phase game=159.1532; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(19, 1)
phase game=159.7945; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(18, 1)
phase game=160.0484; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(18, 1)
phase game=161.3468; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(19, 1)
rateInputs game=161.3468; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=161.8657; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(19, 1)
phase game=163.89; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(19, 0)
phase game=164.7766; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(18, 0)
phase game=164.9152; kind=movement-observed; run=2; generic=4.112771/6; action=Drink (AIDrink); cell=(17, 0)
phase game=165.2376; kind=no-work-increment/no-movement; run=2; generic=4.112771/6; action=Wait (AIWait); cell=(17, 0)
rateInputs game=166.9872; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1; craftsmanship=; contribution=0
phase game=168.481; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(18, 0)
phase game=169.1476; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(18, 0)
phase game=169.8143; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(19, 0)
phase game=170.1532; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(19, 0)
phase game=171.1264; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(20, 0)
phase game=171.793; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(20, 0)
phase game=172.1671; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(19, 0)
rateInputs game=172.1671; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1.027068; craftsmanship=Normal; contribution=0
phase game=172.8338; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(19, 0)
phase game=175.1946; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(19, 1)
phase game=176.2349; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(20, 1)
phase game=176.9016; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(21, 1)
phase game=177.1862; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(21, 1)
rateInputs game=177.1862; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1.027315; craftsmanship=Normal; contribution=0
phase game=177.8529; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(22, 1)
phase game=178.0245; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(22, 1)
phase game=178.6912; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(23, 1)
phase game=178.8195; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(23, 1)
phase game=179.2173; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(24, 1)
phase game=179.8152; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(24, 1)
phase game=180.0952; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(25, 1)
phase game=180.7619; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(25, 1)
phase game=181.8174; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(26, 1)
phase game=182.0823; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(26, 1)
phase game=182.749; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(27, 1)
rateInputs game=182.749; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1.024278; craftsmanship=Normal; contribution=0
phase game=182.9815; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(27, 1)
phase game=183.4086; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(28, 1)
phase game=184.0752; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(28, 1)
phase game=184.7419; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(29, 1)
phase game=185.1901; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(29, 1)
phase game=185.8567; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(30, 1)
phase game=186.3213; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(30, 1)
phase game=186.9709; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(31, 1)
phase game=187.5321; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(31, 1)
phase game=188.1987; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(32, 1)
rateInputs game=188.1987; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1.024278; craftsmanship=Normal; contribution=0
phase game=188.8654; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(32, 1)
phase game=189.8395; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(31, 1)
phase game=190.1278; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(31, 1)
phase game=192.1665; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(31, 2)
phase game=192.8872; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(32, 2)
phase game=193.1998; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(33, 2)
rateInputs game=193.1998; performance=0.7866027; cumulativeTraceInvocationCount=22; roomDuration=1.024278; craftsmanship=Normal; contribution=0
phase game=193.8665; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(33, 2)
phase game=194.0473; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(34, 2)
phase game=194.714; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(34, 2)
phase game=194.8959; kind=movement-observed; run=3; generic=4.112771/6; action=Work (AIWork); cell=(35, 2)
phase game=195.1921; kind=no-work-increment/no-movement; run=3; generic=4.112771/6; action=Work (AIWork); cell=(35, 2)
phase game=195.7164; kind=work-cycle-boundary; run=3; generic=0.197955/6; action=Work (AIWork); cell=(35, 2)
phase game=195.887; kind=observed-research-increment; run=3; generic=0.5480231/6; action=Work (AIWork); cell=(35, 2)
