"trait_numeric_id","source_path","selection_rarity","polarity","earned_work_experience_multiplier","comfort_minimum_offset","comfort_maximum_offset","safe_minimum_offset","safe_maximum_offset","cold_exposure_multiplier","heat_exposure_multiplier","effect_values","unresolved_effect_definitions","identity_rule_values","final_value_source","static_status"
"201","Assets/Resources/SO/V20/Traits/General/Trait_201_light-sleeper.asset","0","1","1","0","0","0","0","1","1","effect:character:alarm-response-delay:multiply=0.5|effect:character:sleep-recovery:multiply=0.8","0","utilityDelta=0.9","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"202","Assets/Resources/SO/V20/Traits/General/Trait_202_sure-footed.asset","1","0","1","0","0","0","0","1","1","effect:character:move-speed:multiply=1.04|effect:character:accident-chance:multiply=0.8","0","utilityDelta=0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"203","Assets/Resources/SO/V20/Traits/General/Trait_203_delicate-frame.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.03|effect:character:combat-power:multiply=0.96|effect:damage:blunt-taken:multiply=1.12","0","utilityDelta=0.55|utilityDelta=-0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"204","Assets/Resources/SO/V20/Traits/General/Trait_204_scarred.asset","1","1","1","0","0","0","0","1","1","effect:character:pain-work-penalty:multiply=0.75|effect:character:combat-power:multiply=1.03","0","utilityDelta=0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"205","Assets/Resources/SO/V20/Traits/General/Trait_205_keen-senses.asset","1","1","1","0","0","0","0","1","1","effect:character:danger-detection:multiply=1.15|effect:food:spoilage-detection:multiply=1.25|effect:character:crowd-sensitivity:multiply=1.1","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"206","Assets/Resources/SO/V20/Traits/General/Trait_206_heavy-build.asset","0","1","1","0","0","0","0","1","1","effect:work:haul-capacity:multiply=1.12|effect:character:combat-power:multiply=1.04|effect:character:move-speed:multiply=0.97","0","utilityDelta=0.55|utilityDelta=0.45","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"207","Assets/Resources/SO/V20/Traits/General/Trait_207_quick-healer.asset","2","0","1","0","0","0","0","1","1","effect:character:recovery-speed:multiply=1.15|effect:character:disease-resistance:multiply=1.1|effect:character:disease-recovery-speed:multiply=1.1|effect:character:immunity-gain:multiply=1.1|effect:character:immunity-retention:multiply=1.1|effect:medical:aftermath-duration:multiply=0.85","0","utilityDelta=0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"208","Assets/Resources/SO/V20/Traits/General/Trait_208_slow-metabolism.asset","2","1","1","0","0","0","0","1","1","effect:character:consumption:multiply=0.88|effect:character:move-speed:multiply=0.98|effect:character:cold-exposure:multiply=1.15","0","utilityDelta=-0.35","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"209","Assets/Resources/SO/V20/Traits/General/Trait_209_hot-blooded.asset","0","1","1","0","0","0","0","1","1","effect:character:cold-exposure:multiply=0.9|effect:character:combat-power:multiply=1.08","0","utilityDelta=0.8","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"210","Assets/Resources/SO/V20/Traits/General/Trait_210_sugar-seeker.asset","0","1","1","0","0","0","0","1","1","effect:character:consumption:multiply=1.05|effect:character:work-speed:multiply=1.05","0","utilityDelta=0.75|deprivationDays=3|deprivedMoodDelta=-2|satisfiedMoodDelta=4|moodDurationDays=1","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"211","Assets/Resources/SO/V20/Traits/General/Trait_211_iron-stomach.asset","1","1","1","0","0","0","0","1","1","effect:character:food-poisoning-chance:multiply=0.7|effect:character:accident-chance:multiply=1.03","0","utilityDelta=0.45","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"212","Assets/Resources/SO/V20/Traits/General/Trait_212_temperature-sensitive.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.03|effect:character:work-speed:multiply=0.9|effect:character:cold-exposure:multiply=1.2|effect:character:heat-exposure:multiply=1.2","0","utilityDelta=0.7","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"213","Assets/Resources/SO/V20/Traits/General/Trait_213_ritual-faster.asset","0","3","1","0","0","0","0","1","1","effect:character:consumption:multiply=0|effect:character:consumption:multiply=1.15","0","utilityDelta=0.7|deprivationDays=1|deprivedMoodDelta=-3|satisfiedMoodDelta=3|moodDurationDays=2","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"214","Assets/Resources/SO/V20/Traits/General/Trait_214_salt-craver.asset","0","3","1","0","0","0","0","1","1","effect:character:consumption:multiply=1.03","0","utilityDelta=0.7|deprivationDays=3|deprivedMoodDelta=-2|satisfiedMoodDelta=3|moodDurationDays=1","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"215","Assets/Resources/SO/V20/Traits/General/Trait_215_calm.asset","2","0","1","0","0","0","0","1","1","effect:character:accident-chance:multiply=0.9","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"216","Assets/Resources/SO/V20/Traits/General/Trait_216_brooding.asset","0","1","1","0","0","0","0","1","1","effect:character:accident-chance:multiply=0.85","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"217","Assets/Resources/SO/V20/Traits/General/Trait_217_cheerful.asset","2","0","1","0","0","0","0","1","1","effect:character:negative-mood-duration:multiply=0.75","0","utilityDelta=0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"218","Assets/Resources/SO/V20/Traits/General/Trait_218_grudge-holder.asset","0","2","1","0","0","0","0","1","1","effect:character:relationship-recovery:multiply=0.25","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"219","Assets/Resources/SO/V20/Traits/General/Trait_219_forgiving.asset","1","0","1","0","0","0","0","1","1","effect:character:relationship-recovery:multiply=1.5","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"220","Assets/Resources/SO/V20/Traits/General/Trait_220_anxious-planner.asset","1","1","1","0","0","0","0","1","1","effect:character:accident-chance:multiply=0.85","0","utilityDelta=0.75|deprivationDays=1|deprivedMoodDelta=-4|satisfiedMoodDelta=2|moodDurationDays=1","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"221","Assets/Resources/SO/V20/Traits/General/Trait_221_thrill-seeker.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.08|effect:character:accident-chance:multiply=1.08","0","utilityDelta=0.75|deprivationDays=3|deprivedMoodDelta=-2|satisfiedMoodDelta=4|moodDurationDays=2","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"222","Assets/Resources/SO/V20/Traits/General/Trait_222_private.asset","0","3","1","0","0","0","0","1","1","effect:character:crowd-sensitivity:multiply=0.8","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"223","Assets/Resources/SO/V20/Traits/General/Trait_223_meticulous.asset","2","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=0.97|effect:character:accident-chance:multiply=0.88","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"224","Assets/Resources/SO/V20/Traits/General/Trait_224_improviser.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.08|effect:character:work-speed:multiply=1.03|effect:character:accident-chance:multiply=1.05","0","utilityDelta=0.7","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"225","Assets/Resources/SO/V20/Traits/General/Trait_225_routine-keeper.asset","1","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.04","0","utilityDelta=0.7","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"226","Assets/Resources/SO/V20/Traits/General/Trait_226_teacher.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=0.98|effect:character:mentee-xp:multiply=1.2","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"227","Assets/Resources/SO/V20/Traits/General/Trait_227_salvager.asset","1","0","1","0","0","0","0","1","1","effect:work:salvage-yield:multiply=1.08","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"228","Assets/Resources/SO/V20/Traits/General/Trait_228_night-worker.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.08|effect:character:work-speed:multiply=0.95","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"229","Assets/Resources/SO/V20/Traits/General/Trait_229_quality-proud.asset","0","1","1","0","0","0","0","1","1","effect:craft:quality-score:addflat=4|effect:character:work-speed:multiply=0.98","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"230","Assets/Resources/SO/V20/Traits/General/Trait_230_fast-learner.asset","3","0","1","0","0","0","0","1","1","effect:character:earned-work-xp:multiply=1.3","0","utilityDelta=0.75","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"231","Assets/Resources/SO/V20/Traits/General/Trait_231_host.asset","1","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"232","Assets/Resources/SO/V20/Traits/General/Trait_232_blunt.asset","0","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"233","Assets/Resources/SO/V20/Traits/General/Trait_233_mediator.asset","2","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"234","Assets/Resources/SO/V20/Traits/General/Trait_234_loyal.asset","0","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"235","Assets/Resources/SO/V20/Traits/General/Trait_235_status-conscious.asset","0","1","1","0","0","0","0","1","1","effect:social:negotiation:multiply=1.08","0","utilityDelta=0.7","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"236","Assets/Resources/SO/V20/Traits/General/Trait_236_outsider-friendly.asset","1","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"237","Assets/Resources/SO/V20/Traits/General/Trait_237_clannish.asset","0","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"238","Assets/Resources/SO/V20/Traits/General/Trait_238_merciful.asset","1","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"239","Assets/Resources/SO/V20/Traits/General/Trait_239_ruthless.asset","0","1","1","0","0","0","0","1","1","effect:character:combat-power:multiply=1.03|effect:character:combat-stress:multiply=0","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"240","Assets/Resources/SO/V20/Traits/General/Trait_240_cautious.asset","2","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"241","Assets/Resources/SO/V20/Traits/General/Trait_241_daredevil.asset","0","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"242","Assets/Resources/SO/V20/Traits/General/Trait_242_truth-seeker.asset","2","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"243","Assets/Resources/SO/V20/Traits/General/Trait_243_pragmatist.asset","1","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"244","Assets/Resources/SO/V20/Traits/General/Trait_244_collector.asset","0","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"245","Assets/Resources/SO/V20/Traits/General/Trait_245_compulsive-cleaner.asset","0","1","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.2|effect:character:work-speed:multiply=0.99","0","utilityDelta=0.95","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"246","Assets/Resources/SO/V20/Traits/General/Trait_246_storyteller.asset","1","—","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"247","Assets/Resources/SO/V26/Traits/Founder/Trait_247_rough-hands.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:fieldwork:starting-xp:addflat=25|effect:proficiency:medicine:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"248","Assets/Resources/SO/V26/Traits/Founder/Trait_248_field-builder.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:construction-engineering:starting-xp:addflat=25|effect:proficiency:scholarship:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"249","Assets/Resources/SO/V26/Traits/Founder/Trait_249_fine-craft-sense.asset","1","1","1","0","0","0","0","1","1","effect:proficiency:crafting:starting-xp:addflat=25|effect:proficiency:melee-combat:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"250","Assets/Resources/SO/V26/Traits/Founder/Trait_250_palate.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:food-production:starting-xp:addflat=20|effect:proficiency:scholarship:starting-xp:addflat=-10","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"251","Assets/Resources/SO/V26/Traits/Founder/Trait_251_numbers-only.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:scholarship:starting-xp:addflat=15|effect:proficiency:social:starting-xp:addflat=-25","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"252","Assets/Resources/SO/V26/Traits/Founder/Trait_252_careful-hand.asset","1","1","1","0","0","0","0","1","1","effect:proficiency:medicine:starting-xp:addflat=20|effect:proficiency:construction-engineering:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"253","Assets/Resources/SO/V26/Traits/Founder/Trait_253_sociable.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:social:starting-xp:addflat=20|effect:proficiency:scholarship:starting-xp:addflat=-10","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"254","Assets/Resources/SO/V26/Traits/Founder/Trait_254_strength-first.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:melee-combat:starting-xp:addflat=20|effect:proficiency:crafting:starting-xp:addflat=-25","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"255","Assets/Resources/SO/V26/Traits/Founder/Trait_255_range-sense.asset","1","1","1","0","0","0","0","1","1","effect:proficiency:ranged-combat:starting-xp:addflat=25|effect:proficiency:melee-combat:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"256","Assets/Resources/SO/V26/Traits/Founder/Trait_256_foraging-eye.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:fieldwork:starting-xp:addflat=15|effect:proficiency:social:starting-xp:addflat=-10","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"257","Assets/Resources/SO/V26/Traits/Founder/Trait_257_tool-affinity.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:construction-engineering:starting-xp:addflat=15|effect:proficiency:medicine:starting-xp:addflat=-10","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"258","Assets/Resources/SO/V26/Traits/Founder/Trait_258_close-focus.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:crafting:starting-xp:addflat=15|effect:proficiency:ranged-combat:starting-xp:addflat=-10","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"259","Assets/Resources/SO/V26/Traits/Founder/Trait_259_talkative.asset","0","1","1","0","0","0","0","1","1","effect:proficiency:social:starting-xp:addflat=15|effect:proficiency:fieldwork:starting-xp:addflat=-20","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"300","Assets/Resources/SO/V26/Traits/Founder/Trait_300_possessed-inspiration.asset","3","4","1","0","0","0","0","1","1","—","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"301","Assets/Resources/SO/V26/Traits/Founder/Trait_301_last-stand.asset","3","4","1","0","0","0","0","1","1","effect:character:combat-power:multiply=1.5|effect:character:move-speed:multiply=1.2|effect:character:work-speed:multiply=0.5","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"302","Assets/Resources/SO/V26/Traits/Founder/Trait_302_forbidden-leap.asset","3","4","1","0","0","0","0","1","1","effect:character:research-speed:multiply=0.7","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"303","Assets/Resources/SO/V26/Traits/Founder/Trait_303_miracle-surgery.asset","3","4","1","0","0","0","0","1","1","effect:character:work-speed:multiply=0.6","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"304","Assets/Resources/SO/V26/Traits/Founder/Trait_304_golden-harvest.asset","3","4","1","0","0","0","0","1","1","effect:harvest:yield:multiply=2.5|effect:harvest:seed-yield:multiply=1.5","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"305","Assets/Resources/SO/V26/Traits/Founder/Trait_305_production-limit-break.asset","3","4","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.5|effect:character:accident-chance:multiply=1.5|effect:character:fatigue-rate:multiply=2|effect:character:work-speed:multiply=0.65","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"306","Assets/Resources/SO/V26/Traits/Founder/Trait_306_arcane-overcharge.asset","3","4","1","0","0","0","0","1","1","effect:arcane:power:multiply=1.6|effect:arcane:mana-recovery:multiply=0.5","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"400","Assets/Resources/SO/V26/Traits/Founder/Trait_400_fieldwork-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:fieldwork:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"401","Assets/Resources/SO/V26/Traits/Founder/Trait_401_construction-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:construction-engineering:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"402","Assets/Resources/SO/V26/Traits/Founder/Trait_402_crafting-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:crafting:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"403","Assets/Resources/SO/V26/Traits/Founder/Trait_403_cooking-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:food-production:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"404","Assets/Resources/SO/V26/Traits/Founder/Trait_404_scholarship-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:scholarship:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"405","Assets/Resources/SO/V26/Traits/Founder/Trait_405_medicine-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:medicine:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"406","Assets/Resources/SO/V26/Traits/Founder/Trait_406_social-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:social:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"407","Assets/Resources/SO/V26/Traits/Founder/Trait_407_melee-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:melee-combat:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"408","Assets/Resources/SO/V26/Traits/Founder/Trait_408_ranged-aptitude.asset","1","0","1","0","0","0","0","1","1","effect:proficiency:ranged-combat:starting-xp:addflat=15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"409","Assets/Resources/SO/V26/Traits/Founder/Trait_409_diligent.asset","1","0","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.05","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"410","Assets/Resources/SO/V26/Traits/Founder/Trait_410_agile.asset","1","0","1","0","0","0","0","1","1","effect:character:move-speed:multiply=1.05","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"411","Assets/Resources/SO/V26/Traits/Founder/Trait_411_prudent.asset","1","0","1","0","0","0","0","1","1","effect:character:accident-chance:multiply=0.9","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"412","Assets/Resources/SO/V26/Traits/Founder/Trait_412_patient.asset","1","0","1","0","0","0","0","1","1","effect:character:wait-patience:multiply=1.2","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"413","Assets/Resources/SO/V26/Traits/Founder/Trait_413_light-eater.asset","1","0","1","0","0","0","0","1","1","effect:character:consumption:multiply=0.9","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"414","Assets/Resources/SO/V26/Traits/Founder/Trait_414_focused.asset","1","0","1","0","0","0","0","1","1","effect:character:research-speed:multiply=1.05","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"415","Assets/Resources/SO/V26/Traits/Founder/Trait_415_brave-heart.asset","1","0","1","0","0","0","0","1","1","effect:character:combat-power:multiply=1.05","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"416","Assets/Resources/SO/V26/Traits/Founder/Trait_416_quick-study.asset","2","0","1","0","0","0","0","1","1","effect:character:earned-work-xp:multiply=1.1","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"417","Assets/Resources/SO/V26/Traits/Founder/Trait_417_climate-adapted.asset","2","0","1","0","0","0","0","1","1","effect:character:cold-exposure:multiply=0.9|effect:character:heat-exposure:multiply=0.9","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"500","Assets/Resources/SO/V26/Traits/Founder/Trait_500_fieldwork-insensitive.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:fieldwork:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"501","Assets/Resources/SO/V26/Traits/Founder/Trait_501_construction-clumsy.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:construction-engineering:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"502","Assets/Resources/SO/V26/Traits/Founder/Trait_502_crafting-clumsy.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:crafting:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"503","Assets/Resources/SO/V26/Traits/Founder/Trait_503_cooking-clumsy.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:food-production:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"504","Assets/Resources/SO/V26/Traits/Founder/Trait_504_scholarship-insensitive.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:scholarship:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"505","Assets/Resources/SO/V26/Traits/Founder/Trait_505_medicine-clumsy.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:medicine:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"506","Assets/Resources/SO/V26/Traits/Founder/Trait_506_shy.asset","0","2","1","0","0","0","0","1","1","effect:proficiency:social:starting-xp:addflat=-15","0","—","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
