type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,reviewed_disposition,replacement_authority,review_evidence,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
BuildingStateModuleRestoreResult,class,Assets/Scripts/Services/Buildings/BuildingStateModule.cs,129,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,Save-restore validation report for building modules.,NonResult,Save-restore validation report for building modules.,True,Building module saved state and restore diagnostics,Assets/Scripts/Services/Buildings/BuildingStateModule.cs#BuildingStateModuleRestoreResult,N/A,excluded,Restore diagnostics do not represent a new in-world gameplay result.,2,Assets/Scripts/Services/Buildings/BuildingStateModule.cs:179:BuildingStateModulePersistence.Restore | Assets/Scripts/Services/Buildings/BuildingStateModule.cs:184:BuildingStateModulePersistence.BuildingCraftsmanshipStateModule,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/FacilityEvolution/FacilityRelocationWorldService.cs,
BuildingStructuralDamageResult,struct,Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs,40,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,"Low-level shared structural mutation result consumed by fire, invasion, defense and demolition owners.",NonResult,"Low-level shared structural mutation result consumed by fire, invasion, defense and demolition owners.",True,"EnvironmentalFireDamageResult, defense/invasion result, combat result, or BuildingDemolitionOutcomeReceipt",Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs#BuildingStructuralDamageResult | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:417-480,N/A,excluded,Each initiating domain owns the semantic damage/destruction outcome; recording both would duplicate one hit.,8,Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:228:BuildingStructuralIntegrity.ApplyDamage | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:236:BuildingStructuralIntegrity.BuildingStructuralDamageResult | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:256:BuildingStructuralIntegrity.BuildingStructuralDamageResult | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:416:BuildingStructuralIntegrityRuntime.ApplyDamage | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:425:BuildingStructuralIntegrityRuntime.BuildingStructuralIntegrityRuntime | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:442:BuildingStructuralIntegrityRuntime.BuildingStructuralIntegrityRuntime | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:455:BuildingStructuralIntegrityRuntime.BuildingStructuralIntegrityRuntime | Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs:472:BuildingStructuralIntegrityRuntime.BuildingStructuralIntegritySnapshot,0,0,,damage,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Economy/Diagnostics/ProductionOutputDestinationLifecycleDebugScenarios.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs | Assets/Scripts/Services/Invasion/DefenseBreachRuntimeAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs,
CanonicalProductionOutputResolution,class,Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs,5,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,Pure deterministic output calculation explicitly documented as non-mutating and non-publishing.,NonResult,Pure deterministic output calculation explicitly documented as non-mutating and non-publishing.,True,ProductionCompletedOutcomeReceipt / ProductionRecipeExecutionReceipt,Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs#CanonicalProductionOutputResolution | Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs:85-101,N/A,excluded,The completed physical production transaction owns the terminal fact.,4,Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs:116:CanonicalProductionOutputResolver.Resolve | Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs:132:CanonicalProductionOutputResolver.Resolve | Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs:150:CanonicalProductionOutputResolver.Resolve | Assets/Scripts/Models/Economy/Content/CanonicalProductionOutputResolver.cs:287:CanonicalProductionOutputResolver.CanonicalProductionOutputResolver,0,0,combinedOutputFactor,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Models/Economy/Content/WorldResourceRuntime.cs | Assets/Scripts/Services/Economy/ProductionPreparedOutputExecutionAdapter.cs,
CaptiveEscapedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,187,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Completed captive escape with captive identity, trigger and betrayal classification after custody and actor-role state changes.",Record,"Completed captive escape with captive identity, trigger and betrayal classification after custody and actor-role state changes.",True,CaptiveEscapeOutcomeReceipt,Assets/Scripts/Services/Captivity/CaptiveEscapeOutcomeRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityEscapeCompletionRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityDefectionRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityEscapeRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveEscapeOutcomeDefinition.cs | Assets/Scripts/Services/Captivity/Editor/CaptiveEscapeOutcomeDebugScenarios.cs | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r74/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r33/full-world-round-trip-playmode-report.txt,recorded,connected,"Every production publisher now prepares one exact captive-escape receipt before mutation. Physical escape, arrival custody loss, false-compliance betrayal and minion control break commit captive revision plus the durable gameplay-outcome outbox while actor, identity, lifecycle, AI, door, population and employment changes remain reversible; definite rejection restores the exact owner snapshots, delivery-pending remains committed, physical exterior failures retry from persisted EscapeAttempt state, and the legacy event/exit/replan observers run only after durable commit.",1,Assets/Scripts/Services/Captivity/CaptiveEscapeOutcomeRuntime.cs:93:CaptiveEscapeOutcomeRuntime.CaptiveEscapeOutcomeRuntime,1,1,captiveId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
CaptiveEscapeOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveEscapeOutcomeDefinition.cs,75,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Captivity/CaptiveEscapeOutcomeRuntime.cs:58:CaptiveEscapeOutcomeRuntime.CaptiveEscapeOutcomeRuntime,0,0,captiveId | captiveName | ownerRevision,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveEscapeOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveEscapeOutcomeDefinition.cs
CaptivePerformerMilestoneEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,151,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Completed persisted performer-fame milestone that unlocks care, staff-contract or final-contract state.",Record,"Completed persisted performer-fame milestone that unlocks care, staff-contract or final-contract state.",True,CaptivePerformerMilestoneOutcomeReceipt,Assets/Scripts/Services/Captivity/CaptivePerformerMilestoneOutcomeRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivePerformerMilestoneOutcomeDefinition.cs | Assets/Scripts/Services/Captivity/Editor/CaptivePerformerMilestoneOutcomeDebugScenarios.cs | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r72/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r31/full-world-round-trip-playmode-report.txt,recorded,connected,"The captivity owner now freezes an exact 50/75/100 receipt before changing the milestone flag, commits monotonic owner revisions through the durable gameplay-outcome outbox, rolls back only milestone state on definite rejection, retries eligible persisted fame, and publishes the legacy event/alert only after durable commit.",3,Assets/Scripts/Services/Captivity/CaptivePerformerMilestoneOutcomeRuntime.cs:257:CaptivePerformerMilestoneOutcomeRuntime.CaptivePerformerMilestoneOutcomeRuntime | Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs:41:CaptivityUnityEffectsAdapter.CaptivityUnityEffectsAdapter | Assets/Scripts/Services/Infrastructure/Core/Captivity/CaptivityPerformerDefaultPort.cs:26:CaptivityPerformerDefaultPort.CaptivityPerformerDefaultPort,3,0,captiveId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
CaptivePerformerMilestoneOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivePerformerMilestoneOutcomeDefinition.cs,45,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Captivity/CaptivePerformerMilestoneOutcomeRuntime.cs:89:CaptivePerformerMilestoneOutcomeRuntime.CaptivePerformerMilestoneOutcomeRuntime,0,0,captiveId | captiveName | ownerRevision,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivePerformerMilestoneOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivePerformerMilestoneOutcomeDefinition.cs
CaptiveRansomedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,169,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Completed ransom settlement with captive identity, paid amount and retaliation pressure.",Record,"Completed ransom settlement with captive identity, paid amount and retaliation pressure.",True,CaptiveRansomOutcomeReceipt,Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityRansomRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveRansomOutcomeDefinition.cs | Assets/Scripts/Services/Captivity/Editor/CaptiveRansomOutcomeDebugScenarios.cs | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r75/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r34/full-world-round-trip-playmode-report.txt,recorded,connected,"The production ransom owner prepares one exact receipt before mutation, commits the saved Ransom pending state plus durable gameplay-outcome outbox, restores the captive state on definite rejection, and treats delivery-pending as committed. Idempotent treasury credit, terminal physical custody cleanup and release finalization then retry from the persisted ransom revision without duplicate payment; prisoner-decision, retaliation and dungeon-exit observers run only after durable completion and cannot roll back the result.",1,Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs:117:CaptiveRansomOutcomeRuntime.CaptiveRansomOutcomeRuntime,1,1,captiveId,amount,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
CaptiveRansomOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveRansomOutcomeDefinition.cs,42,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs:63:CaptiveRansomOutcomeRuntime.CaptiveRansomOutcomeRuntime,0,0,captiveId | captiveName | ownerRevision,absoluteDay | amount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveRansomOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptiveRansomOutcomeDefinition.cs
CaptivityInteractionOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivityInteractionOutcomeDefinition.cs,96,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Captivity/CaptivityInteractionOutcomeRuntime.cs:64:CaptivityInteractionOutcomeRuntime.CaptivityInteractionOutcomeRuntime,0,0,captiveId | captiveName | facilityId | facilityName | outputItemId | ownerRevision,absoluteDay | bodyDamage | bodyHealthAfter | bodyHealthBefore | outputAmount | trustDelta,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivityInteractionOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivityInteractionOutcomeDefinition.cs
CaptivityInteractionResult,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,92,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Terminal captivity interaction result carrying success, exact social-stat deltas and optional physical output.",Record,"Terminal captivity interaction result carrying success, exact social-stat deltas and optional physical output.",True,CaptivityInteractionOutcomeReceipt,Assets/Scripts/Models/Captivity/Core/CaptivityStateModels.cs | Assets/Scripts/Services/Captivity/CaptivityInteractionOutcomeRuntime.cs | Assets/Scripts/Services/Captivity/CaptivityInteractionRuntime.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/CaptivityInteractionOutcomeDefinition.cs | Assets/Scripts/Services/Captivity/Editor/CaptivityInteractionOutcomeDebugScenarios.cs | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r139/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r77/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r35/full-world-round-trip-playmode-report.txt,recorded,connected,"Each started interaction now has a saved stable attempt identity and frozen terminal result. The production owner prepares CaptivityInteractionOutcomeReceipt before captive and body mutation, rolls both owners back on definite rejection, and preserves committed delivery-pending state for retry. Optional physical output uses the existing idempotent source publication service, aggregate body observers run only after durable outcome commit, and the handler and material consumption are not replayed during output or observer recovery.",20,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:115:CaptivityPersuasionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:118:CaptivityPersuasionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:136:CaptivityIsolationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:139:CaptivityIsolationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:159:CaptivityCoercionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:162:CaptivityCoercionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:182:CaptivityInterrogationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:187:CaptivityInterrogationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:208:CaptivityIndoctrinationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:211:CaptivityIndoctrinationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:233:CaptivityBrandingHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:236:CaptivityBrandingHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:257:CaptivityBloodExtractionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:260:CaptivityBloodExtractionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:281:CaptivityMemoryExtractionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:284:CaptivityMemoryExtractionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:309:CaptivityForcedModificationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:312:CaptivityForcedModificationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:335:CaptivityCorruptionRitualHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:338:CaptivityCorruptionRitualHandler.CaptivityInteractionRegistry,0,0,outputItemId,outputAmount | trustDelta,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityInteractionRuntime.cs,
CareerMentorshipAwardCommitReceipt,struct,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs,343,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,Record,Authoritative completed mentorship award coupled to an exact durable career-ledger wear revision.,Record,Authoritative completed mentorship award coupled to an exact durable career-ledger wear revision.,True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:160-189,324-394,439-493 | Assets/Scripts/Services/Run/ObservedCareerLifeEventReceipts.cs:541-718 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",8,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:385:CareerMentorshipAwardCommitReceipt.FromCommittedUse | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:398:CareerMentorshipAwardCommitReceipt.FromPreflight | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:406:CareerMentorshipAwardCommitReceipt.CareerMentorshipAwardCommitReceipt | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:413:CareerMentorshipAwardCommitReceipt.Restore | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:700:CareerMentorshipAwardOutcomeEffect.FromPreflight | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:735:CareerMentorshipAwardOutcomeEffect.FromCommittedUse | Assets/Scripts/Services/Run/ObservedCareerLifeEventReceipts.cs:957:ObservedLastLessonLifeEventReceipt.Restore | Assets/Scripts/Services/Run/Wim040ObservedLifeEventReceiptDebugFixture.cs:239:Wim040ObservedLifeEventReceiptDebugFixture.Restore,0,0,academyBuildingId | sourceOperationId,,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs | Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
CertifiedSeedCompletionOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceipts.cs,290,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,2,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceiptFactory.cs:6:EnvironmentOutcomeReceiptFactory.CreateCertifiedSeedCompletion | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceiptFactory.cs:117:EnvironmentOutcomeReceiptFactory.GameplayOperationId,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceiptFactory.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceipts.cs
CertifiedSeedPlanExecutionReceipt,class,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,19,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,Record,"Authoritative certified-seed plan completion with exact input, output, facility and order identities.",Record,"Authoritative certified-seed plan completion with exact input, output, facility and order identities.",True,,"Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:660-691,694-724 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs:19-112",recorded,connected,"The exact receipt participates in the outcome-aware physical output transaction before the order advances to OutputPublished, then the owner acknowledges and finalizes it.",3,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:75:CertifiedSeedPlanExecutionReceipt.CaptureIdentifiers | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:240:CertifiedSeedRuntime.CertifiedSeedPlanExecutionReceipt | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:671:CertifiedSeedRuntime.CertifiedSeedRuntime,0,0,facilityInstanceId,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentOutcomeReceiptFactory.cs
