type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
CharacterAiRuntimeTraceEvent,struct,Assets/Scripts/Services/Character/AI/CharacterAiRuntimeTrace.cs,90,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,AI diagnostics trace; not a committed gameplay result,NonResult,AI diagnostics trace; not a committed gameplay result,N/A,excluded,AI diagnostics trace; not a committed gameplay result,1,Assets/Scripts/Services/Character/AI/AIBrain.cs:3744:AIBrain.<unknown>,0,0,,pathState | pathStepCount | progressMilli | progressRevision | reservationState,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,,
CharacterBodyHealthDownedEvent,struct,Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs,36,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterBodyHealthDownedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1893:CharacterBodyHealthRuntime.<unknown>,1,6,actor,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs,
CharacterBodyHealthRecoveredEvent,struct,Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs,46,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterBodyHealthRecoveredEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1908:CharacterBodyHealthRuntime.<unknown>,1,5,actor,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthContracts.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs | Assets/Scripts/Services/Combat/CharacterCombatCommandUnityLifecycleAdapter.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,
CharacterCombatCommandTerminatedEvent,struct,Assets/Scripts/Models/Combat/Core/CharacterCombatCommandModels.cs,72,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterCombatCommandTerminatedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs:1471:CharacterCombatCommandRuntime.<unknown>,1,0,actorId,finalState,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs,
CharacterConsumablesMealConsumedEvent,struct,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs,565,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterConsumablesMealConsumedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:2521:MealOperationFailureState.ItemStackId,1,0,characterId | facilityId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,
CharacterConsumablesMealResult,struct,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs,439,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterConsumablesMealResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",45,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:322:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:330:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:340:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:358:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:366:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:375:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:387:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:404:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:448:MealOperationFailureState.Consumed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:457:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:472:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:481:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:489:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:498:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:521:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:527:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:558:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:577:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:583:MealOperationFailureState.Consumed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:606:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:619:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:629:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:653:MealOperationFailureState.Pending | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:662:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:687:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:694:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:708:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:719:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:726:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:736:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:746:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:754:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:763:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:775:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:789:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:825:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:833:MealOperationFailureState.Pending | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:847:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:863:MealOperationFailureState.Pending | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:880:MealOperationFailureState.Consumed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:892:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1133:MealOperationFailureState.Consumed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs:478:CharacterConsumablesMealResult.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs:482:CharacterConsumablesMealResult.Pending | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs:489:CharacterConsumablesMealResult.Consumed,0,0,itemStackId,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,
CharacterConsumablesSubstanceResult,struct,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs,498,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterConsumablesSubstanceResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",16,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1637:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1646:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1656:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1683:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1722:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1738:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1773:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1796:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1803:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1813:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1822:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1831:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1947:MealOperationFailureState.Failed | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:1953:MealOperationFailureState.ConsumeSubstanceByIdCommand | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:3309:DetoxMedicineCandidate.FailedSubstance | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs:536:CharacterConsumablesSubstanceResult.Failed,0,0,itemStackId,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,
CharacterDeathEvent,struct,Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs,5,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterDeathEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs:75:CharacterDeathEventFactory.Create | Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs:91:CharacterDeathEventFactory.CharacterDeathEventFactory | Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs:1256:CharacterVitalsSideEffectAdapter.CharacterVitalsSnapshot,1,11,characterId | witnessIds,absoluteDay,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs | Assets/Scripts/Services/Character/Core/CharacterDeathEvent.cs | Assets/Scripts/Services/Character/PopulationHealthRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs,
CharacterDetoxTreatmentResult,struct,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntimeContracts.cs,349,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterDetoxTreatmentResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:3015:DetoxMedicineCandidate.SuccessfulDetox | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:3027:DetoxMedicineCandidate.SuccessfulDetox | Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs:3038:DetoxMedicineCandidate.FailedDetox,0,0,sourceStackId,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Survival/SurvivalFoodRuntime.cs,
CharacterDiedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,57,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterDiedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1820:CharacterBodyHealthRuntime.<unknown>,1,1,character,absoluteDay,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
CharacterExposureStepResult,struct,Assets/Scripts/Models/Environment/Core/EnvironmentalCoreDomain.cs,267,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterExposureStepResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Models/Environment/Core/EnvironmentalCoreDomain.cs:481:CharacterEnvironmentRules.StepExposure | Assets/Scripts/Models/Environment/Core/EnvironmentalCoreDomain.cs:505:CharacterEnvironmentRules.LightAdaptationProjection,0,0,,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/CharacterEnvironmentRuntime.cs,
CharacterGrowthTabRequestedEvent,struct,Assets/Scripts/Services/Character/Core/CharacterProgressionNotificationApplicationAdapter.cs,87,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,UI navigation request,NonResult,UI navigation request,N/A,excluded,UI navigation request,1,Assets/Scripts/Services/Character/Core/CharacterProgressionNotificationApplicationAdapter.cs:62:CharacterProgressionNotificationApplicationAdapter.EventAlertChoice,1,1,actor,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,Assets/Scripts/Views/UI/CharacterSummaryInfo.cs,Assets/Scripts/Views/UI/CharacterSummaryInfo.cs,
CharacterInfectionBurdenReductionRequestedEvent,struct,Assets/Scripts/Services/Survival/DarkSurvivalModels.cs,16,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,NonResult,mutation request/command input; capture the resulting burden transition instead,NonResult,mutation request/command input; capture the resulting burden transition instead,N/A,excluded,mutation request/command input; capture the resulting burden transition instead,2,Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs:867:CharacterMedicalRuntime.<unknown> | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs:868:CharacterMedicalRuntime.CharacterInfectionBurdenReductionRequestedEvent,1,1,actor,amount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs | Assets/Scripts/Services/Survival/DarkSurvivalModels.cs,
CharacterInfectionBurdenRequestedEvent,struct,Assets/Scripts/Services/Survival/DarkSurvivalModels.cs,4,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,NonResult,mutation request/command input; capture the resulting burden transition instead,NonResult,mutation request/command input; capture the resulting burden transition instead,N/A,excluded,mutation request/command input; capture the resulting burden transition instead,2,Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs:696:CharacterMedicalRuntime.<unknown> | Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs:919:CharacterMedicalRuntime.CharacterInfectionBurdenReductionRequestedEvent,2,1,actor,amount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs | Assets/Scripts/Services/Survival/CharacterDeprivationRuntime.cs | Assets/Scripts/Services/Survival/DarkSurvivalModels.cs,
CharacterInjuredIdentityEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,429,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterInjuredIdentityEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:3921:WorkTaskExecutor.CoreGridCell | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:174:CombatCommandResultApplier.CombatCommandResultApplier | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:463:CombatCommandResultApplier.CombatCommandResultApplier,3,3,attacker | character | workAccidentFacilityDisplayName | workAccidentFacilityInstanceId | workAccidentWorkerDisplayName,appliedDamage | damageType | day | workAccidentDamagedAnatomyNodeId | workAccidentFacilityDisplayName | workAccidentFacilityInstanceId | workAccidentLocation | workAccidentObservedCause | workAccidentOperationId | workAccidentWorkerDisplayName | workAccidentWorkTypeId,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
CharacterKilledEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,14,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterKilledEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs:575:CharacterIdentityEventPublisher.CharacterIdentityEventPublisher | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:759:CombatCommandResultApplier.VisitorFacilityCombatDamageCommittedEvent,2,1,killer | victim | witnesses,absoluteDay,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,
CharacterLifeStageChangedEvent,struct,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs,17,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CharacterLifeStageChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs:90:in.CharacterLifeApplicationAdapter,1,2,characterId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs | Assets/Scripts/Services/Character/Work/SettlementEmergencyReservePlanner.cs,
